# LRA Stimulus Response — Time Series Data
# Source file:      pitch_decrease_mild_220to156Hz.wav
# Generated:        2026-07-17 13:58:20
# Stimulus duration:12.000 s
# Analysis window:  0.400s to 12.270s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1516.8-1894.0 Hz (range across windows; 1624.0 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 377.3 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (324 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             233
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4000	1.837220	219.29
0.4540	1.844840	220.13
0.5001	1.837335	218.56
0.5501	1.846274	219.28
0.6007	1.849752	218.56
0.6541	1.847257	218.51
0.7008	1.848932	210.00
0.7508	1.850507	213.01
0.8101	1.852279	209.10
0.8600	1.866615	209.59
0.9106	1.884661	219.20
0.9601	1.898970	213.53
1.0103	1.900462	213.53
1.0659	1.888682	212.30
1.1167	1.882158	212.45
1.1667	1.882092	218.42
1.2167	1.874205	215.58
1.2698	1.885667	214.31
1.3202	1.893295	211.14
1.3714	1.894218	213.37
1.4197	1.910209	209.98
1.4707	1.913779	213.79
1.5249	1.917125	209.25
1.5719	1.924638	214.36
1.6246	1.927610	210.04
1.6706	1.929723	206.24
1.7295	1.928461	208.03
1.7797	1.927308	204.95
1.8307	1.932852	213.63
1.8798	1.924911	211.57
1.9353	1.928259	214.48
1.9823	1.925465	214.33
2.0305	1.916127	219.96
2.0798	1.926172	206.86
2.1302	1.915933	204.59
2.1901	1.916569	198.94
2.2401	1.922721	198.02
2.2903	1.912940	208.98
2.3416	1.923513	214.23
2.3904	1.928191	208.98
2.4402	1.924010	205.02
2.4906	1.926575	206.75
2.5459	1.930244	199.50
2.5997	1.925788	199.77
2.6506	1.921888	204.55
2.7002	1.921939	209.21
2.7506	1.905266	205.78
2.7999	1.912149	203.52
2.8541	1.913692	206.76
2.9061	1.908330	208.86
2.9531	1.920166	209.32
3.0003	1.902078	205.52
3.0598	1.917686	197.54
3.1107	1.930750	198.40
3.1600	1.930127	209.35
3.2114	1.912274	202.70
3.2598	1.899742	204.02
3.3124	1.912299	204.16
3.3603	1.885494	199.39
3.4116	1.894355	201.85
3.4703	1.912287	194.61
3.5198	1.879224	190.11
3.5703	1.893800	204.36
3.6220	1.917283	201.88
3.6704	1.906829	199.99
3.7223	1.915959	206.67
3.7757	1.912247	204.37
3.8198	1.907675	195.89
3.8775	1.911722	203.06
3.9258	1.916373	198.86
3.9798	1.918710	197.08
4.0298	1.918337	194.44
4.0798	1.910388	199.22
4.1309	1.912637	198.85
4.1800	1.904119	199.39
4.2303	1.904993	198.48
4.2798	1.907746	199.37
4.3318	1.900844	199.39
4.3800	1.904439	190.64
4.4303	1.905102	191.72
4.4895	1.907631	189.53
4.5398	1.911431	190.27
4.5904	1.914981	198.50
4.6399	1.915228	192.21
4.6904	1.910322	199.23
4.7421	1.917042	193.45
4.7905	1.913163	188.21
4.8470	1.910875	190.72
4.8970	1.909998	185.76
4.9460	1.907789	191.20
4.9998	1.908731	191.31
5.0504	1.910840	190.26
5.1002	1.914368	194.22
5.1503	1.912045	190.86
5.2000	1.909677	194.75
5.2541	1.912780	187.70
5.2998	1.912817	194.47
5.3575	1.909488	194.37
5.3999	1.908775	185.10
5.4598	1.919171	192.14
5.5104	1.927994	182.57
5.5598	1.931657	194.40
5.6129	1.944903	189.25
5.6598	1.926825	189.97
5.7159	1.917262	185.69
5.7645	1.914016	180.40
5.8169	1.902400	185.76
5.8704	1.914353	184.01
5.9198	1.912679	186.67
5.9704	1.913413	186.62
6.0198	1.917548	187.95
6.0734	1.913082	189.32
6.1214	1.910538	189.41
6.1705	1.909731	184.27
6.2198	1.906228	181.70
6.2789	1.904479	180.90
6.3304	1.912153	178.93
6.3799	1.916317	188.03
6.4328	1.919113	189.25
6.4804	1.922859	189.42
6.5306	1.916414	191.69
6.5799	1.908905	178.58
6.6304	1.901611	180.98
6.6870	1.897723	175.65
6.7398	1.908860	176.13
6.7905	1.905150	179.20
6.8399	1.910519	183.31
6.8932	1.921576	184.52
6.9411	1.904122	184.42
6.9904	1.915340	181.23
7.0459	1.908387	184.09
7.0968	1.905231	184.38
7.1414	1.905463	180.35
7.1999	1.893874	180.20
7.2504	1.905622	176.35
7.3014	1.893011	184.43
7.3506	1.905179	181.14
7.3999	1.911794	185.73
7.4540	1.903258	184.58
7.5000	1.914598	175.98
7.5504	1.899337	174.37
7.6105	1.908349	170.61
7.6599	1.915047	171.35
7.7129	1.907987	181.29
7.7599	1.921211	177.19
7.8140	1.909235	179.45
