# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: ramp_90to90BPM_12s_210Hz.wav
# Generated:   2026-07-17 14:00:49
# Accel sample rate: 1693.0-2036.6 Hz per-window range (1902.7 Hz overall)
# Freq resolution:   5.01 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        228
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4306	200.3	0.26143	-11.7	195.3	0.25568	-11.8	105.1	0.24010	-12.4	110.2	0.23713	-12.5	50.1	0.23704	-12.5
0.4812	205.3	0.35115	-9.1	105.1	0.34604	-9.2	210.3	0.30554	-10.3	80.1	0.28437	-10.9	100.1	0.28420	-10.9
0.5328	120.2	0.38298	-8.3	90.1	0.33359	-9.5	105.1	0.31086	-10.1	125.2	0.28098	-11.0	80.1	0.27167	-11.3
0.5811	95.1	0.33477	-9.5	235.3	0.30179	-10.4	90.1	0.27544	-11.2	240.3	0.26512	-11.5	230.3	0.26416	-11.6
0.6295	145.2	0.35923	-8.9	150.2	0.28581	-10.9	95.1	0.27404	-11.2	50.1	0.25744	-11.8	90.1	0.24510	-12.2
0.6783	145.2	0.31296	-10.1	60.1	0.23933	-12.4	150.2	0.23660	-12.5	100.1	0.22108	-13.1	370.5	0.21815	-13.2
0.7253	100.1	0.40523	-7.8	95.1	0.40402	-7.9	145.2	0.37926	-8.4	60.1	0.29780	-10.5	150.2	0.28891	-10.8
0.7750	100.1	0.47685	-6.4	105.1	0.46061	-6.7	110.2	0.42232	-7.5	95.1	0.40600	-7.8	140.2	0.40380	-7.9
0.8211	230.3	0.58584	-4.6	200.3	0.57773	-4.8	215.3	0.51431	-5.8	240.3	0.49771	-6.1	195.3	0.49222	-6.2
0.8711	240.3	57.95300	35.3	235.3	57.90034	35.3	230.3	50.56960	34.1	245.3	50.27525	34.0	225.3	39.17787	31.9
0.9215	225.3	236.56797	47.5	230.3	197.38139	45.9	220.3	168.55643	44.5	235.3	98.88782	39.9	215.3	71.08962	37.0
0.9811	225.3	299.99029	49.5	230.3	229.48908	47.2	220.3	189.46682	45.6	235.3	80.12393	38.1	410.6	71.92496	37.1
1.0406	235.3	143.59050	43.1	230.3	123.09572	41.8	240.3	114.38467	41.2	225.3	69.94856	36.9	245.3	66.22058	36.4
1.0897	220.3	21.87188	26.8	225.3	20.96512	26.4	230.3	19.85722	26.0	235.3	19.60563	25.8	215.3	19.36464	25.7
1.1306	210.3	4.35325	12.8	215.3	3.94355	11.9	205.3	3.50055	10.9	220.3	2.93919	9.4	200.3	2.47760	7.9
1.1850	255.4	0.33631	-9.5	145.2	0.33263	-9.6	140.2	0.28884	-10.8	260.4	0.26751	-11.5	205.3	0.25106	-12.0
1.2310	145.2	0.43746	-7.2	140.2	0.43004	-7.3	105.1	0.37353	-8.6	50.1	0.30518	-10.3	100.1	0.30228	-10.4
1.2816	150.2	0.34254	-9.3	50.1	0.32854	-9.7	55.1	0.32251	-9.8	155.2	0.30340	-10.4	145.2	0.24731	-12.1
1.3309	85.1	0.28401	-10.9	285.4	0.26702	-11.5	80.1	0.26350	-11.6	55.1	0.25233	-12.0	125.2	0.24909	-12.1
1.3798	205.3	0.31039	-10.2	290.4	0.30717	-10.3	50.1	0.29400	-10.6	220.3	0.28725	-10.8	130.2	0.28653	-10.9
1.4234	125.2	0.39734	-8.0	120.2	0.31662	-10.0	50.1	0.31425	-10.1	290.4	0.29728	-10.5	80.1	0.29432	-10.6
1.4716	50.1	0.34606	-9.2	120.2	0.32465	-9.8	80.1	0.32169	-9.9	125.2	0.28652	-10.9	220.3	0.28239	-11.0
1.5216	230.3	29.95057	29.5	235.3	28.99413	29.2	225.3	27.98529	28.9	240.3	25.69257	28.2	220.3	23.94507	27.6
1.5709	225.3	188.56836	45.5	220.3	153.76916	43.7	230.3	152.93755	43.7	235.3	83.47398	38.4	215.3	80.74794	38.1
1.6328	225.3	279.20129	48.9	220.3	272.54472	48.7	230.3	167.44989	44.5	215.3	118.51974	41.5	410.6	70.52505	37.0
1.6910	220.3	182.58577	45.2	225.3	150.23782	43.5	215.3	146.03304	43.3	210.3	94.26547	39.5	230.3	86.66608	38.8
1.7414	230.3	48.56376	33.7	225.3	45.01622	33.1	235.3	44.02465	32.9	240.3	33.90608	30.6	220.3	32.61906	30.3
1.7910	215.3	6.50705	16.3	210.3	6.29874	16.0	230.3	5.63536	15.0	205.3	5.29356	14.5	235.3	5.22483	14.4
1.8351	215.3	0.53605	-5.4	200.3	0.52434	-5.6	220.3	0.49936	-6.0	205.3	0.44404	-7.1	210.3	0.42458	-7.4
1.8818	100.1	0.33937	-9.4	200.3	0.29081	-10.7	145.2	0.28731	-10.8	195.3	0.26993	-11.4	180.3	0.26878	-11.4
1.9310	105.1	0.33959	-9.4	100.1	0.30375	-10.3	90.1	0.26261	-11.6	95.1	0.22992	-12.8	180.3	0.21844	-13.2
