# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: risset_accelerating_haptic.wav
# Generated:   2026-07-17 14:01:03
# Accel sample rate: 1766.4-2025.0 Hz per-window range (1869.5 Hz overall)
# Freq resolution:   5.01 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        234
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4412	235.6	69.26231	36.8	240.6	67.75496	36.6	230.5	62.01840	35.9	245.6	59.06600	35.4	225.5	48.50192	33.7
0.4916	240.6	145.51780	43.3	235.6	139.63523	42.9	245.6	129.98331	42.3	230.5	107.56142	40.6	250.6	104.25362	40.4
0.5477	235.6	85.94795	38.7	230.5	85.08584	38.6	240.6	72.12503	37.2	225.5	67.64935	36.6	245.6	54.24515	34.7
0.5914	220.5	11.74281	21.4	225.5	11.65597	21.3	205.5	11.33421	21.1	210.5	10.79521	20.7	215.5	10.68934	20.6
0.6412	245.6	18.25220	25.2	240.6	18.19069	25.2	250.6	17.50006	24.9	255.6	16.30835	24.2	235.6	16.20452	24.2
0.6880	235.6	148.58395	43.4	230.5	141.70347	43.0	240.6	120.25857	41.6	225.5	105.24026	40.4	245.6	74.84906	37.5
0.7420	235.6	228.60762	47.2	230.5	224.65653	47.0	240.6	156.31569	43.9	225.5	141.86307	43.0	245.6	64.67180	36.2
0.7971	235.6	116.17963	41.3	240.6	100.70783	40.1	230.5	98.56695	39.9	245.6	61.00271	35.7	225.5	57.16824	35.1
0.8476	205.5	17.79168	25.0	210.5	17.26463	24.7	200.5	17.20664	24.7	220.5	16.13967	24.2	215.5	15.78321	24.0
0.8920	235.6	59.96407	35.6	240.6	58.65514	35.4	230.5	54.07082	34.7	245.6	51.94634	34.3	225.5	41.93830	32.5
0.9414	245.6	131.54486	42.4	240.6	130.95137	42.3	250.6	118.61109	41.5	235.6	110.11959	40.8	255.6	97.83603	39.8
0.9972	235.6	80.41048	38.1	230.5	79.70792	38.0	240.6	72.60230	37.2	225.5	62.81277	36.0	245.6	61.24889	35.7
1.0414	215.5	13.03178	22.3	220.5	12.86421	22.2	225.5	11.46204	21.2	210.5	10.31709	20.3	195.5	10.00000	20.0
1.0914	245.6	30.09251	29.6	240.6	30.06859	29.6	235.6	27.68587	28.8	250.6	27.51883	28.8	230.5	24.40813	27.8
1.1385	230.5	174.90734	44.9	235.6	156.77690	43.9	225.5	144.82758	43.2	240.6	106.74189	40.6	220.5	87.59541	38.8
1.1972	235.6	227.60775	47.1	230.5	189.11247	45.5	240.6	187.41786	45.5	245.6	106.77506	40.6	225.5	89.35387	39.0
1.2514	230.5	91.19729	39.2	225.5	81.47704	38.2	235.6	77.21426	37.8	220.5	54.17120	34.7	240.6	48.96585	33.8
1.2970	220.5	19.40998	25.8	225.5	15.53708	23.8	210.5	15.14261	23.6	200.5	14.26014	23.1	205.5	12.94768	22.2
1.3472	230.5	84.02344	38.5	235.6	82.43021	38.3	225.5	75.27151	37.5	240.6	72.17542	37.2	245.6	57.73086	35.2
1.3972	230.5	113.84220	41.1	235.6	111.59349	41.0	240.6	96.86115	39.7	225.5	96.84216	39.7	245.6	78.07138	37.8
1.4477	225.5	42.14808	32.5	230.5	40.61825	32.2	235.6	36.77382	31.3	220.5	34.20332	30.7	240.6	28.78932	29.2
1.4913	205.5	8.02761	18.1	200.5	7.52710	17.5	220.5	7.44519	17.4	225.5	6.02652	15.6	245.6	5.96345	15.5
1.5414	235.6	107.35620	40.6	240.6	104.42695	40.4	230.5	91.29376	39.2	245.6	82.06724	38.3	225.5	65.67225	36.3
1.5932	230.5	230.30931	47.2	235.6	190.77516	45.6	225.5	188.22071	45.5	240.6	108.58742	40.7	220.5	94.73261	39.5
1.6514	235.6	152.92265	43.7	230.5	136.58739	42.7	240.6	117.22232	41.4	225.5	77.76730	37.8	245.6	60.30369	35.6
1.7014	225.5	26.81716	28.6	230.5	25.08832	28.0	210.5	22.58322	27.1	220.5	20.69940	26.3	235.6	19.52525	25.8
1.7477	230.5	58.61220	35.4	235.6	58.11114	35.3	240.6	52.87998	34.5	225.5	51.06478	34.2	245.6	43.80028	32.8
1.8014	235.6	100.65640	40.1	240.6	96.87159	39.7	230.5	92.29480	39.3	245.6	84.76839	38.6	225.5	70.13874	36.9
1.8514	235.6	46.86239	33.4	230.5	44.35020	32.9	240.6	44.14811	32.9	245.6	38.31382	31.7	225.5	37.07852	31.4
1.8971	200.5	10.88970	20.7	205.5	7.49927	17.5	220.5	6.87338	16.7	195.5	6.47542	16.2	215.5	6.22105	15.9
1.9414	240.6	104.29355	40.4	245.6	97.48632	39.8	235.6	92.84032	39.4	250.6	76.00143	37.6	230.5	68.05846	36.7
1.9994	235.6	226.48050	47.1	230.5	192.04140	45.7	240.6	185.97308	45.4	245.6	111.75433	41.0	225.5	97.55769	39.8
2.0514	230.5	144.88560	43.2	225.5	144.19187	43.2	235.6	100.25263	40.0	220.5	93.88822	39.5	215.5	43.65882	32.8
2.1017	225.5	30.88039	29.8	220.5	26.53052	28.5	215.5	23.51379	27.4	230.5	23.21887	27.3	235.6	21.95193	26.8
2.1514	230.5	59.01262	35.4	225.5	58.71971	35.4	235.6	53.75521	34.6	220.5	48.59223	33.7	240.6	46.36831	33.3
2.2048	230.5	78.63583	37.9	225.5	78.55489	37.9	235.6	70.59521	37.0	220.5	66.11786	36.4	240.6	59.53584	35.5
2.2514	225.5	30.90260	29.8	220.5	28.74613	29.2	230.5	27.39621	28.8	215.5	23.09024	27.3	235.6	22.26659	27.0
2.2995	240.6	23.39078	27.4	245.6	23.00005	27.2	235.6	22.11997	26.9	250.6	21.87462	26.8	255.6	19.78956	25.9
2.3477	230.5	155.11512	43.8	235.6	152.89109	43.7	225.5	119.55183	41.6	240.6	116.38372	41.3	245.6	70.85235	37.0
2.4015	235.6	217.46880	46.7	240.6	203.56415	46.2	230.5	160.42532	44.1	245.6	136.41708	42.7	225.5	66.10512	36.4
2.4578	235.6	90.53244	39.1	230.5	87.75786	38.9	240.6	72.60019	37.2	225.5	63.03658	36.0	245.6	46.44353	33.3
2.5017	230.5	26.66483	28.5	225.5	26.27101	28.4	215.5	26.17557	28.4	240.6	19.69290	25.9	220.5	19.18956	25.7
2.5515	230.5	61.73006	35.8	225.5	59.36295	35.5	235.6	58.08016	35.3	240.6	51.91629	34.3	220.5	48.58088	33.7
2.6015	220.5	44.62982	33.0	225.5	44.50382	33.0	230.5	38.73625	31.8	215.5	37.10397	31.4	235.6	32.85779	30.3
2.6514	200.5	10.27316	20.2	215.5	10.16331	20.1	195.5	7.91708	18.0	210.5	7.82347	17.9	220.5	6.17367	15.8
2.6973	235.6	101.75800	40.2	230.5	100.78742	40.1	240.6	84.27171	38.5	225.5	81.84378	38.3	245.6	56.99570	35.1
2.7515	235.6	217.52204	46.8	230.5	214.87978	46.6	240.6	162.46979	44.2	225.5	140.92182	43.0	245.6	92.27266	39.3
2.8077	235.6	148.37068	43.4	230.5	142.44782	43.1	240.6	112.72813	41.0	225.5	92.01399	39.3	245.6	65.05352	36.3
2.8572	215.5	31.44827	30.0	220.5	29.77661	29.5	230.5	28.08559	29.0	225.5	26.92011	28.6	210.5	26.83859	28.6
2.9015	225.5	43.57167	32.8	230.5	42.95380	32.7	220.5	42.92821	32.7	235.6	38.82829	31.8	240.6	34.49929	30.8
2.9574	220.5	39.66902	32.0	225.5	38.59864	31.7	215.5	34.34884	30.7	230.5	33.34275	30.5	235.6	29.97553	29.5
3.0031	200.5	12.74918	22.1	210.5	11.06013	20.9	205.5	9.89976	19.9	215.5	9.83352	19.9	195.5	8.17932	18.3
3.0516	240.6	100.01703	40.0	245.6	92.02308	39.3	235.6	90.26317	39.1	250.6	70.45510	37.0	230.5	68.82385	36.8
3.1015	235.6	207.65015	46.3	230.5	207.17814	46.3	240.6	155.01414	43.8	225.5	143.80369	43.2	245.6	85.33144	38.6
3.1571	230.5	134.73944	42.6	235.6	132.97437	42.5	240.6	98.63951	39.9	225.5	96.14737	39.7	245.6	55.65503	34.9
3.2092	215.5	24.20691	27.7	220.5	22.68625	27.1	225.5	21.36174	26.6	210.5	20.58446	26.3	230.5	20.50421	26.2
3.2571	220.5	40.51425	32.2	225.5	35.83929	31.1	215.5	35.56894	31.0	230.5	32.12869	30.1	210.5	30.36161	29.6
3.3077	220.5	30.12540	29.6	225.5	29.48458	29.4	215.5	27.79164	28.9	230.5	25.53248	28.1	210.5	20.95454	26.4
3.3515	240.6	14.61146	23.3	245.6	14.10794	23.0	255.6	13.12103	22.4	235.6	12.80800	22.1	260.6	12.74775	22.1
3.4015	235.6	136.32833	42.7	230.5	127.36283	42.1	240.6	115.39957	41.2	225.5	90.76450	39.2	245.6	83.16829	38.4
3.4515	230.5	225.26992	47.1	235.6	197.44075	45.9	225.5	173.26508	44.8	240.6	117.59898	41.4	220.5	73.54832	37.3
3.5116	230.5	118.60804	41.5	225.5	112.79576	41.0	235.6	91.88927	39.3	220.5	74.19003	37.4	240.6	50.65347	34.1
3.5571	215.5	32.60441	30.3	205.5	32.43031	30.2	220.5	25.24210	28.0	200.5	22.55104	27.1	225.5	20.82943	26.4
3.6077	215.5	36.22572	31.2	220.5	32.57802	30.3	225.5	31.15617	29.9	210.5	28.97997	29.2	230.5	25.84358	28.2
3.6515	205.5	17.30728	24.8	210.5	15.57728	23.8	200.5	14.00310	22.9	220.5	13.95901	22.9	215.5	13.85932	22.8
3.7015	240.6	55.88677	34.9	235.6	53.36795	34.5	245.6	52.37659	34.4	230.5	44.38802	32.9	250.6	44.30421	32.9
3.7515	230.5	189.11671	45.5	235.6	185.35672	45.4	225.5	145.39119	43.3	240.6	140.85923	43.0	245.6	86.10632	38.7
3.8077	230.5	175.48866	44.9	235.6	165.19552	44.4	225.5	131.91794	42.4	240.6	112.33766	41.0	220.5	58.87792	35.4
3.8572	235.6	41.90839	32.4	240.6	39.56293	31.9	230.5	35.49179	31.0	245.6	31.01402	29.8	225.5	29.20073	29.3
3.9070	210.5	30.20592	29.6	215.5	20.15673	26.1	220.5	20.09786	26.1	225.5	18.45167	25.3	205.5	16.34293	24.3
3.9515	205.5	19.37435	25.7	210.5	19.20977	25.7	215.5	16.18912	24.2	200.5	15.12693	23.6	220.5	15.03294	23.5
3.9972	240.6	20.39067	26.2	245.6	20.34978	26.2	250.6	20.30478	26.2	255.6	19.41390	25.8	235.6	17.13182	24.7
4.0477	235.6	152.77667	43.7	230.5	145.58227	43.3	240.6	122.91734	41.8	225.5	105.06683	40.4	245.6	76.26804	37.6
4.1015	230.5	218.97032	46.8	225.5	211.77052	46.5	235.6	163.01053	44.2	220.5	130.87702	42.3	240.6	80.26538	38.1
4.1572	230.5	100.75975	40.1	235.6	96.57253	39.7	240.6	79.02722	38.0	225.5	77.26182	37.8	210.5	54.61162	34.7
4.2071	200.5	29.21183	29.3	215.5	25.67451	28.2	205.5	24.43408	27.8	220.5	21.89103	26.8	195.5	16.95550	24.6
4.2515	210.5	20.72144	26.3	205.5	19.08629	25.6	215.5	15.65411	23.9	200.5	12.88782	22.2	220.5	11.24499	21.0
4.3015	250.6	14.72183	23.4	240.6	14.71329	23.4	245.6	14.42791	23.2	255.6	14.01025	22.9	235.6	13.14235	22.4
4.3477	235.6	131.10106	42.4	230.5	125.08880	41.9	240.6	112.19244	41.0	225.5	94.70651	39.5	245.6	80.85245	38.2
4.4016	240.6	197.98561	45.9	235.6	177.44208	45.0	245.6	167.90345	44.5	250.6	112.33184	41.0	230.5	109.88923	40.8
4.4573	240.6	84.46758	38.5	235.6	83.05547	38.4	245.6	66.26729	36.4	230.5	63.88984	36.1	250.6	39.03542	31.8
4.5015	200.5	19.94195	26.0	195.5	14.71027	23.4	215.5	12.98655	22.3	205.5	12.19699	21.7	220.5	11.06783	20.9
4.5477	210.5	14.80509	23.4	215.5	12.60940	22.0	205.5	12.39502	21.9	220.5	8.32230	18.4	200.5	8.20356	18.3
4.5972	240.6	20.17602	26.1	235.6	19.42518	25.8	245.6	19.37434	25.7	250.6	17.81716	25.0	230.5	17.72541	25.0
4.6415	230.5	153.25384	43.7	225.5	141.53204	43.0	235.6	125.98151	42.0	220.5	97.63525	39.8	240.6	79.32399	38.0
4.7016	235.6	235.84017	47.5	230.5	209.82477	46.4	240.6	180.01019	45.1	225.5	104.58391	40.4	245.6	99.67816	40.0
4.7572	225.5	116.71652	41.3	230.5	101.49244	40.1	220.5	90.70120	39.2	235.6	61.73621	35.8	215.5	53.26050	34.5
4.8015	205.5	24.15904	27.7	200.5	18.71556	25.4	210.5	18.64138	25.4	225.5	16.69579	24.5	230.5	15.89215	24.0
4.8515	205.5	11.17481	21.0	210.5	10.85810	20.7	200.5	8.29214	18.4	215.5	6.51287	16.3	195.5	5.27639	14.4
4.8975	235.6	52.65332	34.4	240.6	51.57322	34.2	230.5	46.86914	33.4	245.6	45.40681	33.1	225.5	38.21543	31.6
4.9476	235.6	177.30217	45.0	240.6	171.13038	44.7	230.5	142.40670	43.1	245.6	133.34340	42.5	250.6	87.01464	38.8
5.0016	235.6	157.23877	43.9	230.5	150.42445	43.5	240.6	122.56635	41.8	225.5	102.36269	40.2	245.6	75.27549	37.5
5.0515	235.6	33.90893	30.6	230.5	32.37181	30.2	240.6	30.70496	29.7	225.5	26.70817	28.5	205.5	22.03877	26.9
5.0999	205.5	11.20589	21.0	210.5	9.72002	19.8	200.5	6.96391	16.9	195.5	4.21858	12.5	220.5	4.02449	12.1
5.1471	245.6	9.21984	19.3	250.6	9.07824	19.2	255.6	8.85972	18.9	260.6	8.81713	18.9	240.6	8.77734	18.9
5.1915	240.6	125.48100	42.0	235.6	112.94836	41.1	245.6	111.85086	41.0	250.6	81.68452	38.2	230.5	80.27948	38.1
5.2476	235.6	246.01290	47.8	240.6	214.98733	46.6	230.5	187.44200	45.5	245.6	128.95987	42.2	225.5	77.53198	37.8
5.3015	235.6	148.65992	43.4	230.5	141.59637	43.0	240.6	107.73706	40.6	225.5	91.76524	39.3	245.6	49.02296	33.8
5.3515	230.5	24.32116	27.7	235.6	23.48203	27.4	225.5	23.44651	27.4	240.6	21.29359	26.6	220.5	21.09830	26.5
5.3971	200.5	7.33591	17.3	195.5	7.27962	17.2	205.5	6.30823	16.0	190.5	5.42731	14.7	185.4	3.53908	11.0
5.4477	230.5	52.00881	34.3	225.5	48.62409	33.7	235.6	47.78584	33.6	220.5	40.93412	32.2	240.6	36.62212	31.3
5.4970	235.6	143.32277	43.1	230.5	142.47598	43.1	240.6	117.88945	41.4	225.5	105.10108	40.4	245.6	87.59251	38.8
5.5518	230.5	112.57804	41.0	235.6	112.42377	41.0	240.6	94.96377	39.6	225.5	80.11809	38.1	245.6	74.44674	37.4
5.5973	230.5	24.90741	27.9	225.5	22.83766	27.2	235.6	22.07288	26.9	220.5	17.32161	24.8	240.6	16.97635	24.6
5.6477	210.5	4.48592	13.0	205.5	4.13791	12.3	215.5	2.93050	9.3	200.5	2.85796	9.1	225.5	2.10030	6.4
5.6915	235.6	50.35936	34.0	240.6	48.73292	33.8	230.5	46.71956	33.4	245.6	42.73395	32.6	225.5	38.49694	31.7
5.7415	235.6	202.18684	46.1	230.5	182.26681	45.2	240.6	162.66567	44.2	225.5	107.86117	40.7	245.6	103.64228	40.3
5.8015	225.5	212.83420	46.6	230.5	187.04176	45.4	220.5	157.36890	43.9	235.6	105.04954	40.4	215.5	68.36206	36.7
5.8515	225.5	69.76147	36.9	230.5	69.20072	36.8	220.5	58.93068	35.4	235.6	55.45685	34.9	215.5	42.91620	32.7
5.9015	205.5	13.35956	22.5	210.5	12.62827	22.0	215.5	10.52311	20.4	200.5	10.38272	20.3	220.5	9.66005	19.7
5.9476	235.6	47.62069	33.6	240.6	47.60258	33.6	245.6	43.42512	32.8	230.5	42.55216	32.6	250.6	36.68827	31.3
5.9972	235.6	155.34901	43.8	240.6	151.06851	43.6	230.5	129.73851	42.3	245.6	125.66637	42.0	250.6	93.80753	39.4
6.0515	235.6	128.34447	42.2	230.5	119.78236	41.6	240.6	112.11366	41.0	225.5	83.95566	38.5	245.6	81.99595	38.3
6.1013	230.5	25.08414	28.0	235.6	25.05154	28.0	225.5	23.06765	27.3	240.6	22.11973	26.9	245.6	19.28925	25.7
6.1486	205.5	4.49933	13.1	210.5	4.12878	12.3	200.5	3.93282	11.9	195.5	3.34933	10.5	215.5	2.63225	8.4
6.1915	240.6	66.45975	36.5	245.6	64.24253	36.2	235.6	60.16372	35.6	250.6	54.30089	34.7	230.5	47.29825	33.5
6.2415	235.6	221.87402	46.9	240.6	216.42243	46.7	230.5	157.45489	43.9	245.6	150.69416	43.6	250.6	74.63755	37.5
6.3015	230.5	204.57624	46.2	225.5	187.79755	45.5	235.6	149.06512	43.5	220.5	103.91324	40.3	240.6	67.74689	36.6
6.3515	230.5	55.81554	34.9	225.5	51.36232	34.2	235.6	50.94162	34.1	220.5	38.36584	31.7	240.6	37.68203	31.5
6.4015	210.5	9.54897	19.6	205.5	9.03429	19.1	195.5	8.99141	19.1	200.5	8.75834	18.8	225.5	7.36488	17.3
6.4477	240.6	88.81030	39.0	235.6	88.31467	38.9	245.6	79.60271	38.0	230.5	76.53005	37.7	250.6	64.47446	36.2
6.5031	235.6	144.62566	43.2	240.6	136.16147	42.7	230.5	133.58117	42.5	245.6	116.13344	41.3	225.5	97.70338	39.8
6.5514	230.5	65.02005	36.3	225.5	64.56381	36.2	235.6	57.65325	35.2	220.5	52.88404	34.5	240.6	48.34245	33.7
6.6015	210.5	11.46923	21.2	205.5	11.01563	20.8	215.5	9.31032	19.4	200.5	8.09194	18.2	220.5	7.41479	17.4
6.6501	240.6	32.11426	30.1	235.6	31.80189	30.0	245.6	29.39724	29.4	230.5	29.33749	29.3	250.6	25.08220	28.0
6.6984	230.5	174.90015	44.9	235.6	169.68543	44.6	225.5	134.50771	42.6	240.6	120.89810	41.6	220.5	81.12657	38.2
6.7515	235.6	219.43635	46.8	240.6	218.15855	46.8	245.6	150.00163	43.5	230.5	143.14603	43.1	250.6	68.62635	36.7
6.8077	235.6	94.35691	39.5	230.5	80.05534	38.1	240.6	79.18332	38.0	225.5	48.85274	33.8	245.6	47.91022	33.6
6.8515	210.5	12.78505	22.1	200.5	12.47021	21.9	195.5	12.01572	21.6	215.5	11.13516	20.9	205.5	10.91107	20.8
6.9015	235.6	81.70820	38.2	240.6	78.53978	37.9	230.5	76.16186	37.6	245.6	69.72698	36.9	225.5	61.15704	35.7
6.9515	230.5	137.88860	42.8	225.5	130.97567	42.3	235.6	128.92552	42.2	240.6	111.39487	40.9	220.5	101.78547	40.2
7.0075	225.5	64.37150	36.2	230.5	63.18121	36.0	235.6	55.91128	34.9	220.5	54.85170	34.8	240.6	47.00079	33.4
7.0544	200.5	9.52474	19.6	205.5	9.40388	19.5	210.5	7.99484	18.1	215.5	7.86638	17.9	195.5	7.65881	17.7
7.1028	240.6	51.10134	34.2	235.6	50.02374	34.0	245.6	46.54820	33.4	230.5	44.39858	32.9	250.6	38.42917	31.7
7.1516	230.5	198.16375	45.9	225.5	174.43559	44.8	235.6	159.17024	44.0	220.5	105.09038	40.4	240.6	98.07422	39.8
7.2078	230.5	203.66681	46.2	235.6	182.06627	45.2	225.5	141.30648	43.0	240.6	99.64299	40.0	220.5	45.82593	33.2
7.2615	235.6	67.63494	36.6	240.6	62.37926	35.9	230.5	57.18877	35.1	245.6	42.57435	32.6	225.5	35.85810	31.1
7.3076	235.6	23.28360	27.3	240.6	20.23266	26.1	230.5	20.19233	26.1	220.5	19.23519	25.7	215.5	18.94075	25.5
7.3515	240.6	109.61559	40.8	245.6	104.62272	40.4	235.6	101.48308	40.1	250.6	90.75045	39.2	230.5	79.65344	38.0
7.4114	235.6	111.73976	41.0	240.6	108.65761	40.7	230.5	100.75978	40.1	245.6	96.65514	39.7	250.6	79.94711	38.1
7.4570	225.5	28.48906	29.1	220.5	27.33091	28.7	230.5	26.01554	28.3	235.6	22.44838	27.0	215.5	21.94753	26.8
7.5050	240.6	15.81967	24.0	245.6	15.52595	23.8	235.6	15.32672	23.7	250.6	15.11087	23.6	255.6	13.34815	22.5
7.5525	230.5	143.60340	43.1	235.6	140.29383	42.9	225.5	114.01780	41.1	240.6	107.70423	40.6	220.5	69.44357	36.8
7.6076	230.5	239.58313	47.6	235.6	207.77525	46.4	225.5	186.93853	45.4	240.6	130.39156	42.3	220.5	78.01704	37.8
7.6630	230.5	122.22583	41.7	235.6	111.53739	40.9	225.5	95.67081	39.6	240.6	73.23652	37.3	220.5	55.02810	34.8
7.7115	215.5	21.82885	26.8	230.5	19.80393	25.9	195.5	17.03057	24.6	200.5	17.02356	24.6	210.5	15.32424	23.7
7.7571	235.6	68.76014	36.7	230.5	66.42681	36.4	240.6	66.08066	36.4	245.6	59.32199	35.5	225.5	56.34959	35.0
7.8120	235.6	85.82772	38.7	230.5	83.65369	38.4	240.6	80.90661	38.2	245.6	74.04192	37.4	225.5	69.71688	36.9
7.8614	230.5	30.24969	29.6	225.5	30.02969	29.6	235.6	27.62539	28.8	220.5	26.06744	28.3	215.5	23.90588	27.6
7.9077	240.6	14.25211	23.1	245.6	13.65279	22.7	250.6	13.21990	22.4	235.6	12.87525	22.2	255.6	12.29701	21.8
7.9515	235.6	135.82226	42.7	240.6	120.66288	41.6	230.5	120.32598	41.6	225.5	86.22887	38.7	245.6	83.51365	38.4
8.0078	235.6	225.14685	47.0	240.6	209.61908	46.4	230.5	162.34768	44.2	245.6	139.55647	42.9	250.6	63.90772	36.1
8.0671	230.5	115.58085	41.3	225.5	104.17596	40.4	235.6	92.27370	39.3	220.5	67.27337	36.6	240.6	54.42146	34.7
8.1120	225.5	25.94581	28.3	215.5	22.70106	27.1	210.5	19.43873	25.8	240.6	18.66452	25.4	195.5	17.97125	25.1
