# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: risset_decelerating_haptic.wav
# Generated:   2026-07-17 14:01:18
# Accel sample rate: 1746.1-1985.2 Hz per-window range (1869.4 Hz overall)
# Freq resolution:   5.01 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        234
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4404	240.6	49.46503	33.9	245.6	48.08435	33.6	235.6	46.38304	33.3	250.6	42.44174	32.6	230.5	38.91955	31.8
0.4910	235.6	146.23757	43.3	240.6	139.99348	42.9	230.5	139.38762	42.9	245.6	122.36263	41.8	225.5	114.69564	41.2
0.5466	235.6	106.77972	40.6	240.6	105.39494	40.5	245.6	100.82731	40.1	230.5	99.96030	40.0	250.6	90.87444	39.2
0.5941	220.5	26.83013	28.6	225.5	24.67234	27.8	215.5	23.33137	27.4	210.5	19.25976	25.7	230.5	18.22612	25.2
0.6373	205.5	4.11942	12.3	210.5	3.82065	11.6	200.5	3.20556	10.1	215.5	2.55714	8.2	195.5	2.11935	6.5
0.6879	240.6	46.86184	33.4	245.6	44.77446	33.0	235.6	43.84368	32.8	250.6	38.60675	31.7	230.5	36.71789	31.3
0.7373	230.5	189.41965	45.5	225.5	181.12639	45.2	235.6	145.78523	43.3	220.5	123.66411	41.8	240.6	80.98919	38.2
0.7940	230.5	195.15991	45.8	235.6	193.91524	45.8	240.6	138.75172	42.8	225.5	132.39931	42.4	245.6	65.39446	36.3
0.8478	230.5	59.11904	35.4	235.6	57.63905	35.2	225.5	49.30476	33.9	240.6	47.65222	33.6	210.5	42.26177	32.5
0.8940	205.5	12.32220	21.8	210.5	12.30217	21.8	215.5	9.72603	19.8	220.5	9.34531	19.4	200.5	8.61859	18.7
0.9413	245.6	29.20293	29.3	240.6	28.36458	29.1	250.6	27.69859	28.8	235.6	26.12844	28.3	255.6	24.04191	27.6
0.9877	240.6	141.32922	43.0	235.6	136.86068	42.7	245.6	126.22525	42.0	230.5	107.29177	40.6	250.6	100.81082	40.1
1.0440	240.6	147.96528	43.4	245.6	141.07327	43.0	235.6	125.58829	42.0	250.6	120.26995	41.6	255.6	94.34376	39.5
1.0940	230.5	43.89730	32.8	225.5	40.38323	32.1	235.6	38.01593	31.6	220.5	30.90504	29.8	240.6	28.69204	29.2
1.1372	205.5	9.48425	19.5	210.5	7.65114	17.7	200.5	6.44400	16.2	195.5	3.46237	10.8	215.5	3.36116	10.5
1.1879	250.6	7.30014	17.3	240.6	7.06788	17.0	255.6	7.00606	16.9	245.6	6.74833	16.6	260.6	6.69021	16.5
1.2363	230.5	114.05691	41.1	225.5	109.76220	40.8	235.6	96.33116	39.7	220.5	84.01784	38.5	240.6	68.09241	36.7
1.2879	230.5	224.67608	47.0	235.6	213.54724	46.6	225.5	159.41739	44.1	240.6	151.31616	43.6	245.6	87.33556	38.8
1.3466	235.6	142.36268	43.1	230.5	130.41242	42.3	240.6	115.19922	41.2	225.5	87.99669	38.9	245.6	67.57837	36.6
1.3929	225.5	29.08735	29.3	220.5	28.55779	29.1	230.5	26.22677	28.4	215.5	22.60864	27.1	235.6	21.48317	26.6
1.4375	205.5	10.10735	20.1	210.5	8.41147	18.5	200.5	8.27479	18.4	195.5	5.01848	14.0	215.5	3.94924	11.9
1.4874	250.6	41.35050	32.3	245.6	40.55843	32.2	255.6	37.73355	31.5	240.6	36.84878	31.3	260.6	31.91457	30.1
1.5340	240.6	163.01684	44.2	235.6	153.93253	43.7	245.6	143.05855	43.1	230.5	113.48524	41.1	250.6	108.91584	40.7
1.5880	235.6	155.91664	43.9	240.6	150.02474	43.5	230.5	128.48928	42.2	245.6	116.36898	41.3	225.5	77.07098	37.7
1.6375	235.6	38.45107	31.7	240.6	38.22806	31.6	245.6	35.12308	30.9	230.5	33.85469	30.6	250.6	28.95969	29.2
1.6879	205.5	12.57139	22.0	200.5	9.37809	19.4	210.5	7.51092	17.5	190.5	6.61934	16.4	185.4	6.49649	16.3
1.7279	200.5	5.57997	14.9	195.5	5.48117	14.8	190.5	4.42092	12.9	205.5	4.40459	12.9	185.4	3.84916	11.7
1.7774	240.6	71.95717	37.1	235.6	71.11599	37.0	245.6	63.35677	36.0	230.5	59.93956	35.6	250.6	49.82050	33.9
1.8280	230.5	212.19700	46.5	225.5	202.73159	46.1	235.6	155.81085	43.9	220.5	127.91134	42.1	240.6	83.78447	38.5
1.8900	225.5	189.10640	45.5	230.5	169.29349	44.6	220.5	140.95273	43.0	235.6	100.54916	40.0	215.5	60.34055	35.6
1.9375	225.5	48.56814	33.7	230.5	42.98133	32.7	220.5	41.46876	32.4	235.6	36.62875	31.3	215.5	32.17957	30.2
1.9880	215.5	20.20838	26.1	210.5	19.89040	26.0	205.5	11.79729	21.4	220.5	11.00743	20.8	230.5	7.75526	17.8
2.0350	205.5	8.54974	18.6	200.5	8.14884	18.2	195.5	5.42465	14.7	215.5	4.83387	13.7	210.5	4.79530	13.6
2.0773	240.6	83.11013	38.4	235.6	81.22117	38.2	245.6	74.85882	37.5	230.5	66.66028	36.5	250.6	61.42666	35.8
2.1326	230.5	177.67222	45.0	235.6	173.21659	44.8	240.6	137.76491	42.8	225.5	135.11414	42.6	245.6	99.53352	40.0
2.1879	230.5	116.46611	41.3	235.6	114.98988	41.2	240.6	87.92550	38.9	225.5	86.86004	38.8	245.6	55.12524	34.8
2.2376	230.5	24.64208	27.8	220.5	21.84785	26.8	205.5	21.83102	26.8	235.6	17.48973	24.9	225.5	17.26603	24.7
2.2773	210.5	22.48770	27.0	215.5	18.06165	25.1	205.5	15.16367	23.6	220.5	13.97145	22.9	225.5	12.46785	21.9
2.3280	210.5	11.29348	21.1	205.5	9.18048	19.3	215.5	8.44863	18.5	200.5	7.10153	17.0	230.5	5.50800	14.8
2.3774	230.5	71.74264	37.1	225.5	69.12028	36.8	235.6	64.91451	36.2	220.5	55.85901	34.9	240.6	54.40759	34.7
2.4274	225.5	202.25723	46.1	230.5	189.48556	45.6	220.5	143.00798	43.1	235.6	127.04681	42.1	250.6	80.47578	38.1
2.4880	225.5	185.96626	45.4	230.5	178.70287	45.0	220.5	115.33552	41.2	235.6	109.12287	40.8	255.6	44.07512	32.9
2.5379	225.5	52.84628	34.5	230.5	48.70999	33.8	220.5	43.32019	32.7	235.6	36.07832	31.1	215.5	32.94588	30.4
2.5854	210.5	30.50268	29.7	205.5	29.19847	29.3	220.5	22.80392	27.2	215.5	22.52419	27.1	225.5	20.53844	26.3
2.6330	210.5	18.30741	25.3	205.5	16.89869	24.6	215.5	15.37567	23.7	220.5	13.75607	22.8	225.5	12.93789	22.2
2.6805	250.6	34.56206	30.8	245.6	33.90658	30.6	255.6	33.59439	30.5	260.6	30.89316	29.8	240.6	29.58091	29.4
2.7274	235.6	160.43922	44.1	230.5	158.72759	44.0	240.6	123.98527	41.9	225.5	115.26612	41.2	245.6	80.65121	38.1
2.7775	240.6	182.26540	45.2	235.6	162.55888	44.2	245.6	148.20822	43.4	230.5	101.30367	40.1	250.6	79.88668	38.0
2.8365	225.5	57.50468	35.2	230.5	57.29252	35.2	235.6	47.18212	33.5	220.5	45.92585	33.2	200.5	30.38992	29.7
2.8776	205.5	33.41618	30.5	215.5	27.42756	28.8	200.5	23.93527	27.6	210.5	19.58139	25.8	220.5	14.55914	23.3
2.9335	215.5	31.82539	30.1	220.5	29.64154	29.4	210.5	27.57770	28.8	225.5	26.07355	28.3	230.5	20.55834	26.3
2.9773	200.5	12.33168	21.8	195.5	9.00524	19.1	215.5	8.24226	18.3	205.5	7.63411	17.7	220.5	6.94438	16.8
3.0264	240.6	93.74072	39.4	235.6	89.44280	39.0	245.6	82.90997	38.4	230.5	69.62693	36.9	250.6	62.95712	36.0
3.0774	230.5	227.38150	47.1	225.5	196.80241	45.9	235.6	181.85428	45.2	240.6	105.18466	40.4	220.5	100.63117	40.1
3.1364	235.6	166.87277	44.4	240.6	164.82353	44.3	230.5	118.52822	41.5	245.6	117.72533	41.4	225.5	62.14368	35.9
3.1874	235.6	39.96196	32.0	230.5	38.18751	31.6	225.5	35.83445	31.1	215.5	35.26256	30.9	220.5	30.19542	29.6
3.2280	225.5	43.04880	32.7	220.5	38.59601	31.7	230.5	38.23480	31.6	215.5	34.80817	30.8	235.6	31.13546	29.9
3.2775	225.5	31.39390	29.9	220.5	29.75552	29.5	230.5	29.23984	29.3	215.5	25.74487	28.2	235.6	23.70475	27.5
3.3280	235.6	12.19311	21.7	240.6	11.09059	20.9	230.5	10.68750	20.6	195.5	10.00125	20.0	250.6	9.76319	19.8
3.3775	225.5	125.83078	42.0	230.5	121.53382	41.7	220.5	103.25915	40.3	235.6	94.57381	39.5	215.5	67.05981	36.5
3.4314	240.6	216.82622	46.7	235.6	213.26779	46.6	245.6	160.87902	44.1	230.5	144.17974	43.2	250.6	85.83775	38.7
3.4880	235.6	118.83949	41.5	240.6	110.18385	40.8	230.5	91.10987	39.2	245.6	76.46990	37.7	225.5	42.48594	32.6
3.5279	230.5	26.94077	28.6	220.5	24.70968	27.9	215.5	22.67180	27.1	225.5	22.26568	27.0	235.6	19.10842	25.6
3.5775	230.5	47.09174	33.5	225.5	45.67532	33.2	235.6	44.93322	33.1	240.6	39.40397	31.9	220.5	35.98904	31.1
3.6280	215.5	34.15839	30.7	220.5	32.29720	30.2	210.5	29.49232	29.4	225.5	26.06552	28.3	205.5	23.04812	27.3
3.6775	195.5	8.69169	18.8	245.6	8.54609	18.6	215.5	8.52965	18.6	240.6	8.05586	18.1	200.5	7.99296	18.1
3.7274	230.5	117.16123	41.4	225.5	109.55999	40.8	235.6	100.63863	40.1	220.5	79.41325	38.0	240.6	72.34388	37.2
3.7790	230.5	231.48609	47.3	225.5	218.81360	46.8	235.6	168.29402	44.5	220.5	125.76268	42.0	240.6	90.80334	39.2
3.8375	235.6	151.64644	43.6	240.6	137.23503	42.7	230.5	113.41249	41.1	245.6	84.47279	38.5	225.5	55.85190	34.9
3.8864	230.5	33.57386	30.5	240.6	31.35809	29.9	225.5	29.11767	29.3	215.5	24.94819	27.9	200.5	22.22393	26.9
3.9280	235.6	59.63510	35.5	230.5	56.85447	35.1	240.6	53.69196	34.6	225.5	50.59325	34.1	245.6	46.04009	33.3
3.9775	230.5	56.68065	35.1	225.5	53.39973	34.6	235.6	50.70513	34.1	240.6	42.95260	32.7	220.5	39.42046	31.9
4.0277	215.5	14.59734	23.3	210.5	13.21036	22.4	205.5	12.27405	21.8	220.5	11.83919	21.5	200.5	11.56038	21.3
4.0774	230.5	60.56944	35.6	235.6	59.12430	35.4	225.5	54.29276	34.7	240.6	51.65068	34.3	220.5	41.54368	32.4
4.1281	230.5	191.58128	45.6	225.5	178.46977	45.0	235.6	152.65568	43.7	220.5	111.34179	40.9	240.6	101.81698	40.2
4.1862	235.6	178.05734	45.0	240.6	154.97759	43.8	230.5	142.89492	43.1	245.6	92.89447	39.4	225.5	71.67111	37.1
4.2374	230.5	45.98936	33.3	235.6	44.64032	33.0	240.6	39.82193	32.0	225.5	34.58649	30.8	245.6	31.93445	30.1
4.2797	230.5	48.09598	33.6	235.6	47.48653	33.5	240.6	45.74261	33.2	225.5	42.68854	32.6	245.6	39.01074	31.8
4.3280	235.6	82.46744	38.3	240.6	79.36595	38.0	230.5	76.84914	37.7	245.6	72.54880	37.2	250.6	64.60290	36.2
4.3864	225.5	40.19948	32.1	230.5	38.86817	31.8	220.5	35.57822	31.0	235.6	34.66360	30.8	240.6	29.68773	29.5
4.4327	225.5	8.55296	18.6	230.5	8.28178	18.4	240.6	8.03813	18.1	205.5	7.89279	17.9	190.5	7.67769	17.7
