# LRA Stimulus Response — Time Series Data
# Source file:      risset_decelerating_haptic.wav
# Generated:        2026-07-17 14:01:18
# Stimulus duration:12.000 s
# Analysis window:  0.440s to 12.107s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1746.1-1985.2 Hz (range across windows; 1869.4 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 239.1 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (373 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             234
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4404	0.751549	241.67
0.4910	0.759392	237.46
0.5466	0.759512	238.08
0.5941	0.719225	222.86
0.6373	0.280691	203.94
0.6879	0.909567	239.45
0.7373	0.969095	227.45
0.7940	0.970544	232.23
0.8478	0.942244	234.69
0.8940	0.351196	205.95
0.9413	0.754053	243.90
0.9877	0.779176	239.37
1.0440	0.779786	239.31
1.0940	0.779846	229.15
1.1372	0.213322	207.45
1.1879	0.705099	252.05
1.2363	0.970910	228.56
1.2879	0.981826	233.56
1.3466	0.982672	233.02
1.3929	0.692152	225.01
1.4375	0.199434	207.54
1.4874	0.797781	250.46
1.5340	0.818826	239.31
1.5880	0.819498	238.71
1.6375	0.817879	236.57
1.6879	0.200325	205.33
1.7279	0.483376	199.03
1.7774	0.945857	236.95
1.8280	0.977697	228.39
1.8900	0.979741	227.29
1.9375	0.859970	226.37
1.9880	0.265424	212.89
2.0350	0.544780	204.53
2.0773	0.811204	239.45
2.1326	0.817735	231.36
2.1879	0.820306	234.45
2.2376	0.628099	229.71
2.2773	0.142091	210.54
2.3280	0.507327	210.24
2.3774	0.946676	227.18
2.4274	0.980896	227.99
2.4880	0.984324	225.39
2.5379	0.861902	227.98
2.5854	0.295792	207.25
2.6330	0.134480	210.53
2.6805	0.833094	249.15
2.7274	0.879563	235.27
2.7775	0.880659	237.77
2.8365	0.892682	227.48
