# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: shepard_falling_haptic.wav
# Generated:   2026-07-17 13:59:19
# Accel sample rate: 1560.9-1837.8 Hz per-window range (1663.3 Hz overall)
# Freq resolution:   5.01 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        234
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4108	240.5	172.68255	44.7	235.5	160.46699	44.1	185.4	133.87928	42.5	190.4	104.04229	40.3	305.6	68.92673	36.8
0.4617	235.5	164.60811	44.3	240.5	126.74393	42.1	185.4	126.57209	42.0	230.5	94.10985	39.5	245.5	90.97937	39.2
0.5116	235.5	177.03059	45.0	230.5	144.13098	43.2	185.4	115.12132	41.2	180.4	94.02432	39.5	300.6	86.47657	38.7
0.5618	235.5	224.97562	47.0	240.5	143.12126	43.1	185.4	123.67280	41.8	230.5	120.37060	41.6	300.6	103.48873	40.3
0.6122	230.5	223.06403	47.0	225.5	179.41554	45.1	180.4	97.01899	39.7	290.6	94.31865	39.5	235.5	90.21789	39.1
0.6617	235.5	220.27020	46.9	230.5	198.32807	45.9	240.5	91.32527	39.2	295.6	90.23956	39.1	300.6	87.43999	38.8
0.7158	230.5	217.09640	46.7	225.5	164.29978	44.3	235.5	123.20040	41.8	290.6	91.24692	39.2	295.6	87.19566	38.8
0.7618	225.5	189.47995	45.6	230.5	155.50443	43.8	220.4	143.88122	43.2	235.5	95.20837	39.6	215.4	85.95349	38.7
0.8139	220.4	218.31091	46.8	215.4	156.22152	43.9	225.5	137.47778	42.8	210.4	87.33671	38.8	280.6	65.56544	36.3
0.8616	220.4	192.46782	45.7	225.5	191.65155	45.7	230.5	93.06473	39.4	285.6	71.83618	37.1	210.4	71.67727	37.1
