# LRA Stimulus Response — Time Series Data
# Source file:      shepard_falling_haptic.wav
# Generated:        2026-07-17 13:59:19
# Stimulus duration:12.000 s
# Analysis window:  0.411s to 12.289s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1560.9-1837.8 Hz (range across windows; 1663.3 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 276.9 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (332 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             234
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4108	1.454310	237.58
0.4617	1.482471	236.85
0.5116	1.465189	232.70
0.5618	1.495776	234.30
0.6122	1.509611	229.47
0.6617	1.511265	234.28
0.7158	1.485934	227.29
0.7618	1.455369	224.43
0.8139	1.465321	219.35
0.8616	1.478905	224.35
0.9158	1.509987	226.47
0.9618	1.547273	213.53
1.0202	1.584798	212.89
1.0717	1.602137	208.32
1.1218	1.660126	208.60
1.1723	1.704610	208.66
1.2263	1.730270	207.99
1.2772	1.739035	206.64
1.3289	1.696400	203.15
1.3818	1.654864	204.58
1.4324	1.603455	199.99
1.4839	1.555136	204.45
1.5342	1.528043	199.36
1.5817	1.491530	196.76
1.6324	1.446472	196.63
1.6815	1.441812	194.64
1.7319	1.440918	240.75
1.7815	1.443658	240.99
1.8353	1.471043	239.27
1.8842	1.445101	238.80
1.9319	1.468364	242.90
1.9819	1.476954	242.14
2.0323	1.476547	229.88
2.0902	1.506527	224.99
2.1406	1.498412	219.31
2.1917	1.507006	226.96
2.2415	1.513892	227.99
2.2923	1.486517	228.55
2.3418	1.481520	223.90
2.3924	1.505629	216.75
2.4418	1.564319	223.79
