# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: shepard_rising_haptic.wav
# Generated:   2026-07-17 13:59:34
# Accel sample rate: 1552.0-1876.0 Hz per-window range (1665.3 Hz overall)
# Freq resolution:   5.00 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        234
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4107	190.0	205.96728	46.3	245.0	160.17046	44.1	240.0	149.24501	43.5	195.0	106.24304	40.5	185.0	99.80239	40.0
0.4607	195.0	182.22900	45.2	200.0	177.33540	45.0	255.0	168.03720	44.5	250.0	161.50524	44.2	205.0	69.58642	36.9
0.5114	205.0	190.47700	45.6	200.0	182.92028	45.2	260.0	150.26722	43.5	255.0	129.31613	42.2	265.0	87.12596	38.8
0.5624	205.0	213.84706	46.6	210.0	151.46176	43.6	260.0	125.28636	42.0	265.0	118.35831	41.5	200.0	115.53680	41.3
0.6117	210.0	253.95373	48.1	205.0	155.37569	43.8	215.0	134.91129	42.6	270.1	106.37576	40.5	265.0	100.21048	40.0
0.6622	210.0	293.99454	49.4	215.0	219.63564	46.8	205.0	123.22672	41.8	270.1	106.50881	40.5	275.1	61.80097	35.8
0.7116	205.0	283.84720	49.1	200.0	206.02987	46.3	210.0	132.42070	42.4	260.0	80.84925	38.2	195.0	80.24451	38.1
0.7623	205.0	277.80581	48.9	210.0	264.19155	48.4	265.0	85.33869	38.6	215.0	78.06517	37.8	320.1	65.43513	36.3
0.8201	210.0	299.61527	49.5	205.0	233.71598	47.4	215.0	96.82507	39.7	265.0	75.89796	37.6	310.1	69.93213	36.9
0.8712	210.0	310.63925	49.8	215.0	202.69757	46.1	205.0	112.31517	41.0	270.1	84.81533	38.6	275.1	62.91618	36.0
0.9207	215.0	251.88545	48.0	220.0	225.24270	47.1	275.1	95.56217	39.6	280.1	90.42646	39.1	210.0	88.60989	38.9
0.9713	220.0	242.40829	47.7	225.0	142.48938	43.1	280.1	120.00378	41.6	215.0	114.23578	41.2	285.1	83.20950	38.4
1.0232	220.0	196.04046	45.8	225.0	172.37551	44.7	285.1	117.82667	41.4	280.1	106.97520	40.6	215.0	101.28609	40.1
