# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: pitch_constant_220to220Hz.wav
# Generated:   2026-07-17 13:58:05
# Accel sample rate: 1526.0-1768.6 Hz per-window range (1634.7 Hz overall)
# Freq resolution:   5.01 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        234
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4001	225.6	354.77094	51.0	230.7	216.72343	46.7	220.6	153.20627	43.7	356.0	87.42869	38.8	351.0	80.28456	38.1
0.4550	215.6	365.45212	51.3	220.6	202.73190	46.1	210.6	155.43097	43.8	336.0	85.80611	38.7	341.0	59.87725	35.5
0.5011	220.6	321.46385	50.1	215.6	224.73122	47.0	225.6	138.22678	42.8	341.0	88.68774	39.0	346.0	70.32996	36.9
0.5577	225.6	364.12457	51.2	230.7	187.01051	45.4	220.6	183.62507	45.3	351.0	98.41760	39.9	356.0	72.36260	37.2
0.6048	215.6	348.69017	50.8	210.6	198.51680	46.0	220.6	147.92134	43.4	336.0	96.92113	39.7	341.0	60.10076	35.6
0.6539	220.6	343.14594	50.7	215.6	196.52804	45.9	225.6	169.41867	44.6	346.0	81.88373	38.3	341.0	79.73575	38.0
0.7095	220.6	290.61300	49.3	215.6	239.39531	47.6	225.6	120.65405	41.6	341.0	93.09888	39.4	346.0	78.16673	37.9
0.7601	215.6	293.52402	49.4	220.6	234.95969	47.4	210.6	128.10047	42.2	341.0	85.98166	38.7	336.0	80.15217	38.1
0.8103	215.6	300.63440	49.6	220.6	210.27455	46.5	210.6	129.81425	42.3	336.0	98.48639	39.9	341.0	89.64563	39.1
0.8601	225.6	286.04787	49.1	220.6	260.96565	48.3	351.0	98.97735	39.9	230.7	92.87961	39.4	346.0	92.56209	39.3
0.9102	225.6	328.42441	50.3	220.6	238.39993	47.5	230.7	120.38885	41.6	351.0	108.78882	40.7	346.0	74.24638	37.4
0.9601	225.6	319.16717	50.1	220.6	213.77108	46.6	230.7	159.09699	44.0	351.0	88.37287	38.9	215.6	76.49979	37.7
1.0096	225.6	321.06995	50.1	220.6	229.08650	47.2	230.7	152.22858	43.6	351.0	81.28804	38.2	215.6	69.44116	36.8
1.0600	225.6	327.99876	50.3	220.6	228.75583	47.2	230.7	150.85308	43.6	351.0	82.37928	38.3	215.6	54.11868	34.7
1.1103	220.6	317.54517	50.0	215.6	214.83533	46.6	225.6	145.19032	43.2	341.0	89.40047	39.0	346.0	77.67166	37.8
1.1600	225.6	325.55307	50.3	220.6	207.23412	46.3	230.7	170.35919	44.6	351.0	86.01970	38.7	215.6	62.71567	35.9
1.2145	215.6	324.40188	50.2	210.6	193.24118	45.7	220.6	157.18730	43.9	336.0	85.84014	38.7	341.0	57.97635	35.3
1.2601	215.6	301.04198	49.6	210.6	239.45555	47.6	220.6	130.62684	42.3	205.6	78.92858	37.9	336.0	73.38794	37.3
1.3195	215.6	299.69012	49.5	220.6	228.47177	47.2	210.6	127.41535	42.1	341.0	81.04229	38.2	336.0	79.77191	38.0
1.3698	215.6	286.68643	49.1	210.6	275.94398	48.8	220.6	83.55055	38.4	336.0	69.98010	36.9	205.6	69.23151	36.8
1.4203	210.6	304.74177	49.7	215.6	234.41155	47.4	205.6	121.39917	41.7	330.9	85.74184	38.7	220.6	52.62844	34.4
1.4696	225.6	313.67607	49.9	220.6	254.86018	48.1	230.7	107.99122	40.7	351.0	90.14462	39.1	346.0	77.30523	37.8
1.5201	220.6	356.29500	51.0	215.6	188.87701	45.5	225.6	172.68128	44.7	346.0	83.77062	38.5	341.0	73.21307	37.3
1.5695	220.6	310.62956	49.8	225.6	249.76352	48.0	215.6	131.18422	42.4	346.0	80.26468	38.1	230.7	77.88315	37.8
1.6239	220.6	354.71538	51.0	215.6	196.38762	45.9	225.6	173.36365	44.8	341.0	70.92362	37.0	346.0	67.85763	36.6
1.6714	225.6	329.68751	50.4	230.7	188.74876	45.5	220.6	184.15068	45.3	351.0	79.07794	38.0	356.0	65.23441	36.3
1.7238	225.6	313.03918	49.9	220.6	246.91534	47.9	230.7	139.90776	42.9	215.6	85.04906	38.6	351.0	74.46781	37.4
1.7695	215.6	307.06590	49.7	220.6	196.74551	45.9	210.6	159.85284	44.1	336.0	80.27235	38.1	341.0	68.33272	36.7
1.8201	220.6	286.13302	49.1	225.6	264.46831	48.4	215.6	103.04982	40.3	230.7	86.10900	38.7	346.0	85.22028	38.6
1.8775	215.6	298.33725	49.5	210.6	251.07068	48.0	220.6	111.64196	41.0	330.9	72.26715	37.2	336.0	71.35010	37.1
1.9249	215.6	321.97053	50.2	210.6	203.88223	46.2	220.6	145.63306	43.3	336.0	84.43459	38.5	330.9	60.06817	35.6
1.9795	220.6	361.79788	51.2	225.6	224.54536	47.0	215.6	141.43282	43.0	346.0	83.75919	38.5	341.0	55.81429	34.9
2.0296	220.6	284.64605	49.1	215.6	268.29447	48.6	225.6	97.06020	39.7	341.0	84.38453	38.5	210.6	74.47574	37.4
2.0802	220.6	292.43389	49.3	215.6	273.69565	48.7	225.6	99.79431	40.0	210.6	88.83388	39.0	341.0	79.30488	38.0
2.1302	225.6	297.73506	49.5	220.6	257.32258	48.2	230.7	114.93662	41.2	351.0	79.69056	38.0	215.6	79.64110	38.0
