# LRA Stimulus Response — Time Series Data
# Source file:      pitch_constant_220to220Hz.wav
# Generated:        2026-07-17 13:58:05
# Stimulus duration:12.000 s
# Analysis window:  0.400s to 12.240s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1526.0-1768.6 Hz (range across windows; 1634.7 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 242.6 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (326 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             234
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4001	1.846482	225.35
0.4550	1.850268	215.48
0.5011	1.844264	219.17
0.5577	1.847423	225.56
0.6048	1.839097	215.25
0.6539	1.838684	220.04
0.7095	1.833032	218.28
0.7601	1.825682	217.63
0.8103	1.822200	217.39
0.8601	1.823493	224.32
0.9102	1.825218	225.12
0.9601	1.836415	224.34
1.0096	1.845620	224.19
1.0600	1.840280	224.34
1.1103	1.843731	218.94
1.1600	1.845955	224.27
1.2145	1.842937	214.35
1.2601	1.835736	213.82
1.3195	1.840118	217.96
1.3698	1.840165	214.16
1.4203	1.839317	213.03
1.4696	1.834038	224.68
1.5201	1.839864	220.39
1.5695	1.840848	222.21
1.6239	1.840414	220.22
1.6714	1.841760	224.30
1.7238	1.835501	224.38
1.7695	1.837518	217.75
1.8201	1.829046	223.11
1.8775	1.833688	213.60
1.9249	1.841957	214.14
1.9795	1.843293	220.69
2.0296	1.843896	218.51
2.0802	1.845484	218.84
2.1302	1.839762	223.70
2.1800	1.831499	219.77
2.2301	1.831070	219.32
2.2844	1.835513	224.16
2.3347	1.838686	224.93
2.3801	1.834510	220.05
2.4296	1.842793	219.16
2.4882	1.841541	214.10
2.5394	1.838617	213.04
2.5896	1.831999	214.10
2.6402	1.824091	217.04
2.6896	1.829089	224.29
2.7429	1.824401	224.41
2.7897	1.827465	217.97
2.8401	1.838080	224.90
2.8954	1.829837	218.62
2.9423	1.829447	224.33
2.9949	1.848648	230.05
3.0401	1.840936	216.40
3.0899	1.840355	218.61
3.1497	1.844021	214.12
3.2001	1.835767	210.82
3.2496	1.837670	224.57
3.3027	1.840803	224.32
3.3494	1.843295	224.31
3.4001	1.846984	226.11
3.4496	1.840492	217.23
3.5000	1.841641	216.56
3.5559	1.837657	223.33
3.6072	1.828891	224.36
3.6505	1.823174	220.20
3.7000	1.828338	219.69
3.7596	1.833264	213.98
3.8099	1.831026	211.54
3.8601	1.833708	210.64
3.9120	1.837177	221.63
3.9626	1.835118	224.35
4.0123	1.832994	221.11
4.0601	1.838982	227.15
4.1124	1.837292	222.13
4.1601	1.828669	223.16
4.2143	1.837977	224.43
4.2611	1.839316	224.33
4.3123	1.826665	218.64
4.3601	1.828319	215.32
4.4195	1.832759	215.90
4.4695	1.821223	214.23
4.5201	1.816357	219.80
4.5695	1.822720	224.09
4.6226	1.824317	220.24
4.6696	1.827968	224.30
4.7238	1.834651	220.23
4.7695	1.835036	223.56
4.8258	1.837006	224.41
4.8703	1.829119	224.39
4.9237	1.835367	220.93
4.9694	1.837366	213.87
5.0288	1.832789	217.62
5.0801	1.841958	213.17
5.1299	1.842873	223.08
5.1799	1.835027	221.28
5.2299	1.833692	219.28
5.2828	1.834379	224.15
5.3344	1.826801	218.34
5.3800	1.824912	224.89
5.4354	1.828378	227.21
5.4823	1.830952	224.22
5.5299	1.832687	219.36
5.5801	1.833283	216.09
5.6394	1.837615	213.58
5.6899	1.824766	214.06
5.7399	1.823182	223.05
5.7897	1.830405	220.02
5.8400	1.823331	224.20
5.8938	1.832804	224.31
5.9400	1.833750	224.47
5.9897	1.832041	221.98
6.0399	1.829799	221.73
6.0947	1.834982	215.55
6.1424	1.834651	213.79
6.1978	1.824102	218.67
6.2497	1.821733	216.36
6.2999	1.828621	221.78
6.3497	1.827640	214.00
6.4001	1.836636	222.98
6.4497	1.839745	224.07
6.5011	1.834522	224.44
6.5499	1.832097	224.33
6.6000	1.831924	225.62
6.6497	1.825041	217.98
6.6999	1.826033	220.71
6.7557	1.818092	223.20
6.8032	1.822565	213.88
6.8507	1.831884	219.68
6.9097	1.824603	217.30
6.9599	1.843387	214.33
7.0097	1.838240	213.71
7.0600	1.833380	223.06
7.1098	1.839829	220.30
7.1611	1.832086	220.18
7.2133	1.828988	220.40
7.2637	1.832018	219.55
7.3134	1.822831	224.33
7.3654	1.822049	228.41
7.4133	1.824372	217.44
7.4601	1.829026	219.38
7.5197	1.831029	217.21
7.5699	1.819949	214.08
7.6199	1.824988	222.18
7.6697	1.823597	221.87
7.7201	1.823152	221.76
7.7696	1.826058	223.90
7.8221	1.826509	220.26
7.8700	1.825745	223.87
7.9238	1.823390	226.55
7.9700	1.832379	224.60
8.0202	1.831468	224.22
8.0698	1.824827	214.30
8.1239	1.833786	214.27
8.1793	1.832448	213.41
8.2295	1.827480	217.71
8.2800	1.829030	222.96
8.3299	1.822345	220.46
8.3800	1.821564	224.49
8.4330	1.821883	224.64
8.4798	1.829146	218.89
8.5296	1.832658	220.27
8.5850	1.825996	216.80
8.6357	1.837883	224.11
8.6868	1.829596	219.15
8.7298	1.832834	219.69
8.7897	1.835874	221.14
8.8399	1.835673	213.32
8.8896	1.825248	214.00
8.9401	1.830051	223.64
8.9896	1.831452	219.86
9.0400	1.826667	224.34
9.0937	1.835923	224.32
9.1401	1.832611	216.90
9.1896	1.828687	222.11
9.2468	1.823980	222.48
9.2957	1.825168	213.81
9.3417	1.824068	213.87
9.3994	1.825115	219.30
9.4497	1.830436	215.74
9.5002	1.833409	213.03
9.5497	1.824594	220.19
9.6004	1.829929	223.59
9.6534	1.831787	224.18
9.7009	1.821203	224.73
9.7498	1.826940	226.85
9.8000	1.825915	219.45
9.8497	1.817891	215.58
9.9053	1.825186	224.23
9.9579	1.831826	213.36
10.0001	1.820709	219.51
10.0599	1.828047	220.49
10.1097	1.834352	214.01
10.1614	1.832205	223.75
10.2097	1.836134	220.21
10.2599	1.845020	223.73
10.3134	1.830799	219.18
10.3609	1.821191	224.10
10.4144	1.833380	223.21
10.4601	1.825770	217.27
10.5144	1.824371	223.34
10.5674	1.829929	214.01
10.6152	1.825981	218.17
10.6697	1.820021	221.56
10.7200	1.826491	219.12
10.7698	1.830884	215.88
10.8200	1.825733	219.79
10.8696	1.829452	222.21
10.9241	1.827695	224.42
10.9717	1.827308	224.31
11.0199	1.829789	223.91
11.0696	1.839097	218.21
11.1238	1.834737	213.91
11.1773	1.830503	212.48
11.2296	1.830661	217.81
11.2808	1.824200	220.98
11.3297	1.826879	222.54
11.3803	1.835434	224.00
11.4297	1.832351	224.30
11.4799	1.830395	224.46
11.5297	1.833382	219.24
11.5802	1.830390	216.85
11.6343	1.829125	224.27
11.6868	1.832905	218.90
11.7298	1.832243	224.88
11.7852	1.833857	215.45
11.8338	1.834579	213.50
11.8897	1.833768	219.42
11.9399	1.831315	217.60
11.9896	1.828158	214.97
12.0400	1.836871	224.15
12.0896	1.830005	224.25
12.1400	1.663423	224.33
12.1897	1.395626	235.63
12.2399	1.047015	244.13
