# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: pitch_decrease_mild_220to156Hz.wav
# Generated:   2026-07-17 13:58:20
# Accel sample rate: 1516.8-1894.0 Hz per-window range (1624.0 Hz overall)
# Freq resolution:   5.01 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        233
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4000	220.5	313.67296	49.9	225.6	206.14196	46.3	215.5	155.94047	43.9	350.9	94.91239	39.5	355.9	69.18662	36.8
0.4540	220.5	323.97288	50.2	225.6	251.29607	48.0	215.5	127.34926	42.1	355.9	94.31374	39.5	350.9	83.58305	38.4
0.5001	220.5	307.21622	49.7	225.6	202.44779	46.1	215.5	172.66201	44.7	210.5	74.80206	37.5	350.9	73.51967	37.3
0.5501	220.5	320.79777	50.1	215.5	199.42289	46.0	225.6	176.26790	44.9	210.5	77.37417	37.8	355.9	67.28037	36.6
0.6007	220.5	314.91999	50.0	215.5	196.68640	45.9	225.6	174.94855	44.9	355.9	88.41664	38.9	350.9	54.99295	34.8
0.6541	220.5	314.10132	49.9	215.5	202.97873	46.1	225.6	165.07619	44.4	355.9	90.21655	39.1	360.9	59.08826	35.4
0.7008	210.5	340.17804	50.6	215.5	220.91914	46.9	205.5	124.98943	41.9	345.9	87.57685	38.8	340.8	72.88894	37.3
0.7508	215.5	275.68423	48.8	210.5	260.10852	48.3	220.5	96.58801	39.7	350.9	89.93813	39.1	345.9	80.20915	38.1
0.8101	210.5	305.31926	49.7	205.5	218.22931	46.8	215.5	128.06793	42.1	345.9	96.63896	39.7	340.8	92.03415	39.3
0.8600	210.5	319.89203	50.1	205.5	224.49768	47.0	215.5	129.32917	42.2	345.9	98.70416	39.9	350.9	61.38003	35.8
0.9106	220.5	335.37705	50.5	215.5	205.07638	46.2	225.6	186.96966	45.4	365.9	85.43868	38.6	210.5	60.47388	35.6
0.9601	215.5	327.93001	50.3	210.5	229.59011	47.2	220.5	151.47935	43.6	355.9	74.66689	37.5	360.9	57.04298	35.1
1.0103	215.5	321.34222	50.1	210.5	246.14076	47.8	220.5	136.81815	42.7	355.9	71.59107	37.1	360.9	64.82333	36.2
1.0659	210.5	323.92929	50.2	215.5	224.68848	47.0	205.5	161.50240	44.2	220.5	70.75361	37.0	355.9	64.56206	36.2
1.1167	210.5	318.91702	50.1	215.5	202.88435	46.1	205.5	160.79636	44.1	355.9	87.14245	38.8	360.9	69.75940	36.9
1.1667	215.5	308.09862	49.8	220.5	246.79176	47.8	210.5	138.87651	42.9	365.9	79.10262	38.0	225.6	72.86498	37.3
