# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: pitch_decrease_strong_220to110Hz.wav
# Generated:   2026-07-17 13:58:35
# Accel sample rate: 1518.9-1802.1 Hz per-window range (1632.6 Hz overall)
# Freq resolution:   5.01 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        233
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4007	215.3	317.10753	50.0	220.4	186.98379	45.4	210.3	176.69357	44.9	350.6	81.53517	38.2	345.6	75.08673	37.5
0.4560	215.3	318.99810	50.1	220.4	192.32082	45.7	210.3	171.58837	44.7	350.6	75.80895	37.6	355.6	58.28759	35.3
0.5070	215.3	317.81661	50.0	210.3	208.36308	46.4	220.4	154.96444	43.8	350.6	77.99577	37.8	355.6	59.38601	35.5
0.5575	210.3	309.10720	49.8	215.3	262.43516	48.4	350.6	105.53407	40.5	205.3	78.56688	37.9	345.6	69.93853	36.9
0.6070	215.3	326.34446	50.3	220.4	240.56502	47.6	210.3	133.03435	42.5	360.6	114.17555	41.2	365.6	65.62375	36.3
0.6609	215.3	330.17718	50.4	210.3	214.58799	46.6	220.4	172.67956	44.7	360.6	84.84861	38.6	365.6	74.80241	37.5
0.7113	215.3	355.59721	51.0	210.3	242.89491	47.7	220.4	142.57677	43.1	365.6	72.48668	37.2	360.6	61.41709	35.8
0.7626	215.3	325.53821	50.3	210.3	287.57186	49.2	220.4	91.31209	39.2	365.6	70.82503	37.0	205.3	70.62784	37.0
0.8111	215.3	298.84549	49.5	220.4	287.06806	49.2	210.3	96.43297	39.7	375.6	91.00401	39.2	225.4	85.63197	38.7
0.8643	215.3	305.84534	49.7	210.3	289.59123	49.2	365.6	90.43421	39.1	220.4	90.37633	39.1	370.6	89.31067	39.0
