# LRA Stimulus Response — Time Series Data
# Source file:      pitch_decrease_strong_220to110Hz.wav
# Generated:        2026-07-17 13:58:35
# Stimulus duration:12.000 s
# Analysis window:  0.401s to 12.211s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1518.9-1802.1 Hz (range across windows; 1632.6 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 283.3 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (326 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             233
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4007	1.853604	217.30
0.4560	1.852709	217.45
0.5070	1.859390	217.46
0.5575	1.866207	214.06
0.6070	1.865602	214.17
0.6609	1.881867	213.80
0.7113	1.884652	214.89
0.7626	1.890288	214.64
0.8111	1.901129	218.74
0.8643	1.910875	214.15
0.9113	1.919853	219.02
0.9667	1.931526	208.81
1.0114	1.935533	204.85
1.0696	1.922693	207.68
1.1206	1.927179	202.55
1.1711	1.922054	201.48
1.2230	1.922558	208.01
1.2737	1.919045	211.67
1.3257	1.920974	215.54
1.3737	1.915934	212.05
1.4214	1.908837	204.31
1.4712	1.903336	202.39
1.5296	1.904745	198.59
1.5805	1.900701	199.93
1.6322	1.922572	207.74
1.6806	1.934190	205.74
1.7312	1.917768	209.40
1.7841	1.928221	198.93
1.8317	1.918277	198.31
1.8911	1.919613	202.18
1.9423	1.935375	195.68
1.9912	1.906181	203.78
2.0405	1.915818	203.92
2.0911	1.912394	200.79
2.1410	1.907397	192.77
2.1947	1.916954	191.22
2.2474	1.909806	190.26
2.2996	1.911360	193.76
2.3506	1.906738	195.72
2.4005	1.902818	190.53
2.4512	1.906553	195.63
2.5006	1.910959	197.86
2.5535	1.910629	199.49
2.6021	1.906369	192.79
2.6511	1.909492	192.29
2.7074	1.907089	187.33
2.7557	1.912190	185.14
2.8096	1.907267	190.92
2.8611	1.891692	188.49
2.9111	1.892952	180.77
2.9619	1.886022	188.86
3.0128	1.902646	191.91
3.0606	1.914316	189.79
3.1131	1.911116	184.10
3.1606	1.907184	185.56
3.2171	1.903894	184.51
3.2648	1.907081	179.83
3.3184	1.901771	184.88
3.3712	1.900748	183.61
3.4210	1.897520	180.41
3.4711	1.903238	183.99
3.5229	1.903739	184.39
3.5712	1.899335	181.63
3.6211	1.912455	186.61
3.6742	1.908040	181.11
3.7206	1.909044	176.86
3.7749	1.906453	178.38
3.8296	1.911994	175.25
3.8810	1.895462	179.27
3.9311	1.891873	178.08
3.9806	1.890301	179.81
4.0312	1.880976	179.32
4.0806	1.896957	174.42
4.1312	1.898377	177.45
4.1864	1.903453	170.73
4.2334	1.898494	171.06
4.2908	1.894653	175.34
4.3410	1.888198	172.89
4.3911	1.896037	174.57
4.4410	1.889564	177.54
4.4959	1.886646	176.29
4.5431	1.880284	179.85
4.5946	1.879951	170.63
4.6406	1.890318	167.79
4.7000	1.881600	169.46
4.7511	1.906127	163.07
4.8006	1.882586	165.81
4.8545	1.835119	168.72
4.9015	1.820634	166.20
4.9579	1.767517	166.64
5.0105	1.812585	166.49
5.0605	1.831988	161.81
5.1111	1.875870	166.50
5.1606	1.889743	167.21
5.2136	1.867299	167.41
5.2633	1.880207	169.33
5.3136	1.856856	163.78
5.3608	1.859638	163.17
5.4205	1.850892	163.42
5.4710	1.855869	161.17
5.5210	1.858128	159.86
5.5711	1.860382	164.38
5.6258	1.846773	164.51
5.6711	1.848039	156.80
5.7210	1.849299	160.37
5.7809	1.844714	155.10
5.8310	1.834349	156.30
5.8832	1.829822	159.94
5.9315	1.821083	164.09
5.9856	1.817746	166.33
6.0315	1.830415	157.07
6.0810	1.820196	155.13
6.1409	1.821261	152.31
6.1912	1.825993	151.61
6.2409	1.819673	155.11
6.2914	1.821255	156.30
6.3456	1.824464	159.64
6.3953	1.817908	159.50
6.4407	1.804161	152.57
6.4915	1.799115	155.18
6.5500	1.799334	146.67
6.6009	1.798903	147.56
6.6515	1.797859	150.09
6.7009	1.805190	153.34
6.7549	1.792308	154.67
6.8015	1.792652	154.52
6.8513	1.785498	152.09
6.9009	1.777846	153.21
6.9577	1.780801	142.66
7.0032	1.789101	142.04
7.0609	1.787083	152.09
7.1115	1.790480	142.46
7.1609	1.780959	148.79
7.2131	1.776302	146.43
7.2609	1.785415	146.55
7.3152	1.784512	147.99
7.3650	1.774707	143.86
7.4152	1.775170	146.06
7.4688	1.753203	145.17
7.5199	1.745129	145.38
7.5710	1.741455	146.82
7.6209	1.737010	143.86
7.6715	1.737898	143.52
7.7209	1.734002	149.53
7.7725	1.755738	144.57
7.8209	1.762834	144.76
7.8715	1.758337	140.75
7.9206	1.766854	143.44
7.9779	1.744032	138.69
8.0225	1.735437	137.42
8.0799	1.714957	142.41
8.1310	1.702241	138.65
8.1809	1.696129	132.97
8.2310	1.679736	138.85
8.2809	1.671151	139.53
8.3315	1.658445	138.37
8.3810	1.652165	139.55
8.4327	1.630704	136.17
8.4810	1.609061	135.19
8.5365	1.591500	138.09
8.5874	1.559416	134.23
8.6349	1.544697	138.33
8.6815	1.521661	137.84
8.7311	1.502093	132.25
8.7821	1.479641	131.28
8.8384	1.444028	133.44
8.8865	1.417019	135.33
8.9328	1.391684	139.76
8.9810	1.368637	132.73
9.0310	1.328252	132.70
9.0893	1.324237	127.81
9.1356	1.320350	129.60
9.1838	1.311201	134.88
9.2310	1.309502	132.62
9.2809	1.278963	127.43
9.3311	1.254641	127.21
9.3872	1.215270	129.21
9.4348	1.195648	129.58
9.4816	1.186412	133.75
9.5311	1.186446	127.78
9.5810	1.194015	126.82
9.6376	1.195345	124.11
9.6859	1.172618	129.60
9.7399	1.169152	134.02
9.7810	1.148648	127.82
9.8310	1.144392	128.60
9.8809	1.148411	121.88
9.9368	1.123277	124.00
9.9855	1.148116	124.60
10.0320	1.143111	123.57
10.0810	1.170223	123.97
10.1385	1.172366	124.60
10.1865	1.155149	124.66
10.2320	1.161008	129.43
10.2809	1.146566	128.16
10.3310	1.128732	119.89
10.3810	1.150976	118.63
10.4399	1.142171	118.70
10.4910	1.141949	118.65
10.5410	1.148650	121.74
10.5910	1.147553	123.96
10.6421	1.141629	123.99
10.6915	1.143323	122.59
10.7410	1.134375	124.68
10.7943	1.125864	118.45
10.8410	1.133078	119.74
10.8935	1.128058	119.30
10.9408	1.136575	119.63
10.9949	1.141434	117.32
11.0410	1.132046	114.11
11.0974	1.132246	116.13
11.1505	1.124097	113.90
11.2009	1.118723	117.83
11.2511	1.127567	118.97
11.3005	1.132561	119.03
11.3511	1.133942	119.64
11.4009	1.132932	117.06
11.4510	1.133710	114.28
11.5049	1.139347	114.61
11.5517	1.147561	114.65
11.6010	1.135696	112.77
11.6510	1.138450	112.95
11.7077	1.138986	114.32
11.7547	1.123943	114.49
11.8016	1.121832	118.03
11.8513	1.120458	111.74
11.9010	1.119515	109.46
11.9599	1.122716	109.35
12.0110	1.139526	109.14
12.0610	1.143702	113.74
12.1111	1.115204	109.42
12.1615	0.973176	114.08
12.2115	0.780050	121.62
