# LRA Stimulus Response — Time Series Data
# Source file:      pitch_increase_mild_220to311Hz.wav
# Generated:        2026-07-17 13:58:49
# Stimulus duration:12.000 s
# Analysis window:  0.409s to 12.230s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1546.2-1816.8 Hz (range across windows; 1641.8 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 270.6 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (328 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             232
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4093	1.826865	214.43
0.4593	1.823027	213.90
0.5114	1.817226	224.42
0.5630	1.806942	224.67
0.6137	1.800679	226.71
0.6634	1.797301	227.92
0.7136	1.800673	220.02
0.7642	1.791568	224.06
0.8176	1.796047	222.97
0.8694	1.806305	221.43
0.9193	1.797319	224.37
0.9719	1.811720	226.34
1.0235	1.817133	226.94
1.0720	1.820173	229.29
1.1214	1.819424	231.79
1.1719	1.815828	229.38
1.2214	1.809671	219.21
1.2794	1.805481	223.86
1.3318	1.814597	222.76
1.3812	1.808254	227.58
1.4317	1.813643	230.18
1.4852	1.809568	227.04
1.5353	1.802643	234.18
1.5876	1.792058	229.52
1.6393	1.788951	229.66
1.6894	1.778708	229.29
1.7419	1.776448	231.91
1.7919	1.791548	231.75
1.8447	1.795776	234.92
1.8916	1.800484	230.55
1.9472	1.810440	233.82
1.9952	1.802036	230.27
2.0494	1.794992	234.10
2.0994	1.791612	227.24
2.1516	1.774496	236.38
2.2014	1.783231	232.31
2.2518	1.776853	237.65
2.3054	1.789362	239.27
2.3529	1.791704	239.20
2.4014	1.790096	234.61
2.4594	1.792031	231.85
2.5094	1.780150	227.25
2.5613	1.787175	234.23
2.6120	1.777839	236.14
2.6647	1.777085	239.52
2.7120	1.775078	239.68
2.7611	1.756892	248.38
2.8116	1.757613	235.69
2.8694	1.766212	232.04
2.9193	1.763915	232.86
2.9716	1.761501	241.61
3.0214	1.766770	239.01
3.0716	1.747580	243.63
3.1237	1.748509	244.25
3.1722	1.768490	237.67
3.2214	1.763850	237.45
3.2771	1.764264	235.71
3.3294	1.759703	232.66
3.3814	1.748907	239.14
3.4319	1.749148	240.83
3.4814	1.762589	244.24
3.5322	1.776166	249.37
3.5814	1.790852	249.27
3.6318	1.779030	241.86
3.6814	1.789294	239.68
3.7383	1.757883	240.13
3.7894	1.763985	236.55
3.8394	1.752440	245.52
3.8921	1.726519	246.38
3.9414	1.760047	246.77
3.9917	1.749568	249.37
4.0414	1.768846	243.48
4.0920	1.784662	244.94
4.1461	1.767329	239.78
4.1993	1.748019	242.82
4.2493	1.737432	247.04
4.3014	1.760440	251.07
4.3519	1.744097	247.05
4.4018	1.768443	260.79
4.4551	1.761715	264.48
4.5040	1.774925	254.53
4.5517	1.729504	263.39
4.6094	1.715437	252.11
4.6519	1.795042	247.27
4.7096	1.814418	253.94
4.7614	1.937847	247.49
4.8135	1.996466	252.11
4.8614	1.993730	249.20
4.9153	1.915401	249.35
4.9694	1.802549	246.90
5.0214	1.792305	246.62
5.0719	1.696789	255.96
5.1214	1.749638	253.62
5.1719	1.773101	257.52
5.2259	1.745812	250.54
5.2732	1.787860	249.56
5.3294	1.754624	252.77
5.3797	1.778526	248.96
5.4315	1.753063	256.47
5.4814	1.751609	253.86
5.5315	1.770804	263.73
5.5844	1.771312	264.27
5.6318	1.753990	259.22
5.6814	1.766037	258.64
5.7353	1.736667	254.54
5.7892	1.751486	254.02
5.8394	1.763371	256.35
5.8914	1.754738	261.25
5.9424	1.774166	261.75
5.9915	1.765525	263.47
6.0413	1.759014	258.21
6.0919	1.746700	258.82
6.1476	1.741507	261.25
6.1956	1.742187	254.66
6.2494	1.744390	259.89
6.2994	1.744891	261.56
6.3515	1.760237	266.33
6.4015	1.748983	266.51
6.4515	1.768456	263.13
6.5014	1.763844	265.92
6.5567	1.747975	268.60
6.6039	1.764309	258.89
6.6519	1.757726	263.07
6.7094	1.772007	258.89
6.7614	1.766933	261.89
6.8134	1.769475	262.95
6.8613	1.765521	268.48
6.9151	1.753767	274.21
6.9619	1.752551	274.49
7.0133	1.740161	268.39
7.0611	1.755198	262.24
7.1194	1.753186	263.43
7.1715	1.770692	260.10
7.2215	1.790053	267.13
7.2719	1.773304	273.18
7.3252	1.775385	274.15
7.3722	1.767465	274.15
7.4215	1.754506	268.62
7.4719	1.760907	264.74
7.5293	1.758609	265.24
7.5814	1.756509	266.60
7.6320	1.755909	276.17
7.6813	1.766493	279.16
7.7347	1.761243	279.67
7.7813	1.759798	279.15
7.8316	1.757584	272.52
7.8813	1.751270	265.64
7.9396	1.763746	266.03
7.9915	1.773943	264.76
8.0415	1.779136	274.09
8.0922	1.768715	278.68
8.1433	1.761022	279.16
8.1919	1.746415	277.83
8.2415	1.742040	283.70
8.2967	1.745081	273.81
8.3436	1.756748	270.67
8.3994	1.762158	276.75
8.4520	1.751228	273.36
8.5030	1.754326	281.30
8.5515	1.740639	279.74
8.6014	1.736895	283.05
8.6551	1.749480	278.27
8.7038	1.747166	277.94
8.7593	1.745264	280.37
8.8115	1.748498	277.94
8.8613	1.749815	286.10
8.9118	1.750830	284.68
8.9614	1.749689	285.94
9.0146	1.751119	285.09
9.0636	1.753092	278.09
9.1147	1.758748	281.01
9.1693	1.769105	277.94
9.2204	1.753070	280.18
9.2716	1.741952	290.37
9.3210	1.729718	283.06
9.3719	1.733430	288.63
9.4247	1.764137	288.40
9.4719	1.767987	285.79
9.5215	1.768779	286.81
9.5787	1.766637	283.65
9.6297	1.762623	280.06
9.6813	1.758252	290.37
9.7316	1.776896	288.36
9.7813	1.767906	299.50
9.8337	1.744470	293.69
9.8810	1.757894	293.73
9.9352	1.757061	290.41
9.9815	1.766467	284.85
10.0397	1.776613	290.67
10.0916	1.774893	282.84
10.1410	1.768525	296.37
10.1930	1.760101	298.81
10.2415	1.757809	298.37
10.2918	1.755451	292.27
10.3415	1.744125	292.39
10.3977	1.757269	289.92
10.4495	1.766826	289.50
10.5015	1.760259	295.03
10.5516	1.744845	301.00
10.6038	1.722037	304.84
10.6516	1.689912	299.16
10.7010	1.669866	298.70
10.7562	1.667416	303.40
