# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: pitch_increase_strong_220to440Hz.wav
# Generated:   2026-07-17 13:59:04
# Accel sample rate: 1557.6-1873.7 Hz per-window range (1644.3 Hz overall)
# Freq resolution:   5.01 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        233
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4065	225.6	323.69779	50.2	220.6	259.20021	48.3	230.6	112.64643	41.0	215.6	92.68886	39.3	340.9	79.01539	38.0
0.4598	225.6	319.89388	50.1	220.6	225.54702	47.1	230.6	159.42318	44.1	215.6	85.58148	38.6	340.9	67.79600	36.6
0.5102	220.6	289.74974	49.2	225.6	230.03817	47.2	215.6	160.35535	44.1	330.9	88.21119	38.9	235.6	82.33958	38.3
0.5600	225.6	291.06306	49.3	220.6	194.96920	45.8	230.6	172.91373	44.8	215.6	95.87961	39.6	330.9	90.87606	39.2
0.6105	225.6	324.45729	50.2	230.6	195.65695	45.8	220.6	169.89309	44.6	330.9	90.19919	39.1	335.9	60.84457	35.7
0.6652	225.6	309.20236	49.8	220.6	202.31744	46.1	230.6	149.10678	43.5	325.8	90.45859	39.1	330.9	83.64153	38.4
0.7146	225.6	317.01157	50.0	230.6	243.22246	47.7	220.6	129.22323	42.2	325.8	81.92593	38.3	330.9	66.60525	36.5
0.7652	225.6	298.42452	49.5	230.6	252.97729	48.1	220.6	103.61512	40.3	325.8	86.06918	38.7	235.6	68.58143	36.7
0.8147	225.6	323.75436	50.2	230.6	186.75445	45.4	220.6	177.42491	45.0	320.8	76.98846	37.7	235.6	59.43746	35.5
0.8700	225.6	271.30301	48.7	230.6	265.29253	48.5	235.6	102.78917	40.2	220.6	92.19622	39.3	320.8	82.65358	38.3
0.9216	225.6	304.01729	49.7	220.6	232.82889	47.3	230.6	119.18673	41.5	310.8	101.90603	40.2	315.8	65.40020	36.3
0.9726	230.6	301.17737	49.6	225.6	229.42257	47.2	235.6	129.51697	42.2	315.8	96.48764	39.7	310.8	54.43900	34.7
1.0233	230.6	322.59321	50.2	235.6	201.50993	46.1	225.6	149.59260	43.5	315.8	92.46556	39.3	320.8	57.90489	35.3
1.0748	235.6	301.94561	49.6	230.6	275.60808	48.8	240.6	93.68381	39.4	315.8	90.40911	39.1	320.8	65.63734	36.3
1.1254	230.6	276.50709	48.8	235.6	262.23271	48.4	240.6	124.39774	41.9	225.6	106.42494	40.5	315.8	75.34743	37.5
1.1754	235.6	303.51725	49.6	230.6	214.86078	46.6	240.6	159.92591	44.1	310.8	82.61358	38.3	225.6	79.45019	38.0
1.2285	235.6	307.81351	49.8	240.6	236.87455	47.5	230.6	123.71208	41.8	310.8	76.90445	37.7	245.6	67.82499	36.6
1.2748	230.6	298.17063	49.5	235.6	220.98877	46.9	225.6	141.12267	43.0	300.8	72.53269	37.2	240.6	57.16983	35.1
1.3300	235.6	308.84132	49.8	240.6	212.78317	46.6	230.6	150.63121	43.6	305.8	68.80205	36.8	245.6	51.08922	34.2
1.3810	230.6	276.20691	48.8	235.6	271.88018	48.7	225.6	92.51810	39.3	240.6	89.62144	39.0	295.8	60.87946	35.7
1.4302	235.6	326.37987	50.3	240.6	235.40577	47.4	230.6	132.06396	42.4	300.8	77.78468	37.8	295.8	61.33331	35.8
1.4800	235.6	308.83026	49.8	240.6	246.71063	47.8	230.6	98.46067	39.9	295.8	93.83279	39.4	300.8	79.94528	38.1
1.5325	235.6	298.00535	49.5	240.6	206.24986	46.3	230.6	140.86407	43.0	290.8	86.15852	38.7	295.8	80.54436	38.1
1.5852	235.6	289.21775	49.2	230.6	177.75856	45.0	240.6	157.69984	44.0	290.8	97.36693	39.8	285.7	86.96265	38.8
1.6347	235.6	262.41331	48.4	240.6	254.54908	48.1	230.6	98.38680	39.9	245.6	88.48765	38.9	290.8	87.50679	38.8
1.6853	240.6	298.58421	49.5	245.6	248.55474	47.9	290.8	106.64841	40.6	235.6	96.11981	39.7	250.6	86.20947	38.7
1.7372	240.6	280.28137	49.0	235.6	216.23688	46.7	245.6	128.33908	42.2	250.6	100.78871	40.1	230.6	100.22631	40.0
1.7877	235.6	236.85326	47.5	240.6	231.01240	47.3	230.6	125.65554	42.0	245.6	122.15994	41.7	280.7	112.77010	41.0
1.8402	240.6	285.31573	49.1	245.6	265.46590	48.5	280.7	112.99933	41.1	285.7	107.68611	40.6	235.6	66.35179	36.4
1.8921	240.6	286.10841	49.1	245.6	188.79349	45.5	235.6	134.65326	42.6	275.7	108.36193	40.7	280.7	102.57487	40.2
1.9399	245.6	273.63670	48.7	250.6	222.31450	46.9	280.7	119.62919	41.6	240.6	108.74406	40.7	285.7	91.41526	39.2
1.9918	245.6	303.28141	49.6	240.6	213.85870	46.6	275.7	136.64171	42.7	250.6	105.02789	40.4	280.7	83.86567	38.5
2.0447	240.6	263.63543	48.4	245.6	226.81724	47.1	270.7	127.94827	42.1	235.6	102.03327	40.2	265.7	74.74557	37.5
2.0948	240.6	275.45284	48.8	245.6	242.53531	47.7	265.7	117.45555	41.4	270.7	111.31253	40.9	235.6	95.00108	39.6
2.1453	250.6	284.43861	49.1	255.7	203.00536	46.2	245.6	143.28280	43.1	275.7	108.32494	40.7	270.7	84.67352	38.6
2.1985	245.6	277.33871	48.9	250.6	180.09940	45.1	240.6	151.83728	43.6	265.7	126.19530	42.0	260.7	92.52122	39.3
2.2501	245.6	245.85509	47.8	260.7	161.62505	44.2	250.6	148.97867	43.5	240.6	132.71739	42.5	265.7	123.55306	41.8
2.3001	250.6	238.25040	47.5	265.7	176.35191	44.9	255.7	149.79079	43.5	245.6	138.23779	42.8	260.7	133.88196	42.5
2.3519	255.7	243.98717	47.7	260.7	201.82193	46.1	265.7	199.30133	46.0	250.6	153.41281	43.7	270.7	114.48130	41.2
2.3998	260.7	214.46079	46.6	255.7	158.38139	44.0	250.6	154.68327	43.8	265.7	149.19266	43.5	245.6	143.04583	43.1
2.4500	255.7	240.65570	47.6	260.7	184.96193	45.3	250.6	143.34334	43.1	245.6	133.31165	42.5	240.6	127.61562	42.1
2.5047	255.7	314.37599	49.9	250.6	286.70190	49.1	260.7	123.44721	41.8	245.6	94.41235	39.5	320.8	68.80423	36.8
2.5575	255.7	348.62124	50.8	250.6	220.69903	46.9	260.7	195.07092	45.8	320.8	73.36435	37.3	245.6	51.87711	34.3
2.6052	255.7	301.98361	49.6	250.6	227.24681	47.1	260.7	176.85792	45.0	245.6	85.32966	38.6	315.8	59.02697	35.4
2.6601	250.6	211.53366	46.5	260.7	198.26080	45.9	265.7	163.89703	44.3	245.6	122.36749	41.8	255.7	106.17515	40.5
2.7101	250.6	270.65871	48.6	255.7	253.40269	48.1	245.6	158.80911	44.0	260.7	142.95809	43.1	240.6	60.49859	35.6
2.7601	260.7	305.30279	49.7	265.7	178.97945	45.1	255.7	174.62244	44.8	275.7	83.69892	38.5	270.7	54.61110	34.7
2.8134	255.7	292.93305	49.3	250.6	197.16581	45.9	260.7	154.96544	43.8	270.7	76.91714	37.7	265.7	64.29404	36.2
2.8601	255.7	281.63916	49.0	250.6	228.17292	47.2	260.7	110.48385	40.9	270.7	72.10587	37.2	275.7	67.30808	36.6
2.9147	260.7	296.90133	49.5	255.7	214.11969	46.6	265.7	146.08153	43.3	280.7	55.63814	34.9	325.8	50.71706	34.1
2.9653	255.7	296.33292	49.4	260.7	227.77294	47.2	250.6	133.31298	42.5	265.7	71.58767	37.1	310.8	48.81071	33.8
3.0147	265.7	308.43670	49.8	260.7	236.73803	47.5	270.7	133.89661	42.5	255.7	61.48923	35.8	315.8	56.06534	35.0
