# LRA Stimulus Response — Time Series Data
# Source file:      pitch_increase_strong_220to440Hz.wav
# Generated:        2026-07-17 13:59:04
# Stimulus duration:12.000 s
# Analysis window:  0.407s to 12.255s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1557.6-1873.7 Hz (range across windows; 1644.3 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 316.1 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (328 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             233
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4065	1.817415	225.19
0.4598	1.801485	225.40
0.5102	1.785899	219.98
0.5600	1.800560	223.81
0.6105	1.800707	224.38
0.6652	1.810855	223.51
0.7146	1.812150	224.56
0.7652	1.813673	228.79
0.8147	1.809188	227.01
0.8700	1.802536	228.78
0.9216	1.798508	224.67
0.9726	1.782321	228.83
1.0233	1.790984	229.85
1.0748	1.784978	231.13
1.1254	1.784457	231.95
1.1754	1.778582	234.26
1.2285	1.777082	234.18
1.2748	1.774515	233.85
1.3300	1.776808	237.28
1.3810	1.785078	233.18
1.4302	1.778361	236.34
1.4800	1.774089	234.96
1.5325	1.763623	233.98
1.5852	1.763498	233.18
1.6347	1.759905	238.66
1.6853	1.755833	241.27
1.7372	1.760161	240.06
1.7877	1.756615	238.52
1.8402	1.751164	240.97
1.8921	1.765398	239.32
1.9399	1.749834	249.37
1.9918	1.767249	245.89
2.0447	1.763961	242.76
2.0948	1.761088	241.77
2.1453	1.778718	253.53
2.1985	1.774861	247.60
2.2501	1.744445	248.27
2.3001	1.776241	252.63
2.3519	1.703859	254.30
2.3998	1.707995	259.47
2.4500	1.809886	255.50
2.5047	1.832893	252.37
2.5575	1.868883	253.28
2.6052	1.823583	257.30
2.6601	1.775982	250.95
2.7101	1.732055	250.29
2.7601	1.749843	259.19
2.8134	1.774095	253.37
2.8601	1.761626	252.62
2.9147	1.734146	262.41
2.9653	1.763761	257.64
3.0147	1.752227	264.20
3.0652	1.745514	258.05
3.1201	1.763811	257.30
3.1700	1.740298	257.87
3.2201	1.765846	269.12
3.2701	1.759776	258.10
3.3201	1.751948	262.52
3.3747	1.751158	262.71
3.4251	1.745114	258.44
3.4750	1.750868	266.76
3.5286	1.762882	262.65
3.5766	1.761585	267.33
3.6301	1.762013	269.00
