# LRA Stimulus Response — Time Series Data
# Source file:      ramp_90to60BPM_12s_210Hz.wav
# Generated:        2026-07-17 14:00:19
# Stimulus duration:12.000 s
# Analysis window:  0.436s to 12.685s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1690.5-2050.2 Hz (range across windows; 1912.9 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 359.7 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (382 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             247
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4361	0.004097	52.15
0.4802	0.004410	69.70
0.5300	0.004627	76.55
0.5806	0.004754	80.61
0.6301	0.004681	98.65
0.6781	0.004765	104.03
0.7221	0.004715	46.61
0.7723	0.004534	46.27
0.8221	0.152543	4.99
0.8721	0.930880	234.70
0.9221	1.173111	229.19
0.9806	1.184192	228.93
1.0397	1.176967	225.63
1.0900	0.744876	244.84
1.1380	0.169089	209.19
1.1802	0.027306	235.45
1.2296	0.004666	99.80
1.2806	0.004447	15.00
1.3301	0.004851	15.16
1.3796	0.005232	73.67
1.4270	0.005175	99.62
1.4701	0.005099	125.96
1.5203	0.544624	5.16
1.5696	1.077626	237.47
1.6201	1.214035	226.82
1.6801	1.217800	226.19
1.7402	1.100515	222.75
1.7901	0.578951	206.62
1.8396	0.099824	210.64
1.8829	0.014175	104.92
1.9296	0.004958	97.27
1.9802	0.004875	30.27
2.0301	0.004853	134.47
2.0805	0.004775	120.82
2.1298	0.004512	152.51
2.1701	0.004465	190.34
2.2263	0.527441	250.12
2.2744	1.054679	226.93
2.3212	1.180521	228.55
2.3855	1.184417	227.08
2.4402	1.069038	222.81
2.4896	0.551875	203.94
