# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: ramp_90to70BPM_12s_210Hz.wav
# Generated:   2026-07-17 14:00:34
# Accel sample rate: 1685.7-2041.3 Hz per-window range (1910.2 Hz overall)
# Freq resolution:   5.00 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        246
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4358	115.0	0.25221	-12.0	155.0	0.25134	-12.0	120.0	0.23175	-12.7	70.0	0.22361	-13.0	160.0	0.21862	-13.2
0.4808	110.0	0.40777	-7.8	115.0	0.36831	-8.7	170.0	0.33240	-9.6	105.0	0.32929	-9.6	50.0	0.31288	-10.1
0.5338	175.0	0.38783	-8.2	55.0	0.36103	-8.8	60.0	0.33632	-9.5	180.0	0.29611	-10.6	105.0	0.29561	-10.6
0.5818	60.0	0.43974	-7.1	85.0	0.38959	-8.2	65.0	0.34032	-9.4	55.0	0.31550	-10.0	90.0	0.30977	-10.2
0.6295	60.0	0.32117	-9.9	55.0	0.25834	-11.8	85.0	0.25139	-12.0	215.0	0.24417	-12.2	200.0	0.24110	-12.4
0.6731	200.0	0.31732	-10.0	110.0	0.30460	-10.3	205.0	0.28413	-10.9	245.0	0.27804	-11.1	105.0	0.26336	-11.6
0.7195	365.0	0.27602	-11.2	195.0	0.25901	-11.7	240.0	0.25657	-11.8	235.0	0.25439	-11.9	135.0	0.24772	-12.1
0.7695	205.0	0.35911	-8.9	210.0	0.27558	-11.2	115.0	0.27066	-11.4	350.0	0.25931	-11.7	70.0	0.25121	-12.0
0.8199	200.0	0.33368	-9.5	125.0	0.31045	-10.2	120.0	0.29467	-10.6	145.0	0.29096	-10.7	210.0	0.28129	-11.0
0.8727	235.0	49.92760	34.0	230.0	48.55236	33.7	240.0	45.07003	33.1	225.0	41.68486	32.4	245.0	35.35549	31.0
