# LRA Stimulus Response — Time Series Data
# Source file:      risset_accelerating_haptic.wav
# Generated:        2026-07-17 14:01:03
# Stimulus duration:12.000 s
# Analysis window:  0.441s to 12.102s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1766.4-2025.0 Hz (range across windows; 1869.5 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 258.6 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (373 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             234
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4412	0.685345	239.33
0.4916	0.686898	238.21
0.5477	0.686897	234.35
0.5914	0.501919	223.53
0.6412	0.819611	241.27
0.6880	0.970983	232.67
0.7420	0.976131	231.88
0.7971	0.976239	234.58
0.8476	0.665201	205.01
0.8920	0.644560	239.35
0.9414	0.640575	241.88
0.9972	0.640453	235.07
1.0414	0.508469	217.67
1.0914	0.883477	244.29
1.1385	0.981698	232.71
1.1972	0.984584	237.68
1.2514	0.984606	229.34
1.2970	0.702937	219.42
1.3472	0.573796	233.79
1.3972	0.569385	230.99
1.4477	0.569337	225.92
1.4913	0.682058	203.55
1.5414	0.947622	239.81
1.5932	0.957902	232.58
1.6514	0.958135	232.13
1.7014	0.801138	225.09
1.7477	0.509759	234.40
1.8014	0.490117	234.48
1.8514	0.489629	236.76
1.8971	0.724065	201.48
1.9414	0.940903	239.36
1.9994	0.953928	233.99
2.0514	0.954215	227.96
2.1017	0.799122	223.36
2.1514	0.434340	229.39
2.2048	0.403738	226.93
2.2514	0.403022	223.60
2.2995	0.834431	243.43
2.3477	0.929791	231.94
2.4015	0.932432	236.75
2.4578	0.942696	234.90
2.5017	0.544430	229.39
2.5515	0.329215	231.81
2.6015	0.320933	224.29
2.6514	0.703983	199.47
2.6973	0.950167	232.13
2.7515	0.964060	232.63
2.8077	0.964868	234.46
2.8572	0.768034	217.92
2.9015	0.307901	229.71
2.9574	0.253626	220.62
3.0031	0.664356	199.42
3.0516	0.897259	239.69
3.1015	0.905662	232.27
3.1571	0.908187	232.93
3.2092	0.698380	217.66
3.2571	0.235678	220.64
3.3077	0.194090	223.03
3.3515	0.792144	241.14
3.4015	0.962280	234.82
3.4515	0.970089	232.81
3.5116	0.977807	227.30
3.5571	0.610319	204.41
3.6077	0.205811	215.36
3.6515	0.369996	205.26
3.7015	0.881866	239.38
3.7515	0.900188	232.76
3.8077	0.900939	232.87
3.8572	0.850209	234.38
3.9070	0.247440	210.49
3.9515	0.122306	209.42
3.9972	0.838812	241.03
4.0477	0.977079	232.66
4.1015	0.982421	228.03
4.1572	0.986709	229.95
4.2071	0.542093	199.47
4.2515	0.144491	209.46
4.3015	0.763791	240.98
4.3477	0.851828	232.64
4.4016	0.854043	239.36
4.4573	0.856264	239.36
4.5015	0.399036	198.87
4.5477	0.091873	211.13
4.5972	0.816582	239.26
4.6415	0.980467	228.47
4.7016	0.986044	234.33
4.7572	0.987339	227.96
4.8015	0.560675	203.60
4.8515	0.342610	209.52
4.8975	0.819745	239.30
4.9476	0.835453	239.37
5.0016	0.836123	231.63
5.0515	0.778652	234.92
5.0999	0.179571	204.78
5.1471	0.717121	244.06
5.1915	0.979968	242.38
5.2476	0.990525	234.27
5.3015	0.991102	232.83
5.3515	0.686409	229.33
5.3971	0.439427	198.93
5.4477	0.779687	229.06
5.4970	0.787725	234.08
5.5518	0.787917	234.35
5.5973	0.680450	230.71
5.6477	0.305014	210.21
5.6915	0.938977	234.44
5.7415	1.004639	234.91
5.8015	1.006379	228.03
5.8515	0.972968	227.51
5.9015	0.454303	208.99
5.9476	0.735811	239.31
5.9972	0.746079	239.57
6.0515	0.746256	233.21
6.1013	0.706397	230.94
6.1486	0.444663	5.25
6.1915	0.951595	244.12
6.2415	0.991512	235.86
6.3015	0.992460	227.96
6.3515	0.903010	232.18
6.4015	0.655530	207.80
6.4477	0.700758	239.53
6.5031	0.701129	234.37
6.5514	0.701124	226.66
6.6015	0.389351	209.33
6.6501	0.879852	239.22
6.6984	0.970889	232.20
6.7515	0.973355	237.62
6.8077	0.973345	235.74
6.8515	0.694220	209.48
6.9015	0.659332	234.58
6.9515	0.657127	231.06
7.0075	0.657110	227.85
7.0544	0.461497	204.31
7.1028	0.903011	238.94
7.1516	0.955353	231.19
7.2078	0.956712	233.78
7.2615	0.920161	234.51
7.3076	0.673091	235.15
7.3515	0.607928	239.69
7.4114	0.605886	237.42
7.4570	0.605877	223.28
7.5050	0.803541	238.91
7.5525	0.970057	232.36
7.6076	0.975196	231.81
7.6630	0.975251	233.99
7.7115	0.736910	214.74
7.7571	0.491008	236.25
7.8120	0.480244	233.86
7.8614	0.480122	230.86
7.9077	0.789436	239.41
7.9515	0.945051	237.62
8.0078	0.950556	239.25
8.0671	0.950615	227.91
8.1120	0.684457	224.63
8.1615	0.429655	239.22
8.2120	0.415906	234.42
8.2630	0.433166	224.29
8.3077	0.870706	236.87
8.3572	0.920002	234.05
8.4141	0.921203	229.09
8.4676	0.935662	224.51
8.5123	0.448380	231.14
8.5615	0.319317	231.61
8.6126	0.315479	224.59
8.6570	0.816613	238.01
8.7077	0.962750	235.14
8.7626	0.968801	232.05
8.8204	0.976517	231.37
8.8676	0.640376	218.88
8.9146	0.286303	233.65
8.9677	0.261742	226.16
9.0125	0.792297	241.90
9.0617	0.908411	234.83
9.1125	0.912276	233.21
9.1715	0.919416	233.23
9.2178	0.553349	214.25
9.2669	0.218596	225.83
9.3126	0.199034	225.86
9.3614	0.864961	238.65
9.4076	0.978834	229.20
9.4675	0.981938	230.98
9.5215	0.992309	223.68
9.5687	0.525982	221.03
9.6172	0.175103	215.15
9.6615	0.552038	206.96
9.7115	0.866634	239.36
9.7614	0.879298	227.41
9.8172	0.881193	233.19
9.8677	0.718181	229.15
9.9125	0.200151	209.44
9.9573	0.119845	211.53
10.0077	0.885653	239.35
10.0515	0.978988	227.51
10.1125	0.981320	233.77
10.1677	0.985291	228.03
10.2124	0.453331	204.44
10.2615	0.112759	217.16
10.3077	0.822426	244.34
10.3514	0.870053	239.36
10.4124	0.871211	239.52
10.4615	0.873309	232.82
10.5075	0.312981	205.77
10.5570	0.077578	204.65
10.6015	0.865333	244.34
10.6515	0.961977	238.97
10.7075	0.965328	232.15
10.7615	0.966354	239.27
10.8077	0.439383	202.96
10.8516	0.429103	209.50
10.9041	0.831913	239.36
10.9519	0.842669	226.14
11.0077	0.843283	237.49
11.0589	0.736435	229.99
11.1015	0.151029	205.32
11.1514	0.767947	248.58
11.1971	0.982725	232.18
11.2514	0.989850	232.91
11.3077	0.990263	234.33
11.3569	0.633819	230.10
11.4014	0.538072	194.98
11.4508	0.792112	238.78
11.5020	0.797341	239.36
11.5574	0.797459	233.65
11.6014	0.612197	224.97
11.6514	0.395414	209.79
11.6971	0.920578	232.83
11.7476	0.965336	232.71
11.8070	0.966694	234.27
11.8572	0.894720	234.76
11.9014	0.457846	205.22
11.9515	0.726688	239.24
12.0014	0.734269	233.95
12.0572	0.734418	234.38
12.1018	0.657793	224.05
