# LRA Stimulus Response — Time Series Data
# Source file:      shepard_rising_haptic.wav
# Generated:        2026-07-17 13:59:34
# Stimulus duration:12.000 s
# Analysis window:  0.411s to 12.276s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1552.0-1876.0 Hz (range across windows; 1665.3 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 324.1 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (333 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.00 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             234
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4107	1.528581	189.33
0.4607	1.543405	195.95
0.5114	1.537573	203.33
0.5624	1.550008	207.81
0.6117	1.590627	209.23
0.6622	1.616121	209.51
0.7116	1.684315	205.70
0.7623	1.711532	205.13
0.8201	1.707960	209.72
0.8712	1.678209	209.90
0.9207	1.614883	216.05
0.9713	1.585147	219.29
1.0232	1.526436	219.34
1.0713	1.524447	217.36
1.1207	1.531615	219.64
1.1777	1.498812	216.34
1.2274	1.508409	220.30
1.2787	1.517048	230.34
1.3289	1.513087	230.48
1.3768	1.488890	231.48
1.4307	1.493965	236.49
1.4811	1.448802	233.51
1.5313	1.426358	239.88
1.5818	1.446776	244.70
1.6344	1.467414	244.17
1.6807	1.449517	242.73
1.7314	1.446079	248.41
1.7871	1.467966	248.57
1.8351	1.464465	253.98
1.8813	1.504552	196.32
1.9316	1.525186	198.70
1.9903	1.543696	194.63
2.0408	1.551926	195.43
2.0913	1.588088	205.75
2.1407	1.657291	209.35
2.1938	1.677857	214.23
2.2408	1.709790	203.60
2.2914	1.721659	209.11
2.3513	1.684925	208.37
2.4036	1.668256	209.51
2.4513	1.602365	220.37
2.5008	1.509215	225.66
2.5549	1.470254	219.27
2.6024	1.430843	213.50
2.6514	1.427749	228.36
2.7063	1.474993	224.01
2.7513	1.486306	227.01
2.8071	1.476423	240.89
2.8534	1.486024	223.72
2.9008	1.496505	229.48
2.9608	1.470284	230.74
3.0113	1.490831	227.31
3.0608	1.489581	239.29
3.1113	1.478650	244.28
3.1608	1.483291	249.28
3.2113	1.472673	249.23
3.2608	1.453993	194.42
3.3113	1.462837	194.42
3.3608	1.482143	194.40
3.4113	1.497538	196.94
3.4608	1.508729	197.12
3.5138	1.545686	204.48
3.5631	1.593228	209.35
3.6112	1.637338	204.25
3.6608	1.682081	202.32
3.7189	1.695275	199.71
3.7701	1.708127	201.75
3.8209	1.712920	217.30
3.8733	1.693468	217.89
3.9207	1.638356	219.40
3.9714	1.586497	214.23
4.0208	1.491850	221.09
4.0781	1.455084	214.74
4.1237	1.442778	214.13
4.1803	1.454760	220.31
4.2303	1.464579	220.80
4.2817	1.489050	228.73
4.3314	1.507680	229.58
4.3808	1.449299	235.37
4.4344	1.433444	234.28
4.4808	1.431483	234.33
4.5314	1.425938	238.67
4.5808	1.454138	244.26
4.6349	1.470807	244.28
4.6808	1.494120	240.59
4.7314	1.524081	194.43
4.7839	1.539909	199.03
4.8349	1.555601	190.83
4.8812	1.528949	192.85
4.9403	1.519326	198.52
4.9906	1.547727	194.52
5.0408	1.566211	201.35
5.0913	1.574501	208.64
5.1434	1.635797	209.36
5.1913	1.668260	214.35
5.2408	1.713861	206.61
5.2913	1.762334	202.61
5.3509	1.725777	208.37
5.4029	1.663738	211.14
5.4514	1.617598	223.76
5.5038	1.507928	226.63
5.5514	1.451194	224.31
5.6009	1.486778	213.55
5.6514	1.455366	218.45
5.7093	1.488678	218.96
5.7567	1.514442	218.98
5.8103	1.497154	230.57
5.8608	1.505920	229.56
5.9125	1.481261	236.85
5.9609	1.493562	239.28
6.0124	1.462825	236.64
6.0608	1.465636	237.44
6.1147	1.489298	238.99
6.1624	1.489060	189.43
6.2126	1.488113	196.19
6.2608	1.499817	243.24
6.3129	1.507427	248.82
6.3674	1.478523	199.02
6.4130	1.508779	199.41
6.4612	1.524306	200.46
6.5129	1.574668	194.56
6.5713	1.648401	199.23
6.6231	1.688294	195.74
6.6714	1.718043	211.66
6.7268	1.705441	215.08
6.7738	1.699005	204.80
6.8224	1.674995	212.48
6.8807	1.641500	211.57
6.9333	1.601948	206.79
6.9812	1.556001	219.34
7.0346	1.528572	215.92
7.0807	1.497091	222.14
7.1364	1.501933	228.87
7.1831	1.493799	229.15
7.2349	1.458254	235.25
7.2808	1.470468	224.00
7.3314	1.451030	228.95
7.3879	1.461736	223.09
7.4353	1.460281	228.43
7.4909	1.487235	235.06
7.5409	1.485032	232.73
7.5915	1.466700	238.71
7.6409	1.487111	249.27
7.6914	1.504570	249.30
7.7409	1.505906	194.55
7.7914	1.521836	253.82
7.8407	1.535283	199.40
7.8917	1.524386	191.87
7.9409	1.562477	194.61
7.9993	1.564387	195.18
8.0508	1.558791	194.15
8.1011	1.568918	207.74
8.1514	1.589021	213.68
8.2008	1.656442	214.71
8.2514	1.688328	207.80
8.3008	1.697328	203.63
8.3577	1.662558	209.49
8.4114	1.610927	206.46
8.4608	1.576560	215.92
8.5133	1.549828	216.96
8.5609	1.565434	224.26
8.6136	1.560113	219.23
8.6609	1.517926	223.83
8.7179	1.516294	229.55
8.7658	1.484415	219.03
8.8134	1.428845	226.47
8.8703	1.469954	228.73
8.9204	1.460955	225.80
8.9706	1.477771	238.01
9.0209	1.489259	238.68
9.0713	1.479158	238.30
9.1209	1.470277	244.38
9.1715	1.452278	249.13
9.2208	1.478241	249.45
9.2714	1.488523	248.35
9.3208	1.501681	194.67
9.3762	1.515626	199.43
9.4256	1.545808	189.33
9.4714	1.569075	197.44
9.5314	1.575300	198.39
9.5832	1.603744	199.96
9.6317	1.643897	204.55
9.6808	1.667889	213.79
9.7361	1.715408	205.63
9.7838	1.732181	206.68
9.8402	1.695646	214.18
9.8931	1.665778	211.01
9.9409	1.580870	223.16
9.9964	1.513911	215.48
10.0412	1.462860	215.78
10.0966	1.436084	230.15
10.1442	1.432224	224.78
10.1913	1.466990	235.43
10.2408	1.481828	218.83
10.2914	1.471829	224.07
10.3492	1.492043	223.57
10.3960	1.513168	223.83
10.4504	1.500060	236.70
10.5008	1.488182	232.74
10.5514	1.504461	235.20
10.6016	1.458208	244.27
10.6539	1.487430	244.29
10.7008	1.496371	242.14
10.7514	1.473637	252.47
10.8034	1.477224	246.20
10.8513	1.478067	254.31
10.9033	1.513442	201.95
10.9513	1.553984	199.03
11.0008	1.590947	203.89
11.0567	1.626038	195.04
11.1037	1.621865	198.95
11.1609	1.665909	205.13
11.2113	1.690135	203.85
11.2608	1.701674	207.21
11.3141	1.707550	215.65
11.3678	1.655905	217.67
11.4147	1.601373	212.21
11.4624	1.528070	215.10
11.5208	1.483559	216.58
11.5717	1.439584	214.60
11.6219	1.457628	219.11
11.6714	1.481640	225.54
11.7255	1.467714	229.48
11.7751	1.481472	229.41
11.8217	1.477875	240.01
11.8713	1.438959	230.17
11.9208	1.420178	228.72
11.9787	1.445185	228.45
12.0266	1.439887	232.08
12.0808	1.466324	238.50
12.1313	1.492172	236.76
12.1835	1.302849	250.74
12.2330	1.050011	206.99
12.2757	0.760647	208.45
