# LRA Stimulus Response — Time Series Data
# Source file:    ramp_90to120BPM_8s_210Hz.mp3
# Generated:      2026-07-07 15:02:58
# Duration:       8.000 s
# Accel rate:     1470.5 Hz
# Window size:    200 ms
# Step size:      50 ms
# LRA resonance:  210 Hz
# Rows:           181
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.1002	0.004950	10.00
0.1465	0.004759	35.01
0.1993	0.005321	30.01
0.2489	0.005546	40.01
0.2870	0.005338	35.01
0.3465	0.005313	35.01
0.3905	0.005073	35.01
0.4464	0.004910	35.01
0.4870	0.004819	35.01
0.5465	0.005254	35.01
0.5869	0.412874	190.07
0.6408	1.079251	195.07
0.6867	1.361789	190.07
0.7362	1.381486	190.07
0.7854	1.338853	190.07
0.8270	0.898121	190.07
0.8694	0.251923	195.07
0.9264	0.039691	215.08
0.9663	0.005049	35.01
1.0284	0.004800	35.01
1.0763	0.004847	50.02
1.1264	0.004623	50.02
1.1777	0.004755	45.02
1.2267	0.197543	180.06
1.2695	1.014849	195.07
1.3207	1.333242	190.07
1.3663	1.371100	190.07
1.4180	1.364957	190.07
1.4610	0.967945	190.07
1.5065	0.345981	190.07
1.5607	0.073306	205.07
1.6064	0.006021	35.01
1.6599	0.005251	35.01
1.7064	0.005532	30.01
1.7541	0.005348	30.01
1.8064	0.005205	30.01
1.8486	0.338672	180.06
1.9064	1.045193	195.07
1.9464	1.345639	195.07
2.0007	1.369657	190.07
2.0463	1.334456	190.07
2.0875	0.925570	190.07
2.1407	0.277520	195.07
2.1913	0.053910	205.07
2.2407	0.005240	95.03
2.2874	0.004874	25.01
2.3407	0.004776	35.01
2.3867	0.005122	35.01
2.4402	0.005486	35.01
2.4864	0.726499	190.07
2.5279	1.243926	195.07
2.5807	1.385444	190.07
2.6264	1.393383	190.07
2.6726	1.217065	190.07
2.7225	0.674505	190.07
2.7717	0.153400	200.07
2.8209	0.012986	225.08
2.8686	0.004639	40.01
2.9207	0.004492	35.01
2.9664	0.005149	35.01
3.0207	0.005535	35.01
3.0663	0.472848	190.07
3.1202	1.127540	195.07
3.1678	1.365363	195.07
3.2137	1.380771	195.07
3.2597	1.310088	195.07
3.3064	0.847310	195.07
3.3537	0.227915	200.07
3.4024	0.038244	215.08
3.4480	0.005538	40.01
3.5027	0.004866	40.01
3.5463	0.004846	40.01
3.6027	0.004657	40.01
3.6464	0.459038	185.07
3.7027	1.094252	195.07
3.7503	1.355195	195.07
3.7864	1.373875	195.07
3.8418	1.312858	195.07
3.8864	0.875286	190.07
3.9328	0.234701	195.07
3.9864	0.036973	195.07
4.0280	0.004811	40.01
4.0807	0.004766	40.01
4.1264	0.004994	35.01
4.1848	0.005184	35.01
4.2344	0.637525	190.07
4.2807	1.186140	195.07
4.3264	1.353976	195.07
4.3782	1.366050	190.07
4.4209	1.235229	190.07
4.4669	0.736243	190.07
4.5148	0.192573	200.07
4.5663	0.020138	220.08
4.6099	0.005094	45.02
4.6675	0.005055	40.01
4.7066	0.005066	30.01
4.7663	0.056906	200.07
4.8169	0.922100	195.07
4.8638	1.343223	195.07
4.9113	1.396264	195.07
4.9542	1.397727	195.07
5.0007	1.081523	190.07
5.0492	0.443180	195.07
5.1007	0.092925	200.07
5.1464	0.006038	35.01
5.2004	0.005303	40.01
5.2502	0.005228	40.01
5.2870	0.005569	40.01
5.3463	0.726358	195.07
5.3988	1.228030	195.07
5.4448	1.381510	190.07
5.4872	1.388196	190.07
5.5337	1.217858	190.07
5.5812	0.687280	190.07
5.6271	0.159559	200.07
5.6808	0.014319	220.08
5.7306	0.005207	35.01
5.7808	0.005693	35.01
5.8295	0.006003	35.01
5.8802	0.609826	190.07
5.9271	1.172288	195.07
5.9764	1.363837	195.07
6.0207	1.374010	195.07
6.0686	1.250419	195.07
6.1068	0.770978	190.07
6.1640	0.195348	200.07
6.2136	0.020956	220.08
6.2610	0.005485	35.01
6.3063	0.005126	40.01
6.3607	0.005090	40.01
6.4122	0.632695	195.07
6.4609	1.176954	190.07
6.5094	1.377421	195.07
6.5539	1.388618	195.07
6.6010	1.265298	195.07
6.6464	0.772351	190.07
6.6958	0.195202	200.07
6.7463	0.021145	220.08
6.7863	0.005872	30.01
6.8407	0.005877	35.01
6.8953	0.005893	35.01
6.9435	0.784175	190.07
6.9918	1.245465	195.07
7.0402	1.370586	190.07
7.0867	1.376350	190.07
7.1264	1.171397	190.07
7.1783	0.625566	190.07
7.2274	0.134416	200.07
7.2699	0.009645	220.08
7.3264	0.004765	190.07
7.3663	0.004836	70.02
7.4263	0.218616	185.07
7.4762	1.035900	195.07
7.5230	1.338566	195.07
7.5716	1.370392	190.07
7.6063	1.359886	190.07
7.6610	0.950864	190.07
7.7098	0.323362	195.07
7.7602	0.068152	205.07
7.8063	0.005832	230.08
7.8492	0.004771	5.00
7.9064	0.004708	35.01
7.9464	0.004879	35.01
8.0076	0.004906	35.01
8.0548	0.004724	35.01
8.1073	0.004802	35.01
8.1529	0.004834	40.01
8.2064	0.004899	35.01
8.2523	0.005173	35.01
8.3053	0.005399	35.01
8.3469	0.005484	35.01
8.4054	0.005416	35.01
8.4467	0.004978	35.01
8.5048	0.005248	40.01
8.5529	0.005527	30.01
8.6009	0.005506	30.01
8.6529	0.005516	30.01
8.7026	0.004973	50.02
8.7529	0.005028	35.01
8.8007	0.004734	35.01
8.8492	0.004642	35.01
