# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: ramp_90to90BPM_8s_210Hz.mp3
# Generated:   2026-07-13 15:06:11
# Accel sample rate: 1609.7-1759.9 Hz per-window range (1675.1 Hz overall)
# Freq resolution:   5.00 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        150
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4448	185.0	0.20874	-13.6	135.0	0.18025	-14.9	50.0	0.17769	-15.0	210.0	0.17125	-15.3	180.0	0.15092	-16.4
0.4904	50.0	0.20308	-13.8	60.0	0.19855	-14.0	135.0	0.18152	-14.8	185.0	0.17614	-15.1	100.0	0.17491	-15.1
0.5439	65.0	0.17443	-15.2	185.0	0.16852	-15.5	50.0	0.16795	-15.5	105.0	0.16411	-15.7	275.0	0.15781	-16.0
0.5905	140.0	0.25519	-11.9	75.0	0.21055	-13.5	65.0	0.20179	-13.9	230.0	0.16629	-15.6	105.0	0.15825	-16.0
0.6402	65.0	0.21713	-13.3	140.0	0.18096	-14.8	110.0	0.17286	-15.2	75.0	0.15843	-16.0	130.0	0.15423	-16.2
0.6904	70.0	0.22999	-12.8	140.0	0.21593	-13.3	120.0	0.19420	-14.2	60.0	0.18871	-14.5	110.0	0.18288	-14.8
0.7401	110.0	0.21028	-13.5	90.0	0.18216	-14.8	50.0	0.18125	-14.8	155.0	0.17941	-14.9	120.0	0.17726	-15.0
0.7905	50.0	0.35769	-8.9	110.0	0.27278	-11.3	155.0	0.24388	-12.3	75.0	0.23055	-12.7	90.0	0.20907	-13.6
0.8386	215.0	55.99688	35.0	220.0	54.18791	34.7	210.0	53.80891	34.6	225.0	48.68302	33.7	205.0	48.00577	33.6
0.8878	215.0	139.44213	42.9	220.0	136.49076	42.7	225.0	79.99129	38.1	210.0	79.89820	38.1	200.0	41.06079	32.3
0.9401	215.0	152.67888	43.7	210.0	141.49321	43.0	220.0	90.28370	39.1	205.0	66.51557	36.5	225.0	57.59478	35.2
0.9905	215.0	174.57794	44.8	220.0	119.70900	41.6	210.0	104.74233	40.4	225.0	60.18479	35.6	205.0	52.54509	34.4
1.0406	215.0	134.10691	42.5	210.0	118.47093	41.5	220.0	88.02618	38.9	230.0	51.38197	34.2	205.0	49.71570	33.9
1.0878	220.0	46.49241	33.3	215.0	45.77767	33.2	210.0	43.55901	32.8	225.0	42.57750	32.6	230.0	37.17078	31.4
1.1385	200.0	6.86472	16.7	205.0	6.70812	16.5	195.0	5.83500	15.3	210.0	5.49812	14.8	190.0	4.73796	13.5
1.1878	225.0	0.45701	-6.8	195.0	0.42020	-7.5	240.0	0.40042	-7.9	245.0	0.34652	-9.2	190.0	0.32656	-9.7
1.2378	50.0	0.27732	-11.1	125.0	0.24245	-12.3	175.0	0.22024	-13.1	65.0	0.17332	-15.2	55.0	0.16774	-15.5
1.2869	170.0	0.33051	-9.6	50.0	0.25135	-12.0	115.0	0.21834	-13.2	75.0	0.21204	-13.5	65.0	0.20242	-13.9
1.3302	50.0	0.27227	-11.3	60.0	0.23534	-12.6	80.0	0.20671	-13.7	100.0	0.19554	-14.2	175.0	0.18180	-14.8
1.3859	120.0	0.23917	-12.4	50.0	0.22787	-12.8	60.0	0.20774	-13.6	125.0	0.20287	-13.9	75.0	0.18844	-14.5
1.4337	115.0	0.27200	-11.3	95.0	0.22169	-13.1	85.0	0.20425	-13.8	70.0	0.19826	-14.1	125.0	0.19606	-14.2
1.4841	205.0	11.77942	21.4	210.0	11.76491	21.4	215.0	11.72501	21.4	200.0	11.54293	21.2	220.0	11.38863	21.1
1.5306	225.0	105.44010	40.5	220.0	98.02009	39.8	230.0	88.93154	39.0	215.0	68.89556	36.8	235.0	56.76423	35.1
1.5804	215.0	177.39927	45.0	210.0	130.58833	42.3	220.0	104.62350	40.4	200.0	54.94742	34.8	225.0	36.37800	31.2
1.6305	215.0	171.67830	44.7	210.0	142.94255	43.1	220.0	94.57827	39.5	200.0	54.36544	34.7	205.0	43.94478	32.9
1.6869	215.0	173.38651	44.8	210.0	120.63306	41.6	220.0	114.59532	41.2	225.0	53.47786	34.6	200.0	48.06251	33.6
1.7345	210.0	90.65598	39.1	215.0	85.62574	38.7	205.0	70.30009	36.9	220.0	60.80708	35.7	225.0	36.16059	31.2
1.7839	200.0	18.61548	25.4	205.0	17.55703	24.9	195.0	15.90117	24.0	210.0	14.14303	23.0	215.0	12.36030	21.8
1.8332	205.0	1.45524	3.3	200.0	1.29812	2.3	220.0	1.28188	2.2	225.0	1.24949	1.9	210.0	1.18583	1.5
1.8804	70.0	0.29968	-10.5	50.0	0.29320	-10.7	210.0	0.26626	-11.5	95.0	0.25459	-11.9	90.0	0.23301	-12.7
1.9301	95.0	0.28150	-11.0	65.0	0.25807	-11.8	50.0	0.20143	-13.9	90.0	0.19861	-14.0	75.0	0.19645	-14.1
1.9809	65.0	0.26079	-11.7	130.0	0.23925	-12.4	95.0	0.23482	-12.6	90.0	0.23319	-12.6	75.0	0.21295	-13.4
2.0302	130.0	0.26976	-11.4	135.0	0.21334	-13.4	125.0	0.20807	-13.6	90.0	0.20605	-13.7	60.0	0.18144	-14.8
2.0784	50.0	0.26393	-11.6	135.0	0.22571	-12.9	130.0	0.19674	-14.1	120.0	0.18704	-14.6	75.0	0.18125	-14.8
2.1241	50.0	0.29483	-10.6	135.0	0.22415	-13.0	70.0	0.21335	-13.4	65.0	0.20670	-13.7	75.0	0.20103	-13.9
2.1784	220.0	61.91244	35.8	215.0	61.00468	35.7	225.0	57.09191	35.1	210.0	54.06016	34.7	230.0	47.93219	33.6
2.2280	210.0	136.84563	42.7	215.0	129.77174	42.3	205.0	75.48705	37.6	220.0	74.55282	37.4	195.0	48.44716	33.7
2.2784	215.0	161.12768	44.1	210.0	142.22302	43.1	220.0	88.19123	38.9	225.0	62.31596	35.9	205.0	52.26676	34.4
2.3301	220.0	164.13812	44.3	225.0	114.58504	41.2	215.0	114.12800	41.1	230.0	65.26994	36.3	210.0	55.85700	34.9
2.3804	215.0	127.26984	42.1	210.0	115.88159	41.3	220.0	84.26589	38.5	205.0	52.50078	34.4	235.0	37.70300	31.5
2.4241	220.0	46.16115	33.3	215.0	44.78542	33.0	225.0	44.72069	33.0	230.0	39.56870	31.9	210.0	34.23178	30.7
2.4703	210.0	5.35233	14.6	215.0	4.95793	13.9	205.0	4.45862	13.0	220.0	3.91772	11.9	225.0	3.57486	11.1
2.5238	210.0	0.51059	-5.8	205.0	0.43338	-7.3	200.0	0.34970	-9.1	215.0	0.34873	-9.2	195.0	0.31596	-10.0
2.5701	280.0	0.19009	-14.4	210.0	0.17128	-15.3	165.0	0.16660	-15.6	170.0	0.16402	-15.7	235.0	0.15785	-16.0
2.6259	50.0	0.18505	-14.7	240.0	0.17326	-15.2	235.0	0.16264	-15.8	170.0	0.15765	-16.0	60.0	0.15372	-16.3
2.6740	175.0	0.20137	-13.9	80.0	0.17999	-14.9	210.0	0.17265	-15.3	240.0	0.16966	-15.4	95.0	0.16436	-15.7
2.7246	65.0	0.25313	-11.9	50.0	0.22390	-13.0	55.0	0.22311	-13.0	80.0	0.21039	-13.5	60.0	0.19839	-14.0
2.7701	65.0	0.28042	-11.0	60.0	0.19554	-14.2	55.0	0.18437	-14.7	50.0	0.17187	-15.3	90.0	0.15898	-16.0
2.8239	205.0	24.80639	27.9	210.0	24.57803	27.8	200.0	24.52701	27.8	215.0	23.71958	27.5	195.0	23.69372	27.5
2.8701	215.0	112.02129	41.0	220.0	110.97460	40.9	225.0	80.67799	38.1	210.0	80.25138	38.1	230.0	39.03677	31.8
2.9215	220.0	168.86910	44.6	215.0	157.34927	43.9	225.0	75.33362	37.5	210.0	46.65769	33.4	205.0	36.57184	31.3
2.9706	220.0	177.53830	45.0	215.0	159.76506	44.1	225.0	76.23371	37.6	205.0	36.68571	31.3	400.0	34.06095	30.6
3.0238	215.0	164.42653	44.3	220.0	131.65357	42.4	210.0	89.87055	39.1	225.0	50.05742	34.0	400.0	35.55737	31.0
3.0702	215.0	86.02826	38.7	220.0	83.49501	38.4	210.0	68.65567	36.7	225.0	62.00764	35.8	230.0	39.02076	31.8
3.1204	200.0	16.59365	24.4	195.0	15.71732	23.9	205.0	13.71123	22.7	190.0	12.40518	21.9	210.0	11.00447	20.8
3.1701	200.0	1.23773	1.9	195.0	1.11263	0.9	220.0	1.04212	0.4	205.0	1.00990	0.1	190.0	0.98965	-0.1
3.2211	170.0	0.21077	-13.5	175.0	0.20937	-13.6	255.0	0.19674	-14.1	210.0	0.18477	-14.7	205.0	0.16894	-15.4
3.2703	170.0	0.23204	-12.7	50.0	0.23112	-12.7	160.0	0.18374	-14.7	255.0	0.17712	-15.0	175.0	0.17152	-15.3
