# LRA Stimulus Response — Time Series Data
# Source file:      ramp_90to90BPM_8s_210Hz.mp3
# Generated:        2026-07-13 15:48:22
# Stimulus duration:8.000 s
# Analysis window:  0.443s to 7.823s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1622.1-1761.3 Hz (range across windows; 1676.7 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 139.2 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (335 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             150
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4425	0.004927	39.89
0.4928	0.005108	15.02
0.5427	0.004990	29.88
0.5925	0.005070	24.97
0.6407	0.004958	25.09
0.6910	0.004657	117.06
0.7413	0.004809	114.93
0.7884	0.005005	25.30
0.8402	0.647202	214.88
0.8880	1.145859	215.42
0.9380	1.268842	211.96
0.9880	1.273298	212.88
1.0402	1.117359	214.43
1.0879	0.582192	214.95
1.1380	0.117346	202.70
1.1826	0.014242	225.38
1.2325	0.005012	20.39
1.2826	0.004704	34.89
1.3330	0.004891	24.87
1.3826	0.005132	24.74
1.4330	0.004821	24.93
1.4836	0.167989	189.31
1.5330	0.948736	219.37
1.5802	1.239433	214.34
1.6329	1.262181	213.79
1.6826	1.257101	211.84
1.7330	0.861633	214.94
1.7801	0.273021	202.12
1.8314	0.040914	214.67
1.8799	0.005618	29.92
1.9270	0.005158	29.78
1.9747	0.005472	36.23
2.0235	0.005521	81.39
2.0725	0.005743	35.21
2.1230	0.005770	40.07
2.1729	0.694339	209.26
2.2226	1.148831	217.33
2.2730	1.256596	219.77
2.3248	1.258851	218.90
2.3726	1.070712	214.39
2.4230	0.529729	216.54
2.4730	0.084790	194.05
2.5228	0.010276	214.43
2.5729	0.004761	44.87
2.6229	0.004690	39.85
2.6729	0.005000	39.98
2.7199	0.005108	25.29
2.7719	0.005063	25.17
2.8200	0.300007	204.28
2.8705	0.991994	213.05
2.9200	1.241046	211.32
2.9719	1.256189	215.29
3.0229	1.233049	208.36
3.0681	0.798702	213.38
3.1148	0.223202	208.10
3.1637	0.029551	215.11
3.2145	0.005704	249.67
3.2628	0.005334	40.04
3.3145	0.005312	44.55
3.3629	0.005231	24.81
3.4145	0.005258	24.93
3.4637	0.005004	34.92
3.5145	0.739203	214.40
3.5628	1.159887	219.78
3.6144	1.239931	211.16
3.6633	1.241739	213.38
3.7145	1.013941	214.30
3.7637	0.472513	204.93
3.8125	0.077429	207.03
3.8600	0.008740	217.10
3.9065	0.004391	31.38
3.9603	0.004470	49.80
4.0026	0.004938	45.71
4.0562	0.005223	45.19
4.1028	0.005434	39.01
4.1563	0.387751	211.00
4.2070	1.022035	218.29
4.2547	1.253321	215.24
4.3037	1.264854	224.08
4.3601	1.216582	221.25
4.4028	0.772086	210.19
4.4530	0.193762	203.84
4.5028	0.026318	212.69
4.5557	0.005418	24.93
4.6044	0.005150	24.92
4.6530	0.005356	30.33
4.7028	0.005552	40.19
4.7530	0.005689	39.88
4.8028	0.005873	39.88
4.8525	0.800669	219.38
4.9000	1.192513	219.35
4.9530	1.254413	213.19
5.0028	1.255702	212.70
5.0530	0.988966	224.51
5.1016	0.410788	207.33
5.1434	0.064222	210.11
5.2000	0.008155	216.05
5.2428	0.005054	39.23
5.2985	0.004407	29.62
5.3467	0.004693	34.88
5.3948	0.004726	35.88
5.4429	0.004829	40.63
5.4930	0.494069	221.35
5.5430	1.066331	213.83
5.5929	1.244627	212.52
5.6481	1.252221	214.31
5.6947	1.169650	214.32
5.7431	0.682098	214.38
5.7930	0.151184	201.19
5.8429	0.019416	214.41
5.8929	0.004717	29.92
5.9430	0.004532	69.75
5.9929	0.004820	35.01
6.0425	0.005059	45.44
6.0917	0.005177	57.33
6.1405	0.014397	169.42
6.1837	0.848551	217.50
6.2400	1.206666	216.62
6.2828	1.250303	213.76
6.3430	1.251003	216.06
6.3890	0.936660	213.80
6.4357	0.354040	210.30
6.4834	0.049752	210.84
6.5327	0.006295	30.33
6.5828	0.005171	29.99
6.6329	0.004486	108.57
6.6828	0.004710	39.80
6.7347	0.005045	114.61
6.7832	0.005181	39.88
6.8330	0.529292	216.25
6.8828	1.079641	219.83
6.9329	1.221335	209.83
6.9828	1.226031	213.74
7.0367	1.122534	214.55
7.0834	0.610382	214.28
7.1328	0.118353	200.06
7.1802	0.015211	217.41
7.2319	0.005497	40.66
7.2801	0.006003	39.91
7.3289	0.006229	39.16
7.3800	0.006420	35.68
7.4291	0.006428	35.82
7.4757	0.063152	184.40
7.5238	0.908516	226.36
7.5730	1.213899	209.13
7.6229	1.240177	209.74
7.6807	1.239995	212.56
7.7282	0.871503	209.03
7.7747	0.288610	206.60
7.8232	0.038379	207.13
