# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: rissettrhythm reverse.mp3
# Generated:   2026-07-13 15:06:22
# Accel sample rate: 1624.6-1806.7 Hz per-window range (1715.1 Hz overall)
# Freq resolution:   5.00 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        160
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4012	210.0	64.67067	36.2	215.0	58.28293	35.3	200.0	57.68483	35.2	175.0	52.45626	34.4	120.0	50.18920	34.0
0.4503	205.0	60.84621	35.7	135.0	59.37200	35.5	155.0	54.21658	34.7	160.0	52.56403	34.4	210.0	51.12803	34.2
0.4997	215.0	65.73376	36.4	140.0	57.50917	35.2	165.0	54.03990	34.7	160.0	53.64366	34.6	220.0	53.53331	34.6
0.5550	215.0	68.67423	36.7	165.0	56.97477	35.1	160.0	54.06731	34.7	180.0	52.11744	34.3	140.0	48.53637	33.7
0.6000	215.0	68.71283	36.7	210.0	60.72142	35.7	160.0	50.37360	34.0	185.0	49.71938	33.9	180.0	48.70105	33.8
0.6501	210.0	55.02928	34.8	220.0	27.59814	28.8	185.0	27.49987	28.8	205.0	20.09603	26.1	200.0	19.61006	25.8
0.6998	205.0	38.36205	31.7	210.0	32.32243	30.2	155.0	30.09489	29.6	200.0	29.23358	29.3	165.0	22.51891	27.1
0.7497	165.0	46.04825	33.3	205.0	39.47784	31.9	170.0	38.62283	31.7	210.0	34.20839	30.7	160.0	33.14634	30.4
0.7981	165.0	45.87670	33.2	160.0	37.74354	31.5	170.0	34.48833	30.8	205.0	32.63846	30.3	210.0	31.44201	30.0
0.8456	160.0	46.76840	33.4	165.0	43.44370	32.8	175.0	32.46785	30.2	235.0	31.11538	29.9	205.0	30.36632	29.6
