# LRA Stimulus Response — Time Series Data
# Source file:      rissettrhythm reverse.mp3
# Generated:        2026-07-13 15:48:33
# Stimulus duration:8.000 s
# Analysis window:  0.401s to 8.217s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1655.1-1805.4 Hz (range across windows; 1720.7 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 150.3 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (344 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.00 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             158
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4007	0.935050	207.00
0.4548	0.953117	171.61
0.5078	0.940026	207.53
0.5597	0.839998	179.46
0.6073	0.743149	215.44
0.6548	0.441753	214.98
0.7073	0.443620	170.73
0.7552	0.554200	168.51
0.8001	0.646081	170.28
0.8552	0.647470	168.81
0.9006	0.623562	172.60
0.9548	0.511188	286.39
1.0023	0.416323	169.98
1.0501	0.481623	196.53
1.1000	0.604620	200.97
1.1501	0.736287	196.95
1.1957	0.940152	194.19
1.2476	1.037358	204.22
1.3003	0.946482	165.97
1.3503	0.855080	164.73
1.4000	0.611710	205.05
1.4473	0.513849	166.96
1.4948	0.564796	158.69
1.5473	0.672375	158.95
1.5948	0.836835	159.38
1.6481	0.789464	229.02
1.6950	0.786971	229.33
1.7476	0.748752	190.65
1.7948	0.776389	209.46
1.8473	0.771417	188.97
1.8949	0.864100	194.28
1.9501	0.880009	206.56
2.0001	0.863808	208.99
2.0501	0.969586	201.31
2.1001	0.898030	173.13
2.1547	0.865890	174.31
2.2017	0.670751	187.93
2.2503	0.460773	207.05
2.2964	0.459644	206.30
2.3473	0.561248	161.97
2.3950	0.700797	155.71
2.4473	0.707380	159.54
2.4949	0.695264	223.85
2.5477	0.570004	229.19
2.5954	0.437220	168.56
2.6430	0.479492	170.79
2.6949	0.584077	174.16
2.7403	0.681782	172.04
2.7901	0.892816	169.67
2.8401	0.994401	164.17
2.8947	0.911605	155.92
2.9473	0.836702	158.98
2.9947	0.610916	209.16
3.0408	0.491107	170.69
3.0901	0.512252	170.82
3.1401	0.604393	154.04
3.1901	0.679777	151.46
3.2350	0.782527	149.60
3.2901	0.829824	199.42
3.3401	0.788888	199.41
3.3901	0.739255	202.25
3.4401	0.771808	204.44
3.4873	0.747529	191.82
3.5401	0.838723	193.90
3.5876	0.840776	189.45
3.6355	0.814945	156.09
3.6873	0.900057	194.73
3.7401	0.842545	194.96
3.7901	0.838731	189.45
3.8350	0.653962	193.93
3.8873	0.499758	196.80
3.9355	0.498362	197.36
3.9826	0.562342	152.19
4.0351	0.695714	149.96
4.0839	0.703931	151.48
4.1350	0.717256	231.37
4.1801	0.608439	201.65
4.2333	0.466036	199.27
4.2817	0.473992	177.79
4.3301	0.474635	164.47
4.3801	0.550939	185.82
4.4273	0.750924	186.84
4.4748	0.975688	183.03
4.5302	1.017430	182.02
4.5817	0.976708	150.57
4.6300	0.842873	154.53
4.6801	0.557037	200.85
4.7302	0.523874	154.50
4.7813	0.566225	148.54
4.8301	0.689300	154.68
4.8801	0.803027	145.39
4.9300	0.830576	219.34
4.9801	0.874194	189.45
5.0301	0.761960	189.32
5.0801	0.684241	187.34
5.1301	0.772625	189.82
5.1824	0.723139	209.38
5.2350	0.806681	204.46
5.2801	0.816742	191.59
5.3350	0.787063	143.09
5.3801	0.890136	178.02
5.4374	0.859506	189.67
5.4873	0.817865	184.49
5.5347	0.691663	191.42
5.5801	0.522634	186.22
5.6347	0.505634	183.70
5.6801	0.570536	142.38
5.7301	0.659852	153.02
5.7838	0.776456	149.17
5.8302	0.797710	204.48
5.8806	0.721939	253.87
5.9349	0.580665	194.36
5.9801	0.437570	199.82
6.0302	0.377173	155.88
6.0752	0.511744	153.67
6.1274	0.606786	173.15
6.1748	0.836162	174.54
6.2270	0.982286	172.16
6.2752	0.974122	144.43
6.3301	0.910586	149.75
6.3750	0.727919	189.65
6.4273	0.493800	199.36
6.4749	0.519479	145.79
6.5201	0.553197	139.33
6.5733	0.607628	137.97
6.6205	0.757875	134.61
6.6701	0.911275	233.00
6.7201	0.983274	224.75
6.7702	0.924567	234.32
6.8202	0.807397	234.32
6.8701	0.682595	169.66
6.9201	0.673436	194.43
6.9700	0.700661	197.05
7.0202	0.774975	184.21
7.0701	0.708647	179.37
7.1201	0.790067	177.45
7.1701	0.870118	179.46
7.2225	0.828898	179.55
7.2701	0.791004	154.43
7.3200	0.640850	237.04
7.3703	0.490607	237.75
7.4202	0.479044	173.96
7.4672	0.594638	171.00
7.5149	0.681794	173.00
7.5685	0.830972	235.92
7.6161	0.873705	239.24
7.6701	0.787737	240.84
7.7201	0.665027	249.99
7.7673	0.478225	188.94
7.8156	0.354596	152.14
7.8601	0.423751	152.77
7.9101	0.486167	152.75
7.9631	0.710879	164.23
8.0114	0.915784	160.64
8.0604	1.057701	166.39
8.1149	1.029855	164.91
8.1673	0.869813	168.79
8.2170	0.610332	179.45
