# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: rissettrhythm.mp3
# Generated:   2026-07-13 15:48:44
# Accel sample rate: 1644.1-1812.7 Hz per-window range (1710.8 Hz overall)
# Freq resolution:   5.00 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        160
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4001	260.1	27.85269	28.9	265.1	27.51740	28.8	255.1	27.23548	28.7	270.1	26.68922	28.5	250.1	25.84656	28.2
0.4550	185.1	60.30189	35.6	190.1	57.79140	35.2	180.1	48.22857	33.7	195.1	45.09380	33.1	270.1	39.16759	31.9
0.5074	180.1	73.78196	37.4	185.1	60.82291	35.7	135.1	52.10421	34.3	130.1	50.68527	34.1	195.1	47.69877	33.6
0.5548	185.1	86.49793	38.7	190.1	68.26585	36.7	205.1	59.16360	35.4	135.1	55.58896	34.9	140.1	50.60961	34.1
0.6072	195.1	74.96167	37.5	190.1	72.20128	37.2	165.1	54.70804	34.8	210.1	54.66299	34.8	215.1	51.57520	34.2
0.6548	180.1	49.57510	33.9	185.1	49.01415	33.8	160.1	45.83621	33.2	190.1	45.55969	33.2	140.1	41.56646	32.4
0.6999	180.1	50.44261	34.1	150.1	43.46665	32.8	165.1	41.77581	32.4	200.1	38.92658	31.8	205.1	33.31262	30.5
0.7503	150.1	39.44886	31.9	200.1	39.21058	31.9	195.1	29.11926	29.3	180.1	25.72915	28.2	185.1	24.07536	27.6
0.8003	200.1	33.67622	30.5	150.1	29.58452	29.4	195.1	28.77113	29.2	145.1	22.30556	27.0	175.1	18.95848	25.6
0.8488	205.1	41.25292	32.3	155.1	28.63137	29.1	150.1	25.73291	28.2	220.1	21.04532	26.5	255.1	20.38198	26.2
0.8949	215.1	46.52213	33.4	240.1	45.41036	33.1	255.1	43.54617	32.8	245.1	43.41182	32.8	260.1	41.06082	32.3
0.9400	245.1	57.80485	35.2	250.1	51.22192	34.2	240.1	47.32063	33.5	255.1	44.82715	33.0	220.1	39.41707	31.9
0.9949	240.1	58.24865	35.3	235.1	55.68485	34.9	205.1	53.25548	34.5	245.1	52.40425	34.4	195.1	50.88111	34.1
1.0400	240.1	66.05642	36.4	180.1	62.38536	35.9	205.1	58.60804	35.4	245.1	53.25483	34.5	235.1	51.83541	34.3
1.0949	140.1	55.34779	34.9	180.1	52.42695	34.4	135.1	44.50749	33.0	195.1	40.17367	32.1	150.1	39.88273	32.0
1.1400	140.1	54.23912	34.7	135.1	45.85932	33.2	180.1	45.63193	33.2	205.1	44.63527	33.0	175.1	37.34207	31.4
1.1949	135.1	59.31920	35.5	185.1	48.47591	33.7	190.1	46.14296	33.3	140.1	45.40958	33.1	180.1	35.50987	31.0
1.2400	195.1	40.81192	32.2	180.1	35.59813	31.0	175.1	32.33011	30.2	170.1	31.96164	30.1	220.1	30.40005	29.7
1.2949	180.1	43.69568	32.8	150.1	43.31003	32.7	160.1	41.54449	32.4	155.1	40.36969	32.1	185.1	40.17550	32.1
1.3443	180.1	65.30392	36.3	200.1	55.89754	34.9	245.1	50.64171	34.1	185.1	46.27104	33.3	205.1	45.05253	33.1
1.3899	180.1	73.62647	37.3	150.1	53.93288	34.6	170.1	53.65120	34.6	140.1	48.45439	33.7	200.1	46.14910	33.3
1.4431	145.1	62.89771	36.0	180.1	56.09602	35.0	185.1	53.32007	34.5	190.1	47.29582	33.5	255.1	46.04581	33.3
1.4949	175.1	71.64936	37.1	135.1	60.13200	35.6	235.1	50.51652	34.1	140.1	47.59239	33.6	170.1	45.97011	33.2
1.5399	190.1	50.79557	34.1	140.1	50.05430	34.0	230.1	48.59502	33.7	215.1	45.55560	33.2	200.1	45.27283	33.1
1.5949	205.1	47.33915	33.5	180.1	45.30734	33.1	185.1	41.36714	32.3	105.0	39.86522	32.0	200.1	39.21612	31.9
1.6465	205.1	53.57286	34.6	180.1	48.00415	33.6	185.1	40.16995	32.1	200.1	36.56199	31.3	145.1	35.44944	31.0
1.6969	190.1	46.85059	33.4	215.1	45.57507	33.2	205.1	43.10364	32.7	210.1	38.12364	31.6	185.1	36.67013	31.3
1.7436	210.1	27.67832	28.8	150.1	27.54414	28.8	265.1	25.55576	28.1	100.0	25.15573	28.0	195.1	24.26213	27.7
1.7910	245.1	48.68176	33.7	240.1	48.06188	33.6	235.1	47.77382	33.6	215.1	42.94808	32.7	275.1	41.47072	32.4
1.8405	240.1	57.50899	35.2	235.1	50.12786	34.0	275.1	43.55858	32.8	215.1	41.83220	32.4	245.1	41.03542	32.3
1.8901	200.1	67.26289	36.6	235.1	59.53186	35.5	230.1	56.45371	35.0	210.1	53.14246	34.5	185.1	49.81357	33.9
1.9400	200.1	85.00783	38.6	185.1	56.30413	35.0	145.1	55.28530	34.9	140.1	55.17720	34.8	235.1	50.54703	34.1
1.9949	140.1	72.87040	37.3	145.1	61.63555	35.8	195.1	53.55286	34.6	180.1	50.19192	34.0	185.1	43.90115	32.8
2.0443	145.1	78.04319	37.8	150.1	51.80892	34.3	200.1	51.21038	34.2	140.1	49.52752	33.9	205.1	37.91561	31.6
2.0949	150.1	65.73020	36.4	145.1	55.43722	34.9	155.1	42.17278	32.5	170.1	38.37589	31.7	175.1	32.21416	30.2
2.1401	185.1	37.24320	31.4	180.1	25.72253	28.2	140.1	25.12604	28.0	135.1	24.68608	27.8	215.1	24.10029	27.6
2.1899	185.1	30.28308	29.6	180.1	26.45453	28.5	190.1	21.53854	26.7	245.1	17.90949	25.1	250.1	17.37960	24.8
2.2399	190.1	51.05141	34.2	195.1	45.81581	33.2	145.1	41.79410	32.4	140.1	39.20623	31.9	175.1	35.97813	31.1
2.2900	190.1	65.76044	36.4	195.1	55.51326	34.9	140.1	55.41987	34.9	185.1	48.84293	33.8	225.1	43.27289	32.7
2.3427	195.1	89.28781	39.0	145.1	73.22610	37.3	190.1	57.60813	35.2	215.1	48.60398	33.7	175.1	47.52700	33.5
2.3948	190.1	98.29059	39.9	140.1	77.21187	37.8	185.1	57.72021	35.2	195.1	57.21038	35.1	170.1	53.72730	34.6
2.4400	195.1	63.71392	36.1	190.1	58.75886	35.4	180.1	51.87041	34.3	145.1	45.25482	33.1	150.1	44.28126	32.9
2.4948	190.1	76.07288	37.6	160.1	48.77855	33.8	105.0	46.10973	33.3	145.1	42.52550	32.6	210.1	39.83781	32.0
2.5400	155.1	48.61356	33.7	205.1	45.83168	33.2	105.0	35.80237	31.1	210.1	29.21622	29.3	200.1	27.94247	28.9
2.5900	210.1	36.46123	31.2	155.1	34.88902	30.9	205.1	27.31867	28.7	105.0	21.84047	26.8	160.1	18.73943	25.5
2.6401	205.1	40.61098	32.2	210.1	37.44135	31.5	155.1	24.66796	27.8	160.1	21.82407	26.8	175.1	20.05329	26.0
2.6873	220.1	52.74157	34.4	215.1	41.19865	32.3	225.1	40.00981	32.0	245.1	36.57056	31.3	240.1	34.22476	30.7
2.7378	245.1	48.90686	33.8	215.1	48.09984	33.6	250.1	47.36325	33.5	220.1	43.77341	32.8	225.1	38.63636	31.7
2.7870	185.1	53.61041	34.6	240.1	52.58636	34.4	210.1	50.65526	34.1	200.1	49.48831	33.9	190.1	46.37581	33.3
2.8356	190.1	55.92245	35.0	210.1	52.95092	34.5	150.1	51.58682	34.3	250.1	50.72857	34.1	185.1	50.50735	34.1
2.8873	150.1	67.11984	36.5	190.1	51.33309	34.2	195.1	49.13283	33.8	160.1	44.23104	32.9	220.1	40.28026	32.1
2.9348	150.1	60.05908	35.6	195.1	47.53003	33.5	185.1	44.90957	33.0	190.1	41.18805	32.3	155.1	39.34433	31.9
2.9799	145.1	57.91929	35.3	150.1	55.40497	34.9	185.1	48.32885	33.7	190.1	37.75630	31.5	215.1	35.70424	31.1
3.0299	195.1	38.57014	31.7	190.1	37.36528	31.4	140.1	28.71660	29.2	145.1	28.65164	29.1	180.1	27.47516	28.8
3.0800	190.1	45.24102	33.1	180.1	43.23186	32.7	215.1	43.04715	32.7	160.1	39.10024	31.8	205.1	35.58855	31.0
3.1329	185.1	91.25615	39.2	190.1	63.36355	36.0	180.1	54.99105	34.8	175.1	49.65573	33.9	210.1	49.51168	33.9
3.1809	180.1	82.68761	38.3	185.1	62.82184	36.0	145.1	55.15098	34.8	255.1	52.86310	34.5	140.1	51.95596	34.3
3.2354	180.1	95.17753	39.6	185.1	63.04187	36.0	145.1	59.50057	35.5	140.1	53.28202	34.5	190.1	49.93061	34.0
3.2871	180.1	73.73074	37.4	145.1	64.89528	36.2	185.1	58.84202	35.4	190.1	40.30238	32.1	140.1	39.11443	31.8
3.3380	185.1	55.81407	34.9	150.1	54.23359	34.7	190.1	43.55884	32.8	215.1	42.01290	32.5	255.1	41.25018	32.3
3.3856	195.1	42.54941	32.6	185.1	40.96885	32.2	210.1	40.58264	32.2	155.1	40.32698	32.1	190.1	36.92104	31.3
3.4355	195.1	42.68548	32.6	215.1	40.97080	32.2	200.1	40.61057	32.2	155.1	38.57027	31.7	210.1	37.50559	31.5
3.4805	200.1	55.03858	34.8	215.1	49.32147	33.9	190.1	41.51252	32.4	160.1	34.03141	30.6	220.1	33.11599	30.4
3.5300	250.1	54.06851	34.7	245.1	52.04449	34.3	240.1	41.78229	32.4	260.1	37.00562	31.4	290.1	36.08485	31.1
