# LRA Stimulus Response — Time Series Data
# Source file:      rissettrhythm.mp3
# Generated:        2026-07-13 15:06:33
# Stimulus duration:8.000 s
# Analysis window:  0.402s to 8.277s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1600.2-1808.6 Hz (range across windows; 1710.0 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 208.3 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (341 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             160
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4021	0.469570	264.15
0.4521	0.845291	179.94
0.5023	0.940607	184.51
0.5571	1.039693	179.49
0.6020	0.977382	179.55
0.6521	0.727619	184.06
0.7022	0.641209	178.78
0.7467	0.499306	150.60
0.7972	0.427851	198.90
0.8441	0.484112	199.07
0.8926	0.737368	212.79
0.9420	0.762192	210.37
0.9940	0.902775	202.97
1.0432	0.919763	178.57
1.0941	0.728406	181.24
1.1431	0.687868	184.57
1.1921	0.605975	135.98
1.2376	0.562088	201.84
1.2920	0.674619	181.01
1.3406	0.936063	146.27
1.3904	1.001074	184.43
1.4421	1.044847	143.59
1.4921	0.969025	138.42
1.5420	0.896916	104.62
1.5921	0.790475	204.34
1.6423	0.691518	184.29
1.6921	0.673201	209.85
1.7422	0.439622	199.07
1.7821	0.798108	232.55
1.8376	0.835753	239.72
1.8894	0.946412	229.40
1.9377	1.021714	208.43
1.9821	0.841243	145.48
2.0385	0.780817	144.65
2.0881	0.705688	144.49
2.1376	0.589434	185.44
2.1822	0.387712	181.08
2.2321	0.710083	179.48
2.2863	0.885537	188.62
2.3376	1.016122	189.07
2.3883	1.070741	198.77
2.4378	0.942000	192.99
2.4820	0.744635	190.35
2.5391	0.551950	206.70
2.5874	0.443331	203.36
2.6355	0.435497	211.85
2.6830	0.694654	250.85
2.7320	0.720978	248.64
2.7821	0.877582	200.31
2.8320	0.921371	248.72
2.8821	0.753430	144.35
2.9325	0.711747	151.33
2.9824	0.601736	147.99
3.0231	0.554325	199.90
3.0775	0.727292	163.54
3.1220	0.991116	185.85
3.1776	1.021315	180.33
3.2323	1.019345	173.63
3.2821	0.889171	180.04
3.3345	0.799633	184.77
3.3825	0.757878	194.44
3.4320	0.691562	198.90
3.4820	0.681253	194.79
3.5250	0.724082	257.07
3.5770	0.778577	249.90
3.6220	0.869615	252.47
3.6775	0.972778	246.46
3.7224	0.883109	145.63
3.7793	0.778954	148.83
3.8274	0.719595	147.34
3.8785	0.583516	151.35
3.9254	0.362564	189.31
3.9769	0.711394	250.62
4.0223	0.848878	207.56
4.0775	0.982439	196.43
4.1224	1.041469	194.45
4.1799	0.880066	199.37
4.2274	0.724239	199.40
4.2775	0.529136	165.87
4.3224	0.411951	163.61
4.3723	0.537591	164.05
4.4224	0.686422	229.35
4.4720	0.742390	249.78
4.5224	0.864825	219.35
4.5719	0.802217	189.44
4.6224	0.666351	194.20
4.6720	0.621115	157.22
4.7175	0.558783	189.04
4.7621	0.672435	193.77
4.8176	0.910462	164.49
4.8624	1.032958	185.39
4.9175	1.026711	159.56
4.9719	0.932705	154.55
5.0176	0.877137	192.05
5.0624	0.761382	111.92
5.1200	0.705205	214.30
5.1679	0.689461	212.78
5.2176	0.739106	252.43
5.2639	0.756824	257.82
5.3175	0.824679	258.27
5.3690	0.915168	252.80
5.4184	0.802674	159.56
5.4690	0.734322	164.96
5.5175	0.679908	157.67
5.5624	0.554150	149.51
5.6144	0.356028	194.41
5.6624	0.736304	143.54
5.7123	0.861063	154.49
5.7638	1.002306	209.75
5.8145	1.048638	157.98
5.8620	0.860538	216.33
5.9143	0.708111	209.15
5.9620	0.487141	168.44
6.0099	0.439076	175.02
6.0573	0.644823	235.24
6.1023	0.656971	269.38
6.1570	0.793782	199.59
6.2024	0.851856	159.54
6.2522	0.669744	158.21
6.3023	0.633947	156.83
6.3524	0.576050	157.54
6.3995	0.657278	172.11
6.4484	0.896457	204.93
6.4993	1.041025	201.48
6.5518	1.049450	195.41
6.6024	0.950287	161.09
6.6525	0.928053	204.41
6.6973	0.832139	117.58
6.7518	0.753257	212.67
6.7974	0.734603	205.96
6.8447	0.729867	165.73
6.8958	0.709279	214.46
6.9444	0.802876	192.02
6.9973	0.936443	207.81
7.0472	0.749827	158.32
7.0973	0.684513	168.66
7.1459	0.603533	163.69
7.1924	0.351084	153.40
7.2421	0.616808	197.98
7.2923	0.814178	166.63
7.3423	0.936046	164.46
7.3959	1.009931	164.58
7.4422	0.899256	204.52
7.4922	0.767172	203.60
7.5422	0.586319	172.86
7.5918	0.460888	178.50
7.6383	0.583603	173.86
7.6822	0.579569	186.53
7.7372	0.667436	241.56
7.7842	0.764003	202.17
7.8323	0.633211	209.44
7.8844	0.586706	170.40
7.9323	0.578349	168.06
7.9773	0.636418	180.85
8.0221	0.865465	178.70
8.0773	1.026446	209.03
8.1276	1.019300	209.37
8.1776	0.906619	164.45
8.2222	0.667004	127.74
8.2774	0.347018	122.86
