# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: pitch_constant_220to220Hz.mp3
# Generated:   2026-07-13 15:04:13
# Accel sample rate: 1523.5-1699.5 Hz per-window range (1601.1 Hz overall)
# Freq resolution:   5.00 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        157
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4400	220.2	238.99165	47.6	215.2	180.31163	45.1	210.1	115.18283	41.2	340.2	81.10987	38.2	230.2	57.79214	35.2
0.4855	225.2	275.09646	48.8	220.2	164.78659	44.3	230.2	73.33306	37.3	345.2	72.95997	37.3	350.2	72.70441	37.2
0.5400	225.2	237.21452	47.5	220.2	201.95791	46.1	215.2	115.60677	41.3	345.2	78.54287	37.9	230.2	66.56894	36.5
0.5856	215.2	239.80771	47.6	220.2	157.02384	43.9	210.1	145.59773	43.3	225.2	72.75790	37.2	335.2	66.54671	36.5
0.6423	220.2	258.70991	48.3	225.2	171.34551	44.7	215.2	128.75547	42.2	345.2	77.62760	37.8	210.1	69.48058	36.8
0.6924	210.1	260.45679	48.3	215.2	163.74891	44.3	205.1	81.58043	38.2	330.2	81.24943	38.2	220.2	80.97835	38.2
0.7430	220.2	238.28319	47.5	215.2	144.68711	43.2	225.2	100.11499	40.0	340.2	71.32747	37.1	230.2	64.98145	36.3
0.7938	220.2	236.96650	47.5	215.2	182.73943	45.2	225.2	107.12608	40.6	340.2	72.68298	37.2	210.1	65.06471	36.3
0.8437	220.2	251.37521	48.0	225.2	159.58687	44.1	215.2	144.66731	43.2	205.1	62.76820	36.0	210.1	62.01598	35.9
0.8937	220.2	242.32654	47.7	215.2	172.41637	44.7	225.2	140.75503	43.0	210.1	72.43025	37.2	205.1	59.79760	35.5
0.9452	220.2	238.67954	47.6	215.2	170.75276	44.6	225.2	138.84259	42.9	340.2	74.71902	37.5	210.1	62.53888	35.9
0.9955	220.2	228.46849	47.2	215.2	201.88000	46.1	225.2	104.76126	40.4	340.2	89.33525	39.0	210.1	69.92622	36.9
1.0457	220.2	247.15180	47.9	225.2	168.57401	44.5	215.2	105.61577	40.5	230.2	96.28923	39.7	345.2	64.34301	36.2
1.0955	220.2	251.96047	48.0	225.2	191.94931	45.7	215.2	121.59739	41.7	345.2	81.41881	38.2	230.2	54.79513	34.8
1.1457	220.2	232.33717	47.3	225.2	209.58838	46.4	215.2	116.59940	41.3	210.1	76.26239	37.6	345.2	69.20736	36.8
1.1951	220.2	238.34246	47.5	225.2	193.35275	45.7	215.2	114.36341	41.2	230.2	69.30241	36.8	345.2	64.46418	36.2
1.2457	220.2	236.33772	47.5	215.2	207.16785	46.3	225.2	112.76321	41.0	210.1	69.87316	36.9	340.2	64.68463	36.2
1.2959	220.2	252.77562	48.1	225.2	200.95809	46.1	215.2	93.30853	39.4	230.2	82.09823	38.3	205.1	68.47253	36.7
1.3485	220.2	278.00772	48.9	225.2	155.21959	43.8	215.2	127.22529	42.1	345.2	78.78406	37.9	100.1	52.96091	34.5
1.3949	215.2	271.01714	48.7	220.2	162.10126	44.2	225.2	91.03418	39.2	205.1	80.41058	38.1	335.2	72.85387	37.2
1.4455	220.2	266.06487	48.5	225.2	155.93885	43.9	215.2	130.14888	42.3	345.2	84.37803	38.5	235.2	60.50970	35.6
1.5002	215.2	237.19396	47.5	220.2	174.78482	44.9	210.1	107.56178	40.6	335.2	80.20121	38.1	225.2	75.03607	37.5
1.5483	220.2	254.75256	48.1	225.2	185.64226	45.4	215.2	127.45119	42.1	345.2	75.19304	37.5	230.2	53.24002	34.5
1.6003	220.2	249.66216	47.9	215.2	161.21954	44.1	225.2	140.63287	43.0	210.1	83.04290	38.4	345.2	60.46273	35.6
1.6454	225.2	219.95809	46.8	220.2	182.34820	45.2	230.2	121.65162	41.7	350.2	80.22186	38.1	235.2	71.26019	37.1
1.7019	220.2	268.30107	48.6	225.2	157.13788	43.9	215.2	110.63034	40.9	345.2	87.12780	38.8	230.2	63.68577	36.1
1.7455	220.2	256.84050	48.2	225.2	156.90820	43.9	215.2	128.46892	42.2	345.2	80.29135	38.1	210.1	68.23684	36.7
1.8002	220.2	235.86921	47.5	225.2	199.74051	46.0	230.2	103.54018	40.3	345.2	73.80616	37.4	215.2	67.52210	36.6
1.8455	220.2	253.74606	48.1	225.2	166.14181	44.4	215.2	119.31773	41.5	345.2	85.71817	38.7	230.2	56.42018	35.0
1.9002	215.2	241.61814	47.7	220.2	188.07743	45.5	210.1	97.10469	39.7	335.2	87.17466	38.8	225.2	79.88661	38.0
1.9455	215.2	264.94907	48.5	220.2	191.29863	45.6	210.1	89.59105	39.0	335.2	70.21448	36.9	340.2	67.01245	36.5
2.0056	215.2	278.19831	48.9	210.1	117.98856	41.4	220.2	113.68141	41.1	335.2	85.64777	38.7	225.2	54.49461	34.7
2.0550	210.1	299.01814	49.5	215.2	77.38125	37.8	330.2	69.70809	36.9	220.2	68.92366	36.8	205.1	57.09945	35.1
2.1054	220.2	280.92135	49.0	215.2	134.55665	42.6	225.2	126.64657	42.1	345.2	75.54224	37.6	210.1	63.78871	36.1
2.1549	220.2	235.04450	47.4	215.2	162.27262	44.2	225.2	141.88136	43.0	340.2	75.36593	37.5	210.1	61.23078	35.7
2.2056	220.2	247.97998	47.9	225.2	174.09535	44.8	215.2	116.29576	41.3	345.2	79.71100	38.0	205.1	69.36413	36.8
2.2563	220.2	271.10843	48.7	225.2	141.58607	43.0	215.2	124.08808	41.9	345.2	82.45170	38.3	230.2	53.06998	34.5
2.3056	220.2	281.68070	49.0	215.2	124.90789	41.9	225.2	94.37336	39.5	345.2	76.95077	37.7	210.1	51.91007	34.3
2.3549	220.2	306.54368	49.7	225.2	110.19599	40.8	345.2	79.87027	38.0	250.2	44.29444	32.9	215.2	44.08090	32.9
2.4078	220.2	289.22750	49.2	215.2	118.14227	41.4	225.2	73.64392	37.3	345.2	70.53579	37.0	95.1	46.37467	33.3
2.4549	220.2	299.18736	49.5	215.2	117.79413	41.4	225.2	94.06764	39.5	345.2	72.66341	37.2	210.1	55.94695	35.0
2.5058	220.2	266.17845	48.5	225.2	163.83092	44.3	230.2	58.30086	35.3	215.2	57.80319	35.2	345.2	57.39039	35.2
2.5549	220.2	296.68798	49.4	215.2	98.70419	39.9	225.2	85.18839	38.6	345.2	76.90552	37.7	205.1	57.15165	35.1
2.6057	220.2	302.41622	49.6	225.2	127.09429	42.1	215.2	104.11932	40.4	345.2	95.98563	39.6	210.1	58.12489	35.3
2.6549	220.2	226.55930	47.1	215.2	183.74239	45.3	225.2	112.66004	41.0	340.2	90.23694	39.1	210.1	67.92920	36.6
2.7093	215.2	268.81735	48.6	220.2	175.67558	44.9	210.1	91.74374	39.3	335.2	79.24223	38.0	225.2	63.02239	36.0
2.7603	215.2	260.26451	48.3	210.1	144.80019	43.2	220.2	116.60060	41.3	335.2	104.14423	40.4	205.1	52.10243	34.3
2.8104	220.2	239.64912	47.6	225.2	190.06148	45.6	230.2	101.44461	40.1	345.2	65.96259	36.4	215.2	62.31979	35.9
2.8612	220.2	277.80977	48.9	225.2	141.08943	43.0	215.2	131.91871	42.4	345.2	85.03484	38.6	235.2	46.01954	33.3
2.9075	225.2	277.54665	48.9	230.2	177.25352	45.0	235.2	96.11482	39.7	215.2	74.79175	37.5	220.2	73.04089	37.3
2.9601	220.2	275.16205	48.8	225.2	177.80709	45.0	345.2	89.84512	39.1	215.2	85.08934	38.6	230.2	56.29902	35.0
3.0053	220.2	252.54347	48.0	225.2	177.22558	45.0	230.2	79.62297	38.0	215.2	75.59831	37.6	345.2	70.07461	36.9
