# LRA Stimulus Response — Time Series Data
# Source file:      pitch_constant_220to220Hz.mp3
# Generated:        2026-07-13 15:46:23
# Stimulus duration:8.000 s
# Analysis window:  0.437s to 8.258s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1541.1-1692.4 Hz (range across windows; 1600.6 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 151.3 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (320 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.00 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             156
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4371	1.907359	224.60
0.4895	1.913901	223.69
0.5370	1.908142	224.30
0.5895	1.900759	220.84
0.6426	1.889807	218.33
0.6927	1.886040	215.89
0.7425	1.886044	219.32
0.7927	1.892079	219.31
0.8426	1.898502	218.43
0.8927	1.894506	219.32
0.9448	1.894081	219.31
0.9926	1.894725	219.32
1.0426	1.892995	226.76
1.0926	1.893872	224.30
1.1427	1.890919	215.16
1.1971	1.883514	214.14
1.2465	1.882506	219.49
1.2980	1.893334	218.21
1.3425	1.898080	216.64
1.3981	1.898825	220.44
1.4495	1.897689	212.48
1.4970	1.889961	218.13
1.5495	1.895318	219.40
1.6007	1.900129	219.30
1.6495	1.897979	219.31
1.6970	1.903488	222.78
1.7495	1.899652	219.29
1.7976	1.893829	213.39
1.8526	1.901847	215.92
1.9025	1.901096	213.91
1.9526	1.901527	219.31
2.0027	1.898655	219.32
2.0526	1.903864	217.13
2.1025	1.907920	219.53
2.1546	1.904941	219.31
2.2025	1.904640	219.38
2.2526	1.898737	221.48
2.3025	1.891642	219.18
2.3569	1.891154	214.48
2.4026	1.893825	218.45
2.4571	1.899778	219.31
2.5033	1.899947	219.32
2.5569	1.905342	219.51
2.6090	1.912538	212.73
2.6570	1.912525	219.23
2.7095	1.909748	223.60
2.7570	1.912469	224.29
2.8096	1.911090	219.31
2.8570	1.901358	219.39
2.9095	1.904516	216.03
2.9569	1.900458	213.22
3.0127	1.898646	215.92
3.0627	1.898187	218.10
3.1126	1.896666	217.49
3.1626	1.897377	219.04
3.2154	1.896017	216.22
3.2629	1.895814	219.32
3.3155	1.892320	224.13
3.3626	1.895177	215.12
3.4170	1.893837	217.60
3.4668	1.897369	219.43
3.5170	1.904174	219.20
3.5625	1.894917	217.00
3.6171	1.897407	217.38
3.6695	1.901869	211.91
3.7188	1.901596	219.32
3.7695	1.905469	219.37
3.8171	1.903783	221.40
3.8695	1.900349	218.74
3.9169	1.897870	217.31
3.9700	1.903626	219.25
4.0227	1.902505	212.90
4.0726	1.896516	216.46
4.1230	1.900223	218.27
4.1727	1.894144	219.41
4.2236	1.894847	224.31
4.2725	1.896684	219.01
4.3229	1.891823	220.37
4.3729	1.902029	220.11
4.4227	1.901600	222.71
4.4773	1.904827	219.84
4.5244	1.908117	219.43
4.5770	1.893997	219.74
4.6289	1.900931	214.45
4.6769	1.899597	219.32
4.7298	1.900238	218.72
4.7770	1.901387	224.31
4.8295	1.898157	219.72
4.8769	1.905792	219.31
4.9294	1.902985	218.80
4.9819	1.912316	213.33
5.0326	1.906694	215.75
5.0825	1.894987	218.66
5.1327	1.902307	219.32
5.1825	1.897747	217.88
5.2326	1.899526	219.31
5.2838	1.906252	224.00
5.3328	1.902982	219.13
5.3828	1.898580	220.27
5.4328	1.899989	216.61
5.4829	1.894509	219.13
5.5373	1.895432	219.72
5.5830	1.898904	224.49
5.6369	1.900918	224.59
5.6889	1.907405	212.38
5.7396	1.909239	219.23
5.7895	1.913064	218.72
5.8370	1.909383	222.16
5.8894	1.904725	219.32
5.9370	1.897600	214.72
5.9895	1.885953	217.64
6.0413	1.889785	213.17
6.0925	1.889412	215.78
6.1428	1.894346	222.66
6.1928	1.901541	222.49
6.2428	1.900169	219.57
6.2941	1.901805	219.31
6.3425	1.904122	219.31
6.3928	1.901407	220.84
6.4428	1.899748	219.06
6.4927	1.903657	214.67
6.5427	1.895620	216.88
6.5977	1.911556	214.86
6.6450	1.905081	219.31
6.6969	1.906358	219.48
6.7489	1.912002	214.09
6.7975	1.902778	219.26
6.8500	1.911299	218.70
6.8969	1.904427	219.33
6.9495	1.901277	219.90
6.9975	1.896758	213.92
7.0495	1.898846	215.80
7.1029	1.896666	213.73
7.1527	1.897698	215.78
7.2027	1.902713	219.41
7.2527	1.903928	217.35
7.3028	1.903964	219.30
7.3545	1.909467	219.04
7.4027	1.903107	219.31
7.4530	1.905051	221.24
7.5028	1.912255	219.25
7.5570	1.898085	219.46
7.6080	1.907130	223.69
7.6574	1.898567	219.38
7.7090	1.894085	224.98
7.7569	1.900333	219.34
7.8100	1.892312	218.78
7.8574	1.896046	218.72
7.9094	1.900939	219.83
7.9574	1.906348	219.87
8.0095	1.903842	220.60
8.0628	1.905075	217.48
8.1128	1.894378	220.53
8.1637	1.717249	224.26
8.2129	1.444974	228.10
8.2584	1.083284	232.70
