# LRA Stimulus Response — Time Series Data
# Source file:      pitch_decrease_mild_220to156Hz.mp3
# Generated:        2026-07-13 15:46:34
# Stimulus duration:8.000 s
# Analysis window:  0.433s to 8.283s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1509.1-1682.2 Hz (range across windows; 1594.8 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 173.2 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (318 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             158
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4325	1.889546	219.30
0.4830	1.884477	219.30
0.5326	1.883471	214.13
0.5826	1.869052	214.34
0.6327	1.868742	214.33
0.6830	1.877559	214.33
0.7326	1.881159	214.51
0.7826	1.905848	214.34
0.8326	1.915874	214.33
0.8830	1.913440	214.39
0.9326	1.920939	214.24
0.9826	1.920618	214.76
1.0326	1.918684	214.32
1.0826	1.925208	214.34
1.1326	1.937223	214.35
1.1825	1.937912	212.13
1.2326	1.943145	213.69
1.2827	1.933971	207.24
1.3326	1.931249	209.37
1.3826	1.939921	208.94
1.4326	1.936898	209.34
1.4830	1.943370	206.30
1.5326	1.938781	208.76
1.5830	1.935327	209.02
1.6325	1.936203	209.27
1.6827	1.932458	206.75
1.7327	1.922154	207.62
1.7830	1.914859	209.35
1.8336	1.918166	203.77
1.8827	1.926145	201.83
1.9326	1.932427	203.95
1.9830	1.942141	203.31
2.0330	1.945587	204.24
2.0838	1.936053	204.47
2.1327	1.925699	204.35
2.1829	1.939369	204.53
2.2330	1.907438	204.46
2.2826	1.869627	206.82
2.3326	1.872463	204.42
2.3805	1.873251	204.27
2.4330	1.896773	198.94
2.4827	1.938969	197.05
2.5331	1.956035	198.73
2.5828	1.936935	199.20
2.6326	1.936703	199.43
2.6828	1.941898	196.37
2.7330	1.931907	199.38
2.7830	1.933852	199.37
2.8326	1.930080	198.88
2.8828	1.924559	199.43
2.9330	1.923818	193.24
2.9830	1.924092	194.15
3.0338	1.933346	194.36
3.0831	1.922883	194.39
3.1330	1.931869	194.02
3.1830	1.933925	194.44
3.2330	1.929056	193.99
3.2830	1.933713	194.38
3.3329	1.921305	194.30
3.3830	1.920371	194.45
3.4330	1.918483	189.30
3.4830	1.921254	189.55
3.5330	1.926339	189.41
3.5828	1.923352	187.24
3.6325	1.918051	189.01
3.6828	1.920322	186.79
3.7329	1.917655	188.91
3.7829	1.920624	190.95
3.8325	1.922117	189.32
3.8804	1.921195	189.08
3.9320	1.926330	189.41
3.9804	1.930013	189.35
4.0320	1.930830	180.59
4.0805	1.924176	187.10
4.1326	1.923164	180.38
4.1829	1.916054	187.11
4.2330	1.913958	178.59
4.2830	1.913710	184.29
4.3330	1.918272	184.00
4.3830	1.912629	182.09
4.4330	1.925893	184.69
4.4830	1.949415	184.42
4.5326	1.943433	184.41
4.5830	1.938705	184.00
4.6330	1.929550	184.43
4.6835	1.908959	184.42
4.7326	1.903202	184.43
4.7830	1.926977	184.98
4.8330	1.921878	176.61
4.8829	1.921567	178.16
4.9358	1.925321	179.58
4.9844	1.916835	179.35
5.0328	1.912592	181.94
5.0829	1.915267	180.79
5.1330	1.910473	175.51
5.1829	1.903995	177.56
5.2373	1.904692	179.61
5.2851	1.900851	179.46
5.3328	1.905470	179.46
5.3829	1.904911	181.33
5.4330	1.905853	174.29
5.4830	1.905620	170.24
5.5330	1.899554	172.40
5.5878	1.898110	174.38
5.6354	1.902448	174.69
5.6830	1.891099	178.85
5.7327	1.887787	176.56
5.7829	1.882259	171.03
5.8330	1.884508	172.64
5.8870	1.889951	174.15
5.9348	1.895920	174.37
5.9833	1.899657	178.10
6.0331	1.898926	176.06
6.0829	1.898115	169.75
6.1330	1.885040	165.40
6.1829	1.890669	166.59
6.2380	1.877909	169.15
6.2864	1.894966	169.03
6.3334	1.873420	167.74
6.3834	1.854657	172.48
6.4400	1.886954	164.86
6.4829	1.898523	166.47
6.5390	1.931925	163.39
6.5870	1.916739	169.53
6.6405	1.879105	168.25
6.6828	1.864553	167.93
6.7404	1.835011	163.74
6.7829	1.859702	161.09
6.8404	1.883941	158.89
6.8870	1.856512	164.35
6.9400	1.868342	164.81
6.9831	1.862749	167.93
7.0400	1.845777	163.43
7.0829	1.845238	159.73
7.1413	1.854943	164.49
7.1890	1.848265	163.22
7.2400	1.859041	164.49
7.2845	1.860467	162.14
7.3404	1.856380	164.12
7.3919	1.861002	158.13
7.4405	1.858590	162.30
7.4925	1.865617	156.60
7.5431	1.861494	157.53
7.5930	1.848517	152.26
7.6429	1.834236	160.74
7.6924	1.823949	159.07
7.7404	1.818026	159.49
7.7925	1.808707	159.45
7.8404	1.814160	159.09
7.8920	1.825445	159.05
7.9409	1.828665	157.53
7.9926	1.835211	152.26
8.0430	1.840471	159.92
8.0925	1.833041	159.05
8.1404	1.725960	154.51
8.1926	1.463622	161.75
8.2404	1.140418	165.64
8.2829	0.694392	169.28
