# LRA Stimulus Response — Time Series Data
# Source file:      pitch_decrease_strong_220to110Hz.mp3
# Generated:        2026-07-13 15:04:34
# Stimulus duration:8.000 s
# Analysis window:  0.435s to 8.241s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1498.6-1731.6 Hz (range across windows; 1594.9 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 233.0 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (318 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.02 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             157
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4346	1.921276	214.14
0.4803	1.920884	214.31
0.5319	1.930886	217.43
0.5802	1.936423	214.39
0.6318	1.931588	214.35
0.6802	1.937295	214.10
0.7319	1.931179	209.30
0.7805	1.928941	209.30
0.8318	1.934619	209.50
0.8802	1.931367	209.33
0.9317	1.941456	209.38
0.9805	1.941684	204.21
1.0318	1.946803	204.36
1.0804	1.951858	204.60
1.1317	1.953477	204.37
1.1802	1.948724	203.97
1.2317	1.951207	201.30
1.2808	1.949977	199.43
1.3348	1.949304	199.37
1.3802	1.951622	199.94
1.4317	1.943894	201.47
1.4802	1.937837	196.54
1.5317	1.933888	194.40
1.5830	1.930391	190.52
1.6317	1.932031	194.43
1.6842	1.930525	194.14
1.7316	1.922654	194.42
1.7833	1.923282	193.90
1.8317	1.919871	194.32
1.8838	1.925099	192.39
1.9317	1.934160	188.22
1.9802	1.934289	191.54
2.0330	1.930060	189.37
2.0800	1.929189	185.73
2.1317	1.928249	190.66
2.1841	1.923897	184.26
2.2316	1.931134	181.71
2.2802	1.908533	188.10
2.3347	1.880315	184.36
2.3802	1.883940	189.37
2.4317	1.876945	179.85
2.4802	1.891952	183.50
2.5343	1.915236	184.42
2.5812	1.909208	174.99
2.6317	1.916790	181.74
2.6853	1.929334	180.35
2.7317	1.924290	175.24
2.7802	1.922563	182.90
2.8365	1.908744	170.38
2.8805	1.900964	174.46
2.9365	1.899733	170.37
2.9802	1.894403	172.10
3.0365	1.884280	170.37
3.0832	1.882987	169.16
3.1365	1.893193	165.21
3.1865	1.886915	172.14
3.2368	1.898096	165.07
3.2801	1.869152	168.03
3.3370	1.834975	167.15
3.3882	1.820636	169.52
3.4370	1.831446	168.96
3.4801	1.858725	171.28
3.5371	1.878893	164.50
3.5851	1.883222	157.35
3.6370	1.858882	161.97
3.6891	1.864433	160.18
3.7402	1.861673	161.89
3.7904	1.868547	163.64
3.8402	1.870811	161.32
3.8902	1.863170	158.55
3.9410	1.868466	156.84
3.9901	1.859528	159.50
4.0404	1.857633	159.34
4.0902	1.842611	159.52
4.1402	1.828961	159.67
4.1901	1.814550	153.58
4.2402	1.813102	154.52
4.2914	1.804387	154.43
4.3402	1.804660	154.35
4.3902	1.809794	154.64
4.4404	1.803089	154.51
4.4902	1.812924	153.61
4.5402	1.815656	154.78
4.5914	1.806511	149.60
4.6401	1.805433	149.43
4.6901	1.809886	149.76
4.7403	1.783384	149.45
4.7900	1.783589	149.48
4.8402	1.772685	147.25
4.8902	1.750167	149.32
4.9401	1.764184	142.08
4.9903	1.749590	139.81
5.0405	1.752735	143.07
5.0901	1.772686	151.56
5.1391	1.782949	145.95
5.1801	1.786440	139.07
5.2370	1.788342	146.08
5.2880	1.767355	143.59
5.3369	1.751269	139.57
5.3814	1.738946	145.30
5.4370	1.740740	139.56
5.4801	1.735777	140.44
5.5370	1.751766	137.32
5.5801	1.755950	132.84
5.6403	1.735854	136.68
5.6902	1.746207	131.95
5.7412	1.735541	139.66
5.7917	1.731040	138.62
5.8401	1.735428	135.25
5.8915	1.726619	133.64
5.9402	1.723944	132.45
5.9916	1.737681	133.23
6.0433	1.738679	131.74
6.0936	1.746151	132.81
6.1445	1.744731	135.08
6.1942	1.713426	135.68
6.2416	1.713109	132.51
6.2914	1.702732	127.88
6.3400	1.711020	125.98
6.3969	1.698075	126.23
6.4473	1.690133	124.76
6.4967	1.684561	129.19
6.5477	1.667428	131.81
6.5970	1.663447	129.43
6.6434	1.651589	124.47
6.6970	1.642278	124.66
6.7474	1.662332	126.59
6.7969	1.654053	124.64
6.8402	1.650908	123.05
6.8969	1.648706	122.64
6.9499	1.620360	118.82
7.0001	1.600466	122.73
7.0500	1.599489	122.89
7.1000	1.590636	122.63
7.1502	1.572223	114.91
7.2004	1.571424	118.66
7.2500	1.543144	118.85
7.3001	1.517970	119.39
7.3515	1.503012	118.75
7.4008	1.493943	119.63
7.4514	1.492286	119.61
7.5001	1.488907	117.27
7.5515	1.492322	119.61
7.6048	1.471321	119.68
7.6515	1.452961	114.66
7.7000	1.442976	114.75
7.7515	1.437887	113.15
7.8001	1.428531	113.98
7.8541	1.438504	224.27
7.9012	1.422820	224.10
7.9515	1.430923	114.36
8.0002	1.462963	224.04
8.0433	1.469101	224.12
8.0969	1.466296	226.13
8.1472	1.294711	216.48
8.1942	1.074278	234.15
8.2413	0.763381	230.60
