# LRA Stimulus Response — Time Series Data
# Source file:      pitch_increase_mild_220to311Hz.mp3
# Generated:        2026-07-13 15:46:56
# Stimulus duration:8.000 s
# Analysis window:  0.439s to 8.243s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1539.1-1700.3 Hz (range across windows; 1603.5 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 161.2 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (320 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             156
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4395	1.898868	224.28
0.4907	1.904683	221.08
0.5396	1.921048	224.40
0.5935	1.919360	224.98
0.6438	1.921229	224.85
0.6951	1.908984	222.40
0.7435	1.901652	224.66
0.7952	1.896535	229.02
0.8435	1.894816	229.29
0.8953	1.895449	229.21
0.9435	1.892814	229.30
0.9953	1.897726	229.33
1.0435	1.892020	227.24
1.0952	1.887004	228.60
1.1453	1.882524	229.30
1.1996	1.872971	224.46
1.2496	1.869361	224.57
1.2995	1.868203	234.39
1.3505	1.865856	234.30
1.3995	1.873891	234.26
1.4496	1.879336	234.77
1.4995	1.878042	234.27
1.5501	1.887361	234.27
1.6025	1.876952	230.80
1.6496	1.877213	234.82
1.7025	1.880266	234.42
1.7544	1.870647	228.55
1.8023	1.871749	239.14
1.8551	1.862368	238.58
1.9026	1.856911	235.78
1.9550	1.868091	239.14
2.0053	1.868263	239.66
2.0552	1.875713	239.29
2.1023	1.874439	239.80
2.1549	1.869194	239.56
2.2048	1.880528	235.11
2.2581	1.874699	244.23
2.3058	1.877273	238.50
2.3549	1.872537	242.47
2.4096	1.854093	239.84
2.4596	1.867345	238.38
2.5105	1.860011	243.12
2.5598	1.868542	244.16
2.6106	1.883192	244.13
2.6615	1.865782	244.48
2.7106	1.875503	243.58
2.7596	1.864054	247.98
2.8111	1.875150	249.24
2.8625	1.878016	245.73
2.9106	1.858365	249.90
2.9625	1.893920	248.54
3.0105	1.827193	249.37
3.0645	1.864368	249.22
3.1149	1.916883	243.91
3.1625	1.916636	251.36
3.2149	1.990201	254.15
3.2668	1.991066	254.34
3.3149	1.991066	254.21
3.3624	1.958340	250.65
3.4196	1.917455	248.62
3.4707	1.886868	245.29
3.5194	1.860569	254.20
3.5696	1.850170	255.50
3.6196	1.854498	254.08
3.6696	1.847355	253.60
3.7195	1.843721	251.39
3.7701	1.847447	259.19
3.8223	1.845958	255.39
3.8696	1.861049	259.86
3.9225	1.839438	257.75
3.9696	1.839999	259.27
4.0234	1.855098	259.24
4.0744	1.843510	252.48
4.1225	1.849412	265.37
4.1749	1.857914	263.44
4.2225	1.855458	264.29
4.2749	1.856502	264.19
4.3224	1.866221	264.25
4.3749	1.844043	264.20
4.4225	1.837767	263.80
4.4783	1.834328	269.01
4.5264	1.828362	269.42
4.5796	1.830962	268.71
4.6296	1.824055	259.96
4.6795	1.819147	268.88
4.7297	1.818805	269.15
4.7798	1.834893	269.16
4.8296	1.835075	269.18
4.8795	1.833210	269.54
4.9297	1.833022	268.46
4.9825	1.819607	265.22
5.0301	1.820764	274.13
5.0825	1.823088	274.21
5.1297	1.822119	274.85
5.1825	1.825558	274.45
5.2296	1.828264	274.47
5.2823	1.830945	274.14
5.3349	1.832953	267.12
5.3825	1.832466	269.28
5.4349	1.828790	273.66
5.4859	1.804401	278.87
5.5352	1.807045	278.84
5.5827	1.801465	283.90
5.6351	1.807478	279.58
5.6825	1.824122	273.25
5.7349	1.811860	279.41
5.7873	1.821886	278.86
5.8349	1.823645	282.67
5.8827	1.825560	290.95
5.9359	1.822195	279.09
5.9825	1.819577	279.81
6.0385	1.821350	285.49
6.0858	1.806213	283.93
6.1395	1.823711	282.67
6.1896	1.827604	278.70
6.2395	1.814976	286.17
6.2907	1.838628	289.67
6.3396	1.818371	291.06
6.3900	1.810195	285.54
6.4395	1.805386	289.19
6.4897	1.784564	289.63
6.5395	1.775462	289.07
6.5902	1.764268	289.10
6.6395	1.773087	289.11
6.6897	1.792839	294.91
6.7395	1.808290	294.11
6.7896	1.824765	292.64
6.8395	1.810518	293.54
6.8906	1.791917	293.02
6.9424	1.788375	293.93
6.9918	1.777035	295.79
7.0425	1.778660	300.45
7.0895	1.776745	296.84
7.1431	1.764006	294.06
7.1900	1.754685	294.08
7.2425	1.752994	299.99
7.2895	1.754377	299.73
7.3431	1.772569	297.98
7.3895	1.774674	296.81
7.4432	1.782694	304.03
7.4949	1.780685	296.16
7.5431	1.767048	305.17
7.5949	1.774135	303.29
7.6425	1.760489	302.64
7.6954	1.760467	304.04
7.7455	1.752106	304.06
7.7949	1.747085	304.82
7.8425	1.754295	307.86
7.8949	1.749587	304.01
7.9430	1.763345	304.03
7.9953	1.768968	312.50
8.0425	1.771719	304.06
8.0948	1.773820	317.84
8.1430	1.597274	313.31
8.1948	1.325378	329.43
8.2425	0.986145	322.23
