# LRA Stimulus Response — Time Series Data
# Source file:      pitch_increase_strong_220to440Hz.mp3
# Generated:        2026-07-13 15:04:56
# Stimulus duration:8.000 s
# Analysis window:  0.431s to 8.261s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1517.3-1711.1 Hz (range across windows; 1608.3 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 193.9 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (321 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             157
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4310	1.893879	232.99
0.4890	1.895437	233.27
0.5310	1.895172	218.70
0.5855	1.900376	227.04
0.6407	1.894739	217.43
0.6909	1.895076	222.18
0.7419	1.881641	232.83
0.7919	1.870395	233.19
0.8419	1.877802	234.15
0.8919	1.868767	234.18
0.9420	1.868775	231.55
0.9920	1.859767	238.90
1.0442	1.860726	235.61
1.0922	1.859475	235.48
1.1451	1.867346	238.13
1.1952	1.870203	239.08
1.2452	1.858902	238.67
1.2923	1.857234	249.41
1.3456	1.866172	243.68
1.3910	1.840842	239.13
1.4456	1.835352	243.64
1.4966	1.844037	248.87
1.5460	1.833694	249.13
1.5913	1.841409	247.75
1.6457	1.773638	249.67
1.6978	1.705277	249.66
1.7457	1.610539	249.27
1.7910	1.664257	250.10
1.8457	1.731861	259.47
1.8971	1.785175	248.07
1.9455	1.871536	254.22
1.9959	1.831234	258.15
2.0457	1.838407	259.19
2.0979	1.836069	256.05
2.1455	1.834080	259.40
2.1984	1.836665	265.98
2.2455	1.824174	263.85
2.2965	1.830473	261.00
2.3457	1.823112	264.43
2.4008	1.820015	259.74
2.4491	1.834174	262.35
2.4999	1.820931	269.03
2.5509	1.809885	271.70
2.6009	1.812385	272.79
2.6509	1.804821	274.14
2.7009	1.805858	274.02
2.7509	1.814603	274.10
2.8010	1.811785	273.40
2.8509	1.817160	279.16
2.9015	1.819018	279.14
2.9509	1.823085	279.20
3.0010	1.821144	279.40
3.0509	1.806863	280.01
3.1048	1.818882	284.09
3.1538	1.800090	284.10
3.2010	1.791335	288.29
3.2509	1.791144	290.35
3.3054	1.776823	282.65
3.3530	1.791717	288.88
3.4056	1.793742	294.08
3.4510	1.800959	297.26
3.5054	1.793438	294.12
3.5508	1.773240	291.09
3.6055	1.783669	298.82
3.6531	1.771386	288.26
3.7056	1.774748	299.25
3.7583	1.783865	299.77
3.8054	1.778852	304.03
3.8526	1.777826	315.89
3.9056	1.774006	304.06
3.9508	1.772418	297.30
4.0054	1.764514	304.13
4.0572	1.767413	307.48
4.1055	1.770360	304.04
4.1518	1.759152	313.95
4.2054	1.758576	307.98
4.2508	1.772047	311.86
4.3062	1.781066	314.00
4.3532	1.789308	319.02
4.4054	1.782430	320.20
4.4508	1.770277	310.35
4.5055	1.764008	316.67
4.5588	1.759262	313.64
4.6069	1.758952	318.35
4.6543	1.765289	324.00
4.7090	1.768771	322.72
4.7588	1.774475	323.08
4.8077	1.775707	334.65
4.8548	1.788640	327.19
4.9056	1.778547	337.63
4.9599	1.746449	340.89
5.0055	1.725206	339.70
5.0507	1.685639	330.71
5.1081	1.680723	331.04
5.1558	1.733965	331.73
5.2073	1.748180	340.58
5.2581	1.772750	345.63
5.3071	1.776500	347.13
5.3548	1.775312	356.93
5.4054	1.772186	347.09
5.4508	1.766497	350.90
5.5053	1.769308	339.41
5.5508	1.755640	344.51
5.6081	1.755046	343.91
5.6534	1.759841	342.11
5.7082	1.756972	353.75
5.7577	1.748977	347.87
5.8082	1.743727	363.59
5.8568	1.748882	369.02
5.9056	1.739886	363.78
5.9522	1.748601	373.58
6.0055	1.751824	364.50
6.0516	1.740552	357.10
6.1053	1.744904	363.10
6.1588	1.747619	353.94
6.2086	1.753722	360.68
6.2601	1.752955	367.14
6.3098	1.756128	377.28
6.3597	1.736113	385.19
6.4068	1.732828	382.24
6.4542	1.731616	407.14
6.5054	1.725377	381.58
6.5507	1.722241	370.41
6.6054	1.720933	374.84
6.6587	1.730872	370.97
6.7075	1.734682	383.65
6.7576	1.752090	385.21
6.8054	1.757615	394.82
6.8580	1.755453	400.69
6.9070	1.754421	394.01
6.9542	1.757631	413.65
7.0053	1.757070	402.36
7.0508	1.746274	391.98
7.1052	1.735718	396.13
7.1602	1.712866	386.34
7.2092	1.702009	400.17
7.2598	1.693440	402.77
7.3070	1.694346	405.60
7.3607	1.708150	406.82
7.4107	1.705739	401.43
7.4607	1.703153	413.77
7.5106	1.702895	413.82
7.5606	1.699190	418.69
7.6106	1.685725	418.42
7.6607	1.688746	418.32
7.7108	1.684943	423.70
7.7608	1.670327	423.73
7.8106	1.670444	423.92
7.8607	1.659820	428.65
7.9130	1.640527	428.69
7.9608	1.636810	438.64
8.0106	1.628130	435.14
8.0607	1.608262	428.94
8.1146	1.545700	434.63
8.1653	1.320752	443.49
8.2148	1.043233	452.68
8.2607	0.676290	474.43
