# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: shepard_falling_1.0.mp3
# Generated:   2026-07-13 15:05:07
# Accel sample rate: 1522.0-1737.3 Hz per-window range (1632.9 Hz overall)
# Freq resolution:   5.01 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        158
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4352	215.4	233.64611	47.4	430.8	90.96179	39.2	210.4	47.49366	33.5	220.4	40.96134	32.2	435.8	37.61014	31.5
0.4839	220.4	142.16866	43.1	225.4	142.04427	43.0	445.8	103.36116	40.3	450.8	31.22622	29.9	230.4	27.53376	28.8
0.5318	215.4	162.41835	44.2	210.4	130.49418	42.3	425.8	84.55156	38.5	430.8	45.97123	33.2	220.4	36.70684	31.3
0.5733	220.4	225.29299	47.1	215.4	93.95026	39.5	440.8	77.26095	37.8	225.4	66.54421	36.5	445.8	54.88494	34.8
0.6306	215.4	209.42548	46.4	220.4	112.93970	41.1	435.8	74.20127	37.4	430.8	62.50355	35.9	210.4	42.64997	32.6
0.6735	210.4	163.55280	44.3	205.4	145.92444	43.3	415.7	89.42858	39.0	215.4	54.12688	34.7	420.7	48.84634	33.8
0.7250	215.4	221.86860	46.9	210.4	112.16808	41.0	430.8	66.96934	36.5	220.4	60.41204	35.6	425.8	59.56832	35.5
0.7747	210.4	247.25979	47.9	205.4	83.68785	38.5	420.7	64.44529	36.2	215.4	58.14429	35.3	200.4	43.58988	32.8
0.8255	210.4	214.63172	46.6	205.4	124.67096	41.9	415.7	49.09040	33.8	420.7	47.69679	33.6	200.4	42.34800	32.5
0.8733	205.4	264.44047	48.4	200.4	111.09114	40.9	210.4	76.72512	37.7	410.7	45.62544	33.2	405.7	39.02054	31.8
0.9255	205.4	201.38061	46.1	200.4	144.33003	43.2	210.4	118.94963	41.5	195.3	65.95085	36.4	410.7	51.67265	34.3
0.9785	205.4	247.72922	47.9	200.4	127.67801	42.1	210.4	75.89453	37.6	405.7	50.24393	34.0	410.7	47.22924	33.5
1.0265	205.4	241.06469	47.6	200.4	135.35824	42.6	210.4	72.55001	37.2	405.7	56.87172	35.1	220.4	43.70265	32.8
1.0732	205.4	196.40311	45.9	210.4	156.42226	43.9	200.4	117.62545	41.4	215.4	77.19853	37.8	410.7	73.19936	37.3
1.1254	205.4	188.79979	45.5	200.4	170.32812	44.6	210.4	71.72381	37.1	195.3	60.43581	35.6	410.7	58.55722	35.4
1.1741	200.4	253.38389	48.1	205.4	107.62971	40.6	195.3	98.42798	39.9	405.7	49.64261	33.9	215.4	43.45211	32.8
1.2232	200.4	244.70850	47.8	205.4	152.25154	43.7	195.3	68.95003	36.8	405.7	57.03117	35.1	410.7	42.22066	32.5
1.2729	205.4	198.82300	46.0	200.4	166.99294	44.5	210.4	114.43928	41.2	195.3	66.82850	36.5	215.4	43.08982	32.7
1.3237	200.4	237.68970	47.5	205.4	151.19020	43.6	195.3	108.34800	40.7	210.4	80.76732	38.1	400.7	57.18616	35.1
1.3704	200.4	195.74183	45.8	195.3	135.58977	42.6	205.4	106.70846	40.6	210.4	80.65853	38.1	190.3	66.87065	36.5
1.4217	205.4	157.59896	44.0	210.4	157.18355	43.9	200.4	81.86382	38.3	215.4	78.90909	37.9	195.3	66.70450	36.5
1.4717	200.4	216.11989	46.7	195.3	118.34969	41.5	205.4	76.37735	37.7	215.4	54.64446	34.8	400.7	52.13028	34.3
1.5150	195.3	170.31369	44.6	200.4	153.65308	43.7	190.3	87.32161	38.8	390.7	74.31283	37.4	215.4	65.51560	36.3
1.5705	195.3	173.33354	44.8	200.4	141.33406	43.0	190.3	98.66521	39.9	390.7	77.67412	37.8	215.4	62.13387	35.9
1.6228	190.3	189.91307	45.6	185.3	131.30316	42.4	195.3	93.53729	39.4	380.7	66.85900	36.5	180.3	56.87002	35.1
1.6729	195.3	171.64554	44.7	190.3	154.27157	43.8	200.4	92.53919	39.3	390.7	61.61361	35.8	185.3	50.48228	34.1
1.7229	190.3	184.50785	45.3	185.3	123.73786	41.9	195.3	87.68117	38.9	380.7	60.42992	35.6	200.4	47.53778	33.5
1.7729	190.3	167.39310	44.5	195.3	162.45925	44.2	200.4	67.17832	36.5	390.7	52.51948	34.4	185.3	51.58366	34.3
1.8238	185.3	198.90011	46.0	180.3	108.91005	40.7	190.3	64.39527	36.2	370.7	47.69718	33.6	175.3	40.44274	32.1
1.8729	190.3	261.91468	48.4	380.7	67.40577	36.6	195.3	42.26850	32.5	240.4	35.10584	30.9	185.3	25.03696	28.0
1.9268	195.3	139.82241	42.9	190.3	136.42468	42.7	385.7	80.82187	38.2	55.1	32.98064	30.4	245.4	29.97024	29.5
1.9771	195.3	222.43654	46.9	190.3	62.65647	35.9	390.7	58.33227	35.3	55.1	37.18004	31.4	385.7	33.17666	30.4
2.0253	190.3	231.89807	47.3	185.3	88.04067	38.9	195.3	61.30257	35.7	380.7	50.78111	34.1	375.7	45.44265	33.1
2.0729	185.3	168.97243	44.6	190.3	158.20311	44.0	180.3	74.21493	37.4	195.3	68.76623	36.7	370.7	60.11215	35.6
2.1304	180.3	160.47742	44.1	185.3	156.47849	43.9	190.3	69.40216	36.8	370.7	54.95411	34.8	365.6	51.89521	34.3
2.1828	180.3	188.63498	45.5	175.3	107.93608	40.7	185.3	94.04013	39.5	360.6	68.23072	36.7	190.3	44.00438	32.9
2.2336	185.3	178.27416	45.0	190.3	142.65537	43.1	375.7	61.74214	35.8	380.7	54.52464	34.7	195.3	53.88789	34.6
2.2849	185.3	255.13419	48.1	370.7	83.21666	38.4	190.3	63.34151	36.0	375.7	48.82011	33.8	180.3	47.70915	33.6
2.3330	185.3	208.79429	46.4	190.3	109.94897	40.8	375.7	74.28215	37.4	370.7	61.39589	35.8	180.3	39.45190	31.9
2.3849	180.3	183.22571	45.3	185.3	127.28784	42.1	365.6	76.68548	37.7	360.6	60.80049	35.7	175.3	44.41054	32.9
2.4359	185.3	179.56213	45.1	180.3	146.15062	43.3	175.3	91.67884	39.2	365.6	75.65398	37.6	190.3	61.06187	35.7
2.4907	180.3	155.41405	43.8	175.3	141.29406	43.0	185.3	112.23103	41.0	360.6	76.89212	37.7	190.3	56.65324	35.1
2.5382	175.3	206.74530	46.3	180.3	114.51310	41.2	355.6	62.09700	35.9	170.3	57.73870	35.2	185.3	47.78154	33.6
2.5930	180.3	182.65428	45.2	175.3	130.93156	42.3	185.3	64.09560	36.1	355.6	58.10229	35.3	360.6	53.16035	34.5
2.6453	175.3	153.93385	43.7	180.3	128.01993	42.1	355.6	88.20624	38.9	365.6	43.54443	32.8	185.3	39.68379	32.0
2.6968	185.3	232.35758	47.3	370.7	75.51435	37.6	180.3	52.76084	34.4	365.6	48.61460	33.7	170.3	31.61041	30.0
2.7459	175.3	165.23787	44.4	180.3	146.00206	43.3	350.6	70.44523	37.0	355.6	67.69786	36.6	170.3	63.61239	36.1
2.7928	175.3	180.92737	45.2	170.3	142.49845	43.1	345.6	92.67447	39.3	180.3	80.63869	38.1	185.3	41.23142	32.3
2.8504	170.3	168.56472	44.5	175.3	149.99650	43.5	345.6	72.12446	37.2	180.3	63.60826	36.1	350.6	61.19459	35.7
2.9028	170.3	169.55250	44.6	165.3	124.09268	41.9	340.6	91.77793	39.3	175.3	73.32854	37.3	335.6	59.12760	35.4
2.9550	175.3	219.76735	46.8	180.3	97.16164	39.7	355.6	79.17213	38.0	350.6	76.85708	37.7	170.3	46.99485	33.4
