# LRA Stimulus Response — Time Series Data
# Source file:      shepard_falling_1.0.mp3
# Generated:        2026-07-13 15:05:07
# Stimulus duration:8.000 s
# Analysis window:  0.435s to 8.270s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1522.0-1737.3 Hz (range across windows; 1632.9 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 215.3 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (326 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             158
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4352	1.311728	215.23
0.4839	1.334430	222.86
0.5318	1.348586	213.19
0.5733	1.374847	219.67
0.6306	1.400826	216.65
0.6735	1.431526	207.87
0.7250	1.451732	214.11
0.7747	1.478841	209.65
0.8255	1.510400	208.83
0.8733	1.515110	205.43
0.9255	1.553919	203.41
0.9785	1.555339	204.38
1.0265	1.535744	204.54
1.0732	1.554870	208.28
1.1254	1.494060	202.72
1.1741	1.525112	199.75
1.2232	1.568849	201.11
1.2729	1.517023	203.13
1.3237	1.561604	200.54
1.3704	1.516362	198.54
1.4217	1.469287	207.92
1.4717	1.470166	199.33
1.5150	1.474322	198.27
1.5705	1.465432	198.24
1.6228	1.471306	191.82
1.6729	1.470898	192.03
1.7229	1.465358	188.33
1.7729	1.470309	192.43
1.8238	1.449040	183.74
1.8729	1.443264	190.47
1.9268	1.426621	192.94
1.9771	1.416299	194.46
2.0253	1.432293	190.00
2.0729	1.441581	188.97
2.1304	1.453072	181.92
2.1828	1.452165	178.69
2.2336	1.453589	186.99
2.2849	1.463122	185.65
2.3330	1.474960	186.75
2.3849	1.468165	182.31
2.4359	1.474280	184.63
2.4907	1.466790	177.25
2.5382	1.455425	176.19
2.5930	1.449882	178.47
2.6453	1.448564	177.58
2.6968	1.442226	184.61
2.7459	1.441236	177.67
2.7928	1.433273	175.69
2.8504	1.439425	171.61
2.9028	1.428695	168.07
2.9550	1.430407	175.86
3.0063	1.426941	172.89
3.0545	1.422671	172.55
3.1104	1.414008	172.62
3.1621	1.402072	170.32
3.2132	1.434606	169.34
3.2652	1.414989	167.62
3.3159	1.386481	170.27
3.3703	1.408928	164.98
3.4182	1.375118	166.80
3.4742	1.400943	167.34
3.5251	1.418338	163.67
3.5737	1.393301	170.45
3.6253	1.379360	168.47
3.6726	1.368643	335.43
3.7253	1.366424	160.45
3.7728	1.377666	160.90
3.8303	1.366099	158.49
3.8771	1.344126	156.01
3.9328	1.335688	162.35
3.9837	1.322709	157.65
4.0330	1.303957	157.50
4.0858	1.297027	157.38
4.1329	1.275029	157.95
4.1864	1.236949	158.40
4.2349	1.217226	159.53
4.2851	1.194871	155.33
4.3328	1.180094	156.05
4.3848	1.166396	153.02
4.4330	1.153907	154.40
4.4871	1.125187	152.75
4.5330	1.124280	304.18
4.5872	1.107177	149.83
4.6329	1.101685	148.20
4.6857	1.094483	150.56
4.7348	1.081024	149.60
4.7848	1.068409	146.74
4.8328	1.069322	146.08
4.8827	1.060434	152.96
4.9327	1.063605	146.42
4.9738	1.065691	299.09
5.0303	1.069437	146.16
5.0727	1.053005	145.25
5.1305	1.055321	285.65
5.1729	1.051608	139.48
5.2252	1.044863	287.40
5.2729	1.060225	279.16
5.3248	1.069634	282.71
5.3728	1.076530	279.38
5.4227	1.075602	286.36
5.4727	1.075415	278.46
5.5163	1.082034	276.51
5.5697	1.092652	274.46
5.6173	1.097076	273.94
5.6668	1.100258	272.49
5.7128	1.083526	273.87
5.7627	1.097140	282.44
5.8103	1.105241	269.49
5.8529	1.105440	272.90
5.9051	1.142842	271.07
5.9527	1.138928	258.08
6.0052	1.148922	261.99
6.0538	1.168075	261.27
6.1030	1.170035	263.27
6.1511	1.192555	264.60
6.2006	1.201397	266.13
6.2497	1.188391	262.48
6.2931	1.210460	259.29
6.3448	1.199622	256.15
6.3957	1.225674	253.55
6.4436	1.253774	256.89
6.4936	1.253078	256.09
6.5427	1.269834	262.33
6.5903	1.259614	253.64
6.6336	1.227981	257.85
6.6901	1.237403	255.94
6.7360	1.266326	247.11
6.7851	1.287692	249.34
6.8353	1.327429	252.18
6.8847	1.351547	241.72
6.9327	1.348994	247.38
6.9847	1.351382	244.33
7.0328	1.363850	244.26
7.0826	1.364318	245.43
7.1327	1.360466	238.78
7.1826	1.373443	239.27
7.2332	1.377849	239.24
7.2826	1.388975	239.33
7.3327	1.398876	239.28
7.3826	1.418113	229.20
7.4326	1.408756	234.34
7.4826	1.423249	246.51
7.5302	1.433908	235.97
7.5727	1.424786	239.40
7.6302	1.448894	229.27
7.6727	1.450947	221.58
7.7302	1.454192	235.50
7.7796	1.459699	229.18
7.8249	1.464079	234.64
7.8728	1.459588	224.38
7.9251	1.464133	224.10
7.9786	1.459128	224.49
8.0251	1.439445	224.22
8.0726	1.458197	229.91
8.1251	1.427929	219.35
8.1727	1.278385	222.01
8.2251	1.075039	226.88
8.2702	0.764155	223.22
