# LRA Top-5 Frequency Peaks — Condensed Summary
# Source file: shepard_rising_1.0.mp3
# Generated:   2026-07-13 15:47:28
# Accel sample rate: 1537.7-1740.3 Hz per-window range (1634.4 Hz overall)
# Freq resolution:   5.01 Hz per bin (peaks below are quantized to this common grid;
#                    each window measured at its own real rate, then
#                    resampled here for cross-window comparability)
# Rows:        159
#
# For each time window, the top 5 frequency peaks by magnitude,
# sorted strongest first. Each peak is reported in BOTH units:
#   peakN_g  = linear amplitude in g (true physical intensity)
#   peakN_db = 20*log10(g) (compressed range — easier to compare
#              strong vs weak components, e.g. Shepard octave partners)
#
# NOTE: adjacent bins around one physical tone can both appear as
# separate 'peaks' — treat peaks within 1-2 bins of each other as
# the same component.
#
time_s	peak1_hz	peak1_g	peak1_db	peak2_hz	peak2_g	peak2_db	peak3_hz	peak3_g	peak3_db	peak4_hz	peak4_g	peak4_db	peak5_hz	peak5_g	peak5_db
0.4347	225.6	141.39691	43.0	220.6	136.72298	42.7	230.6	126.81673	42.1	235.6	90.68390	39.2	215.6	85.91024	38.7
0.4802	225.6	148.33163	43.4	215.6	141.32303	43.0	220.6	137.36266	42.8	210.6	92.27073	39.3	230.6	72.22205	37.2
0.5320	225.6	168.34930	44.5	220.6	157.20356	43.9	215.6	56.47235	35.0	230.6	53.35732	34.5	436.2	43.64929	32.8
0.5812	225.6	176.28053	44.9	220.6	140.31552	42.9	230.6	79.75432	38.0	451.2	51.09759	34.2	235.6	45.38880	33.1
0.6312	225.6	195.90712	45.8	230.6	147.57381	43.4	220.6	81.60810	38.2	215.6	59.09007	35.4	456.2	55.07657	34.8
0.6812	225.6	174.43439	44.8	230.6	170.66909	44.6	220.6	74.57126	37.5	456.2	63.97849	36.1	235.6	43.01750	32.7
0.7312	230.6	208.63961	46.4	225.6	134.28243	42.6	235.6	85.40229	38.6	456.2	55.82353	34.9	240.7	41.94269	32.5
0.7803	230.6	236.44363	47.5	225.6	93.93543	39.5	235.6	83.54342	38.4	461.2	47.21158	33.5	310.8	38.67372	31.7
0.8302	235.6	163.56428	44.3	230.6	140.87934	43.0	240.7	100.08016	40.0	225.6	68.33599	36.7	245.7	47.25391	33.5
0.8802	225.6	163.04739	44.2	230.6	145.15897	43.2	220.6	50.92684	34.1	456.2	44.01070	32.9	235.6	41.15468	32.3
0.9272	230.6	256.39253	48.2	461.2	57.64208	35.2	235.6	39.64919	32.0	300.8	28.46015	29.1	295.8	27.54163	28.8
