# LRA Stimulus Response — Time Series Data
# Source file:      shepard_rising_1.0.mp3
# Generated:        2026-07-13 15:47:28
# Stimulus duration:8.000 s
# Analysis window:  0.435s to 8.307s (clipped 0.4s at start, 0.8s+ at end,
#                    plus automatic trim of any trailing cutoff-ring artifact)
# Accel sample rate: 1537.7-1740.3 Hz (range across windows; 1634.4 Hz overall for this recording)
#                    peak_freq_hz below uses EACH WINDOW'S OWN rate (spread: 202.6 Hz) for maximum accuracy per instant
# FFT window size:  200 ms (326 samples)
# FFT step size:    50 ms
# FFT freq resolution: ~5.01 Hz per bin (at overall rate)
# LRA resonance:    210 Hz (free-air, characterized separately)
# Rows:             159
#
# To recreate plot in Python:
#   import numpy as np, matplotlib.pyplot as plt
#   data = np.loadtxt('filename.txt', delimiter='	', comments='#')
#   t, rms, freq = data[:,0], data[:,1], data[:,2]
#   fig, (ax1, ax2) = plt.subplots(2,1, sharex=True)
#   ax1.plot(t, rms);  ax1.set_ylabel('RMS Acceleration (g)')
#   ax2.plot(t, freq); ax2.set_ylabel('Dominant Frequency (Hz)')
#   plt.show()
#
# Columns:
# time_s	rms_g	peak_freq_hz
0.4347	1.441995	222.25
0.4802	1.455644	224.34
0.5320	1.456136	223.11
0.5812	1.445815	223.26
0.6312	1.440591	225.28
0.6812	1.427605	230.39
0.7312	1.420502	230.35
0.7803	1.414585	230.41
0.8302	1.402196	232.87
0.8802	1.409421	227.91
0.9272	1.403454	230.91
0.9802	1.389162	234.28
1.0302	1.378672	234.25
1.0747	1.369897	234.27
1.1272	1.367781	239.29
1.1747	1.367931	239.29
1.2271	1.366056	239.11
1.2746	1.347116	239.26
1.3273	1.346850	244.45
1.3747	1.327849	244.23
1.4269	1.312001	245.17
1.4746	1.307594	242.51
1.5266	1.295619	245.00
1.5761	1.271778	244.03
1.6263	1.300252	265.21
1.6748	1.305207	259.10
1.7221	1.315398	246.12
1.7747	1.328702	253.18
1.8268	1.289560	256.58
1.8746	1.276014	254.85
1.9202	1.257761	257.69
1.9702	1.242897	254.82
2.0203	1.232667	250.48
2.0702	1.238345	258.36
2.1192	1.228257	261.25
2.1670	1.226727	266.49
2.2149	1.236764	260.02
2.2610	1.224317	263.11
2.3146	1.217151	264.02
2.3603	1.201825	267.67
2.4112	1.184543	264.57
2.4547	1.189307	266.71
2.5071	1.185978	272.79
2.5546	1.174570	265.08
2.6003	1.163129	268.31
2.6503	1.153056	269.68
2.7003	1.144025	271.77
2.7469	1.147037	278.18
2.7947	1.154237	270.15
2.8402	1.142549	276.20
2.8903	1.142348	275.59
2.9418	1.132023	272.45
2.9900	1.128370	278.88
3.0378	1.141753	282.03
3.0869	1.138906	279.61
3.1347	1.133224	290.07
3.1858	1.121869	144.33
3.2303	1.116801	290.53
3.2803	1.098028	146.62
3.3303	1.099745	284.10
3.3747	1.115066	143.63
3.4268	1.113310	304.33
3.4746	1.117281	144.57
3.5203	1.118103	141.58
3.5747	1.137992	146.99
3.6243	1.143639	293.88
3.6713	1.151521	149.48
3.7204	1.162133	149.52
3.7703	1.158970	150.32
3.8203	1.167459	149.62
3.8703	1.199711	148.79
3.9203	1.199812	149.62
3.9713	1.212457	154.52
4.0202	1.229444	154.52
4.0703	1.235316	151.95
4.1203	1.259235	306.27
4.1747	1.276435	156.00
4.2253	1.285124	154.65
4.2748	1.300420	159.56
4.3266	1.316703	157.68
4.3746	1.335422	157.61
4.4276	1.351486	156.60
4.4772	1.378393	159.99
4.5303	1.390658	161.87
4.5803	1.403749	160.75
4.6303	1.408618	161.99
4.6818	1.416492	164.50
4.7303	1.417328	161.00
4.7803	1.424962	164.71
4.8347	1.451316	165.43
4.8876	1.452068	161.48
4.9352	1.464949	164.90
4.9902	1.524110	164.76
5.0402	1.555919	165.09
5.0933	1.545730	168.03
5.1465	1.562558	168.67
5.1947	1.510553	168.18
5.2471	1.463309	166.61
5.3008	1.477437	169.34
5.3503	1.458876	171.75
5.4008	1.471589	171.62
5.4560	1.482944	175.58
5.5077	1.481059	171.36
5.5547	1.482892	174.40
5.6102	1.484861	179.37
5.6603	1.480642	178.97
5.7124	1.469936	180.23
5.7608	1.482400	176.89
5.8149	1.486324	177.36
5.8688	1.482983	176.09
5.9204	1.485956	179.50
5.9702	1.493330	183.56
6.0204	1.486539	183.21
6.0752	1.490267	185.35
6.1271	1.494957	180.40
6.1746	1.492014	184.21
6.2304	1.480110	186.49
6.2809	1.482462	184.16
6.3303	1.479043	190.36
6.3803	1.489204	188.53
6.4346	1.487200	190.23
6.4871	1.474263	186.38
6.5347	1.480118	188.98
6.5890	1.458006	191.30
6.6403	1.472110	188.54
6.6903	1.502578	192.85
6.7409	1.492046	192.03
6.7906	1.504597	194.41
