,6060,6080,6090,60100,risset
E1,0.0,0.15,0.83,1.0,0.53
E2,0.0,0.39,0.46,0.86,0.27
E3,0.0,0.29,0.36,0.63,0.14
R1,0.0,0.59,0.26,0.79,1.0
R2,0.13,0.28,0.54,0.38,0.82
R3,0.13,0.25,0.39,0.26,0.57
C1,0.0,0.0,0.5,0.75,1.0
C2,0.0,0.0,0.25,1.0,0.75
C3,0.0,0.25,0.4,0.52,0.78
L1,0.0,0.26,0.34,0.75,0.72
L2,0.4,0.53,0.67,0.73,1.0
L3,0.31,0.46,0.57,0.52,0.8
N1,0.0,0.43,0.51,1.0,0.28
N2,0.0,0.25,0.43,0.91,0.79
N3,0.12,0.36,0.54,0.73,0.4
A1,0.0,0.22,0.22,0.33,0.55
A2,0.11,0.22,0.22,0.33,1.0
A3,0.0,0.38,0.22,0.33,0.99
