".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"rating","X6060","X6080",18,18,-6.44016748088539,17,6.1e-06,6.1e-05,"****"
"rating","X6060","X6090",18,18,-9.56107048112313,17,2.98e-08,2.98e-07,"****"
"rating","X6060","X60100",18,18,-8.18748988152661,17,2.66e-07,2.66e-06,"****"
"rating","X6060","risset",18,18,-9.79883938423949,17,2.08e-08,2.08e-07,"****"
"rating","X6080","X6090",18,18,-2.57851529743102,17,0.02,0.195,"ns"
"rating","X6080","X60100",18,18,-5.00496671051071,17,0.000108,0.001,"**"
"rating","X6080","risset",18,18,-5.19347637913547,17,7.32e-05,0.000732,"***"
"rating","X6090","X60100",18,18,-3.98772724769929,17,0.000952,0.01,"**"
"rating","X6090","risset",18,18,-3.15432774926506,17,0.006,0.058,"ns"
"rating","X60100","risset",18,18,-0.317484777152249,17,0.755,1,"ns"
