"trial","rhythm","variable","n","mean","sd"
"H","X6060","rating",6,0,0
"H","X6080","rating",6,0.275,0.209
"H","X6090","rating",6,0.443,0.224
"H","X60100","rating",6,0.77,0.245
"H","risset","rating",6,0.68,0.285
"AH","X6060","rating",6,0.107,0.155
"AH","X6080","rating",6,0.278,0.177
"AH","X6090","rating",6,0.428,0.172
"AH","X60100","rating",6,0.702,0.283
"AH","risset","rating",6,0.772,0.268
"NH","X6060","rating",6,0.093,0.123
"NH","X6080","rating",6,0.332,0.083
"NH","X6090","rating",6,0.413,0.128
"NH","X60100","rating",6,0.498,0.177
"NH","risset","rating",6,0.613,0.309
