Participant,Block,Stimulus,Modality,Rank,Filename,Score
1,1,shepard,audio,1,shepard_falling_1.0.mp3,-9.3
1,1,shepard,audio,2,pitch_decrease_strong_200to100Hz.mp3,-7.8
1,1,shepard,audio,3,pitch_decrease_mild_200to141Hz.mp3,-5.9
1,1,shepard,audio,4,pitch_constant_200to200Hz.mp3,0.0
1,1,shepard,audio,5,pitch_increase_mild_200to283Hz.mp3,3.4
1,1,shepard,audio,6,pitch_increase_strong_200to400Hz.mp3,7.4
1,1,shepard,audio,7,shepard_rising_1.0.mp3,10.0
1,2,shepard,haptic,1,pitch_increase_strong_200to400Hz.mp3,-9.2
1,2,shepard,haptic,2,pitch_decrease_strong_200to100Hz.mp3,-8.0
1,2,shepard,haptic,3,pitch_decrease_mild_200to141Hz.mp3,-4.8
1,2,shepard,haptic,4,pitch_increase_mild_200to283Hz.mp3,0.0
1,2,shepard,haptic,5,pitch_constant_200to200Hz.mp3,0.9
1,2,shepard,haptic,6,shepard_falling_1.0.mp3,2.6
1,2,shepard,haptic,7,shepard_rising_1.0.mp3,5.4
1,3,shepard,both,1,shepard_falling_1.0.mp3,-9.7
1,3,shepard,both,2,pitch_decrease_strong_200to100Hz.mp3,-7.1
1,3,shepard,both,3,pitch_decrease_mild_200to141Hz.mp3,-3.1
1,3,shepard,both,4,pitch_constant_200to200Hz.mp3,0.0
1,3,shepard,both,5,pitch_increase_mild_200to283Hz.mp3,2.2
1,3,shepard,both,6,pitch_increase_strong_200to400Hz.mp3,9.2
1,3,shepard,both,7,shepard_rising_1.0.mp3,10.0
