Participant,Block,Stimulus,Modality,Rank,Filename,Score
2,1,risset,audio,1,ramp_90to70BPM_8s_700Hz.mp3,0.0
2,1,risset,audio,2,ramp_90to60BPM_8s_700Hz.mp3,0.0
2,1,risset,audio,3,rissettrhythm reverse.mp3,0.0
2,1,risset,audio,4,ramp_90to90BPM_8s_700Hz.mp3,0.0
2,1,risset,audio,5,ramp_90to110BPM_8s_700Hz.mp3,0.0
2,1,risset,audio,6,ramp_90to120BPM_8s_700Hz.mp3,0.0
2,1,risset,audio,7,rissettrhythm.mp3,0.0
2,2,risset,both,1,ramp_90to90BPM_8s_700Hz.mp3,0.0
2,2,risset,both,2,ramp_90to110BPM_8s_700Hz.mp3,0.0
2,2,risset,both,3,ramp_90to60BPM_8s_700Hz.mp3,0.0
2,2,risset,both,4,rissettrhythm reverse.mp3,0.0
2,2,risset,both,5,rissettrhythm.mp3,0.0
2,2,risset,both,6,ramp_90to120BPM_8s_700Hz.mp3,0.0
2,2,risset,both,7,ramp_90to70BPM_8s_700Hz.mp3,0.0
2,3,risset,haptic,1,ramp_90to70BPM_8s_700Hz.mp3,0.0
2,3,risset,haptic,2,ramp_90to120BPM_8s_700Hz.mp3,0.0
2,3,risset,haptic,3,rissettrhythm.mp3,0.0
2,3,risset,haptic,4,ramp_90to90BPM_8s_700Hz.mp3,0.0
2,3,risset,haptic,5,ramp_90to60BPM_8s_700Hz.mp3,0.0
2,3,risset,haptic,6,ramp_90to110BPM_8s_700Hz.mp3,0.0
2,3,risset,haptic,7,rissettrhythm reverse.mp3,0.0
