Participant,Block,Stimulus,Modality,Rank,Filename,Score
3,1,risset,haptic,1,ramp_90to60BPM_8s_700Hz.mp3,0.0
3,1,risset,haptic,2,ramp_60to90BPM_8s_700Hz.mp3,0.0
3,1,risset,haptic,3,rissettrhythm reverse.mp3,0.0
3,1,risset,haptic,4,ramp_60to60BPM_8s_700Hz.mp3,0.0
3,1,risset,haptic,5,rissettrhythm reverse-2.0.mp3,0.0
3,1,risset,haptic,6,ramp_100to60BPM_8s_700Hz.mp3,0.0
3,1,risset,haptic,7,ramp_60to80BPM_8s_700Hz.mp3,0.0
3,1,risset,haptic,8,ramp_80to60BPM_8s_700Hz.mp3,0.0
3,1,risset,haptic,9,ramp_60to100BPM_8s_700Hz.mp3,0.0
3,1,risset,haptic,10,rissettrhythm reverse-1.5.mp3,0.0
3,1,risset,haptic,11,rissettrhythm.mp3,0.0
3,1,risset,haptic,12,rissettrhythm-2.0.mp3,0.0
3,1,risset,haptic,13,rissettrhythm-1.5.mp3,0.0
