Participant,Block,Stimulus,Modality,Rank,Filename,Score
3,3,risset,both,1,rissettrhythm reverse-1.5.mp3,-3.7
3,3,risset,both,2,rissettrhythm reverse-2.0.mp3,-2.4
3,3,risset,both,3,ramp_100to60BPM_8s_700Hz.mp3,-2.4
3,3,risset,both,4,ramp_90to60BPM_8s_700Hz.mp3,-1.6
3,3,risset,both,5,rissettrhythm reverse.mp3,-1.6
3,3,risset,both,6,ramp_80to60BPM_8s_700Hz.mp3,-1.0
3,3,risset,both,7,ramp_60to80BPM_8s_700Hz.mp3,-0.9
3,3,risset,both,8,ramp_60to60BPM_8s_700Hz.mp3,-0.4
3,3,risset,both,9,rissettrhythm-1.5.mp3,0.0
3,3,risset,both,10,ramp_60to90BPM_8s_700Hz.mp3,1.3
3,3,risset,both,11,ramp_60to100BPM_8s_700Hz.mp3,2.3
3,3,risset,both,12,rissettrhythm.mp3,3.5
3,3,risset,both,13,rissettrhythm-2.0.mp3,5.5
