Participant,Stimulus,Filename,Modality,Score_Run1,Score_Run2,Score_Run3,Average
3,risset,ramp_100to60BPM_8s_700Hz.mp3,audio,-1.9,-1.6,-2.9,-2.133
3,risset,ramp_100to60BPM_8s_700Hz.mp3,both,-3.6,-2.7,-1.7,-2.667
3,risset,ramp_100to60BPM_8s_700Hz.mp3,haptic,-1.0,-1.5,-1.0,-1.167
3,risset,ramp_60to100BPM_8s_700Hz.mp3,audio,2.3,3.1,2.9,2.767
3,risset,ramp_60to100BPM_8s_700Hz.mp3,both,2.9,2.8,2.0,2.567
3,risset,ramp_60to100BPM_8s_700Hz.mp3,haptic,1.1,1.8,1.0,1.3
3,risset,ramp_60to60BPM_8s_700Hz.mp3,audio,0.0,-0.3,-0.7,-0.333
3,risset,ramp_60to60BPM_8s_700Hz.mp3,both,0.0,0.0,-1.0,-0.333
3,risset,ramp_60to60BPM_8s_700Hz.mp3,haptic,-1.1,-0.7,0.0,-0.6
3,risset,ramp_60to80BPM_8s_700Hz.mp3,audio,1.1,2.4,0.0,1.167
3,risset,ramp_60to80BPM_8s_700Hz.mp3,both,0.0,1.6,1.5,1.033
3,risset,ramp_60to80BPM_8s_700Hz.mp3,haptic,-0.9,2.2,0.9,0.733
3,risset,ramp_60to90BPM_8s_700Hz.mp3,audio,2.2,1.8,0.1,1.367
3,risset,ramp_60to90BPM_8s_700Hz.mp3,both,2.3,1.0,2.2,1.833
3,risset,ramp_60to90BPM_8s_700Hz.mp3,haptic,-1.3,0.0,2.4,0.367
3,risset,ramp_80to60BPM_8s_700Hz.mp3,audio,-2.3,-0.8,-2.6,-1.9
3,risset,ramp_80to60BPM_8s_700Hz.mp3,both,-1.4,-1.4,-1.8,-1.533
3,risset,ramp_80to60BPM_8s_700Hz.mp3,haptic,-1.8,-1.2,-1.9,-1.633
3,risset,ramp_90to60BPM_8s_700Hz.mp3,audio,-1.6,-2.6,-1.9,-2.033
3,risset,ramp_90to60BPM_8s_700Hz.mp3,both,-1.7,-1.2,-2.8,-1.9
3,risset,ramp_90to60BPM_8s_700Hz.mp3,haptic,-1.0,-2.5,-2.3,-1.933
3,risset,rissettrhythm reverse-1.5.mp3,audio,-7.4,-4.6,-1.7,-4.567
3,risset,rissettrhythm reverse-1.5.mp3,both,-2.7,-4.0,-4.4,-3.7
3,risset,rissettrhythm reverse-1.5.mp3,haptic,-3.8,2.4,-2.1,-1.167
3,risset,rissettrhythm reverse-2.0.mp3,audio,-7.2,-2.3,-8.1,-5.867
3,risset,rissettrhythm reverse-2.0.mp3,both,-6.1,-5.7,-3.1,-4.967
3,risset,rissettrhythm reverse-2.0.mp3,haptic,4.1,1.0,-1.9,1.067
3,risset,rissettrhythm reverse.mp3,audio,-2.7,-2.4,-4.8,-3.3
3,risset,rissettrhythm reverse.mp3,both,-3.4,-2.3,-3.0,-2.9
3,risset,rissettrhythm reverse.mp3,haptic,-2.7,2.3,-1.6,-0.667
3,risset,rissettrhythm-1.5.mp3,audio,3.1,2.0,4.7,3.267
3,risset,rissettrhythm-1.5.mp3,both,5.0,3.2,4.1,4.1
3,risset,rissettrhythm-1.5.mp3,haptic,3.6,2.7,4.7,3.667
3,risset,rissettrhythm-2.0.mp3,audio,7.7,4.5,6.5,6.233
3,risset,rissettrhythm-2.0.mp3,both,7.1,7.2,8.3,7.533
3,risset,rissettrhythm-2.0.mp3,haptic,4.7,5.6,7.4,5.9
3,risset,rissettrhythm.mp3,audio,5.0,3.1,4.8,4.3
3,risset,rissettrhythm.mp3,both,4.4,1.2,5.1,3.567
3,risset,rissettrhythm.mp3,haptic,-2.8,2.3,-1.4,-0.633
