Participant,Stimulus,Filename,Modality,Score_Run1,Score_Run2,Score_Run3,Average
3,shepard,pitch_constant_220to220Hz.wav,audio,0.0,0.0,0.0,0.0
3,shepard,pitch_constant_220to220Hz.wav,both,0.0,0.0,0.0,0.0
3,shepard,pitch_constant_220to220Hz.wav,haptic,2.0,3.5,0.0,1.833
3,shepard,pitch_decrease_mild_220to156Hz.wav,audio,-2.5,-5.0,-5.0,-4.167
3,shepard,pitch_decrease_mild_220to156Hz.wav,both,-2.5,-4.0,-2.5,-3.0
3,shepard,pitch_decrease_mild_220to156Hz.wav,haptic,2.5,3.5,2.5,2.833
3,shepard,pitch_decrease_strong_220to110Hz.wav,audio,-10.0,-7.5,-7.5,-8.333
3,shepard,pitch_decrease_strong_220to110Hz.wav,both,-5.0,-7.5,-7.5,-6.667
3,shepard,pitch_decrease_strong_220to110Hz.wav,haptic,5.0,-5.0,2.5,0.833
3,shepard,pitch_increase_mild_220to311Hz.wav,audio,5.0,5.0,5.0,5.0
3,shepard,pitch_increase_mild_220to311Hz.wav,both,5.0,5.0,5.0,5.0
3,shepard,pitch_increase_mild_220to311Hz.wav,haptic,-3.0,5.0,5.0,2.333
3,shepard,pitch_increase_strong_220to440Hz.wav,audio,10.0,10.0,10.0,10.0
3,shepard,pitch_increase_strong_220to440Hz.wav,both,10.0,10.0,10.0,10.0
3,shepard,pitch_increase_strong_220to440Hz.wav,haptic,5.0,7.5,7.5,6.667
3,shepard,shepard_falling_haptic.wav,audio,-2.0,-1.0,-1.0,-1.333
3,shepard,shepard_falling_haptic.wav,both,-1.0,-2.5,-1.5,-1.667
3,shepard,shepard_falling_haptic.wav,haptic,0.0,2.5,1.0,1.167
3,shepard,shepard_rising_haptic.wav,audio,3.0,1.0,1.0,1.667
3,shepard,shepard_rising_haptic.wav,both,1.0,2.0,1.0,1.333
3,shepard,shepard_rising_haptic.wav,haptic,-3.5,-7.5,-2.0,-4.333
