Participant,Stimulus,Run,Filename,Modality,Score
1,risset,1,rissettrhythm-1.5.mp3,haptic,1.2
1,risset,1,ramp_90to60BPM_8s_700Hz.mp3,audio,-2.1
1,risset,1,ramp_90to110BPM_8s_700Hz.mp3,haptic,0.0
1,risset,1,rissettrhythm.mp3,both,3.7
1,risset,1,ramp_90to60BPM_8s_700Hz.mp3,haptic,-2.1
1,risset,1,ramp_90to70BPM_8s_700Hz.mp3,both,-1.7
1,risset,1,rissettrhythm reverse-1.5.mp3,audio,-2.7
1,risset,1,ramp_90to90BPM_8s_700Hz.mp3,haptic,2.8
1,risset,1,ramp_90to70BPM_8s_700Hz.mp3,audio,-1.1
1,risset,1,rissettrhythm.mp3,haptic,1.7
1,risset,1,ramp_90to110BPM_8s_700Hz.mp3,both,2.8
1,risset,1,ramp_90to60BPM_8s_700Hz.mp3,both,-2.0
1,risset,1,rissettrhythm reverse-1.5.mp3,both,2.7
1,risset,1,rissettrhythm-1.5.mp3,audio,7.0
1,risset,1,rissettrhythm.mp3,audio,6.6
1,risset,1,ramp_90to120BPM_8s_700Hz.mp3,both,2.7
1,risset,1,ramp_90to120BPM_8s_700Hz.mp3,haptic,1.3
1,risset,1,rissettrhythm reverse.mp3,both,-2.3
1,risset,1,ramp_90to90BPM_8s_700Hz.mp3,both,0.0
1,risset,1,rissettrhythm reverse.mp3,haptic,0.0
1,risset,1,ramp_90to90BPM_8s_700Hz.mp3,audio,0.0
1,risset,1,ramp_90to110BPM_8s_700Hz.mp3,audio,2.2
1,risset,1,ramp_90to70BPM_8s_700Hz.mp3,haptic,-2.6
1,risset,1,rissettrhythm-1.5.mp3,both,7.9
1,risset,1,rissettrhythm reverse.mp3,audio,-3.6
1,risset,1,ramp_90to120BPM_8s_700Hz.mp3,audio,1.8
1,risset,1,rissettrhythm reverse-1.5.mp3,haptic,2.7
1,risset,2,ramp_90to120BPM_8s_700Hz.mp3,haptic,2.1
1,risset,2,ramp_90to90BPM_8s_700Hz.mp3,both,0.0
1,risset,2,rissettrhythm.mp3,audio,6.0
1,risset,2,rissettrhythm.mp3,haptic,0.0
1,risset,2,ramp_90to110BPM_8s_700Hz.mp3,haptic,-0.4
1,risset,2,rissettrhythm reverse.mp3,both,-3.6
1,risset,2,rissettrhythm reverse.mp3,haptic,0.0
1,risset,2,rissettrhythm reverse.mp3,audio,-3.4
1,risset,2,rissettrhythm.mp3,both,4.0
1,risset,2,rissettrhythm reverse-1.5.mp3,haptic,0.0
1,risset,2,ramp_90to110BPM_8s_700Hz.mp3,audio,2.2
1,risset,2,ramp_90to110BPM_8s_700Hz.mp3,both,1.4
1,risset,2,rissettrhythm-1.5.mp3,audio,8.7
1,risset,2,ramp_90to60BPM_8s_700Hz.mp3,haptic,-4.4
1,risset,2,ramp_90to70BPM_8s_700Hz.mp3,audio,-1.4
1,risset,2,ramp_90to90BPM_8s_700Hz.mp3,haptic,2.7
1,risset,2,rissettrhythm reverse-1.5.mp3,audio,3.8
1,risset,2,ramp_90to60BPM_8s_700Hz.mp3,both,-2.5
1,risset,2,ramp_90to120BPM_8s_700Hz.mp3,both,3.3
1,risset,2,rissettrhythm-1.5.mp3,both,9.2
1,risset,2,ramp_90to70BPM_8s_700Hz.mp3,both,0.0
1,risset,2,rissettrhythm-1.5.mp3,haptic,3.0
1,risset,2,ramp_90to120BPM_8s_700Hz.mp3,audio,1.4
1,risset,2,ramp_90to90BPM_8s_700Hz.mp3,audio,-0.9
1,risset,2,rissettrhythm reverse-1.5.mp3,both,-3.5
1,risset,2,ramp_90to70BPM_8s_700Hz.mp3,haptic,-1.7
1,risset,2,ramp_90to60BPM_8s_700Hz.mp3,audio,-2.5
1,risset,3,rissettrhythm reverse-1.5.mp3,haptic,-1.2
1,risset,3,ramp_90to90BPM_8s_700Hz.mp3,audio,-1.5
1,risset,3,rissettrhythm reverse.mp3,haptic,-1.6
1,risset,3,rissettrhythm reverse-1.5.mp3,audio,-7.7
1,risset,3,rissettrhythm-1.5.mp3,haptic,-1.6
1,risset,3,ramp_90to110BPM_8s_700Hz.mp3,both,-0.9
1,risset,3,ramp_90to90BPM_8s_700Hz.mp3,both,0.0
1,risset,3,rissettrhythm reverse.mp3,both,-3.6
1,risset,3,ramp_90to110BPM_8s_700Hz.mp3,haptic,-5.2
1,risset,3,ramp_90to70BPM_8s_700Hz.mp3,audio,-1.4
1,risset,3,rissettrhythm.mp3,both,6.7
1,risset,3,rissettrhythm-1.5.mp3,both,8.8
1,risset,3,ramp_90to90BPM_8s_700Hz.mp3,haptic,-4.5
1,risset,3,rissettrhythm-1.5.mp3,audio,8.9
1,risset,3,rissettrhythm reverse.mp3,audio,-3.1
1,risset,3,ramp_90to110BPM_8s_700Hz.mp3,audio,3.2
1,risset,3,ramp_90to120BPM_8s_700Hz.mp3,haptic,0.0
1,risset,3,ramp_90to70BPM_8s_700Hz.mp3,both,-0.9
1,risset,3,ramp_90to120BPM_8s_700Hz.mp3,both,4.0
1,risset,3,ramp_90to60BPM_8s_700Hz.mp3,both,-3.6
1,risset,3,ramp_90to60BPM_8s_700Hz.mp3,audio,-1.8
1,risset,3,rissettrhythm.mp3,audio,7.9
1,risset,3,rissettrhythm.mp3,haptic,0.0
1,risset,3,ramp_90to70BPM_8s_700Hz.mp3,haptic,-2.5
1,risset,3,rissettrhythm reverse-1.5.mp3,both,0.0
1,risset,3,ramp_90to60BPM_8s_700Hz.mp3,haptic,-3.3
1,risset,3,ramp_90to120BPM_8s_700Hz.mp3,audio,2.5
