Participant,Block,Stimulus,Modality,Rank,Filename,Score
2,1,risset,audio,1,ramp_90to70BPM_8s_700Hz.mp3,-4.033
2,1,risset,audio,2,ramp_90to60BPM_8s_700Hz.mp3,-4.833
2,1,risset,audio,3,rissettrhythm reverse.mp3,-2.133
2,1,risset,audio,4,ramp_90to90BPM_8s_700Hz.mp3,0.633
2,1,risset,audio,5,ramp_90to110BPM_8s_700Hz.mp3,3.433
2,1,risset,audio,6,ramp_90to120BPM_8s_700Hz.mp3,4.933
2,1,risset,audio,7,rissettrhythm.mp3,4.067
2,2,risset,both,1,ramp_90to90BPM_8s_700Hz.mp3,1.233
2,2,risset,both,2,ramp_90to110BPM_8s_700Hz.mp3,3.633
2,2,risset,both,3,ramp_90to60BPM_8s_700Hz.mp3,-3.4
2,2,risset,both,4,rissettrhythm reverse.mp3,-0.933
2,2,risset,both,5,rissettrhythm.mp3,3.133
2,2,risset,both,6,ramp_90to120BPM_8s_700Hz.mp3,3.3
2,2,risset,both,7,ramp_90to70BPM_8s_700Hz.mp3,-3.667
2,3,risset,haptic,1,ramp_90to70BPM_8s_700Hz.mp3,0.867
2,3,risset,haptic,2,ramp_90to120BPM_8s_700Hz.mp3,3.633
2,3,risset,haptic,3,rissettrhythm.mp3,2.133
2,3,risset,haptic,4,ramp_90to90BPM_8s_700Hz.mp3,1.433
2,3,risset,haptic,5,ramp_90to60BPM_8s_700Hz.mp3,-2.2
2,3,risset,haptic,6,ramp_90to110BPM_8s_700Hz.mp3,2.467
2,3,risset,haptic,7,rissettrhythm reverse.mp3,-0.8
