Participant,Stimulus,Filename,Modality,Score_Run1,Score_Run2,Score_Run3,Average
4,risset,ramp_90to110BPM_8s_700Hz.mp3,audio,1.3,1.4,1.9,1.533
4,risset,ramp_90to110BPM_8s_700Hz.mp3,both,1.7,0.0,1.3,1.0
4,risset,ramp_90to110BPM_8s_700Hz.mp3,haptic,1.7,1.0,0.5,1.067
4,risset,ramp_90to120BPM_8s_700Hz.mp3,audio,1.0,1.7,1.1,1.267
4,risset,ramp_90to120BPM_8s_700Hz.mp3,both,2.3,1.4,1.8,1.833
4,risset,ramp_90to120BPM_8s_700Hz.mp3,haptic,1.4,0.7,0.5,0.867
4,risset,ramp_90to60BPM_8s_700Hz.mp3,audio,-0.5,-1.9,-1.5,-1.3
4,risset,ramp_90to60BPM_8s_700Hz.mp3,both,-1.1,-1.2,-1.6,-1.3
4,risset,ramp_90to60BPM_8s_700Hz.mp3,haptic,-1.5,-1.5,-1.6,-1.533
4,risset,ramp_90to70BPM_8s_700Hz.mp3,audio,-0.8,-0.5,-1.2,-0.833
4,risset,ramp_90to70BPM_8s_700Hz.mp3,both,-0.9,-1.5,-1.1,-1.167
4,risset,ramp_90to70BPM_8s_700Hz.mp3,haptic,-0.8,-0.5,-1.1,-0.8
4,risset,ramp_90to90BPM_8s_700Hz.mp3,audio,0.0,0.0,0.6,0.2
4,risset,ramp_90to90BPM_8s_700Hz.mp3,both,1.5,0.5,0.0,0.667
4,risset,ramp_90to90BPM_8s_700Hz.mp3,haptic,0.0,0.0,0.0,0.0
4,risset,rissettrhythm reverse-1.5.mp3,audio,-1.4,-0.7,-0.7,-0.933
4,risset,rissettrhythm reverse-1.5.mp3,both,-1.1,-0.2,-2.3,-1.2
4,risset,rissettrhythm reverse-1.5.mp3,haptic,0.0,0.0,0.0,0.0
4,risset,rissettrhythm reverse.mp3,audio,-0.5,-0.5,-0.8,-0.6
4,risset,rissettrhythm reverse.mp3,both,-1.0,-0.6,-0.6,-0.733
4,risset,rissettrhythm reverse.mp3,haptic,0.0,0.0,0.0,0.0
4,risset,rissettrhythm-1.5.mp3,audio,2.5,3.1,1.8,2.467
4,risset,rissettrhythm-1.5.mp3,both,2.5,2.6,1.9,2.333
4,risset,rissettrhythm-1.5.mp3,haptic,0.0,0.0,0.0,0.0
4,risset,rissettrhythm.mp3,audio,2.2,0.9,2.1,1.733
4,risset,rissettrhythm.mp3,both,0.7,1.6,0.0,0.767
4,risset,rissettrhythm.mp3,haptic,0.0,0.0,0.0,0.0
