Participant,Stimulus,Filename,Modality,Score_Run1,Score_Run2,Score_Run3,Average
6,shepard,pitch_constant_200to200Hz.mp3,audio,0.0,0.0,0.0,0.0
6,shepard,pitch_constant_200to200Hz.mp3,both,0.0,0.0,0.0,0.0
6,shepard,pitch_constant_200to200Hz.mp3,haptic,0.0,0.3,0.0,0.1
6,shepard,pitch_decrease_mild_200to141Hz.mp3,audio,-2.3,-0.6,-0.9,-1.267
6,shepard,pitch_decrease_mild_200to141Hz.mp3,both,-1.1,-1.1,-1.1,-1.1
6,shepard,pitch_decrease_mild_200to141Hz.mp3,haptic,0.8,-1.0,-0.9,-0.367
6,shepard,pitch_decrease_strong_200to100Hz.mp3,audio,-2.3,-1.2,-1.4,-1.633
6,shepard,pitch_decrease_strong_200to100Hz.mp3,both,-1.6,-2.6,-2.9,-2.367
6,shepard,pitch_decrease_strong_200to100Hz.mp3,haptic,-2.4,-2.5,-2.8,-2.567
6,shepard,pitch_increase_mild_200to283Hz.mp3,audio,1.5,0.8,1.4,1.233
6,shepard,pitch_increase_mild_200to283Hz.mp3,both,1.0,1.7,1.3,1.333
6,shepard,pitch_increase_mild_200to283Hz.mp3,haptic,3.8,2.5,0.7,2.333
6,shepard,pitch_increase_strong_200to400Hz.mp3,audio,1.7,3.0,1.2,1.967
6,shepard,pitch_increase_strong_200to400Hz.mp3,both,3.2,1.5,1.1,1.933
6,shepard,pitch_increase_strong_200to400Hz.mp3,haptic,2.7,1.0,2.6,2.1
6,shepard,shepard_falling_1.0.mp3,audio,-3.2,-3.9,-4.3,-3.8
6,shepard,shepard_falling_1.0.mp3,both,-3.2,-4.5,-4.3,-4.0
6,shepard,shepard_falling_1.0.mp3,haptic,-2.9,-3.0,-1.4,-2.433
6,shepard,shepard_falling_1.5.mp3,audio,-5.8,-2.4,-4.4,-4.2
6,shepard,shepard_falling_1.5.mp3,both,-4.2,-3.5,-5.8,-4.5
6,shepard,shepard_falling_1.5.mp3,haptic,-3.6,-2.8,-3.8,-3.4
6,shepard,shepard_rising_1.0.mp3,audio,7.0,4.6,2.2,4.6
6,shepard,shepard_rising_1.0.mp3,both,3.8,4.4,4.5,4.233
6,shepard,shepard_rising_1.0.mp3,haptic,2.2,2.5,3.6,2.767
6,shepard,shepard_rising_1.5.mp3,audio,7.8,6.4,6.7,6.967
6,shepard,shepard_rising_1.5.mp3,both,4.7,7.5,3.3,5.167
6,shepard,shepard_rising_1.5.mp3,haptic,1.4,2.0,1.6,1.667
