Participant,Block,Stimulus,Modality,Rank,Filename,Score
10,1,shepard,haptic,1,pitch_increase_strong_200to400Hz.mp3,-10.0
10,1,shepard,haptic,2,shepard_falling_1.5.mp3,-8.6
10,1,shepard,haptic,3,shepard_falling_1.0.mp3,-7.3
10,1,shepard,haptic,4,shepard_rising_1.0.mp3,-4.4
10,1,shepard,haptic,5,pitch_increase_mild_200to283Hz.mp3,-1.9
10,1,shepard,haptic,6,pitch_decrease_mild_200to141Hz.mp3,0.0
10,1,shepard,haptic,7,shepard_rising_1.5.mp3,2.0
10,1,shepard,haptic,8,pitch_constant_200to200Hz.mp3,3.7
10,1,shepard,haptic,9,pitch_decrease_strong_200to100Hz.mp3,10.0
10,2,shepard,both,1,shepard_falling_1.0.mp3,-7.9
10,2,shepard,both,2,pitch_decrease_strong_200to100Hz.mp3,-6.8
10,2,shepard,both,3,pitch_decrease_mild_200to141Hz.mp3,-5.6
10,2,shepard,both,4,shepard_falling_1.5.mp3,-3.0
10,2,shepard,both,5,pitch_constant_200to200Hz.mp3,0.0
10,2,shepard,both,6,pitch_increase_mild_200to283Hz.mp3,2.6
10,2,shepard,both,7,pitch_increase_strong_200to400Hz.mp3,5.9
10,2,shepard,both,8,shepard_rising_1.5.mp3,8.6
10,2,shepard,both,9,shepard_rising_1.0.mp3,10.0
10,3,shepard,audio,1,shepard_falling_1.5.mp3,-10.0
10,3,shepard,audio,2,shepard_falling_1.0.mp3,-5.8
10,3,shepard,audio,3,pitch_decrease_mild_200to141Hz.mp3,-2.8
10,3,shepard,audio,4,pitch_decrease_strong_200to100Hz.mp3,-1.3
10,3,shepard,audio,5,pitch_constant_200to200Hz.mp3,0.0
10,3,shepard,audio,6,pitch_increase_mild_200to283Hz.mp3,1.0
10,3,shepard,audio,7,pitch_increase_strong_200to400Hz.mp3,2.0
10,3,shepard,audio,8,shepard_rising_1.0.mp3,7.1
10,3,shepard,audio,9,shepard_rising_1.5.mp3,10.0
