commanded_hz,peak_hz,rms_g
1.000000000000000000e+02,1.989022136968861787e+02,1.533073663711547852e+00
1.100000000000000000e+02,1.105163908271233026e+02,1.542567610740661621e+00
1.200000000000000000e+02,1.208789832472479162e+02,1.592052340507507324e+00
1.300000000000000000e+02,1.328758664281599806e+02,1.660078525543212891e+00
1.400000000000000000e+02,1.427672545143223033e+02,1.755159974098205566e+00
1.500000000000000000e+02,1.506462792100214756e+02,1.800521850585937500e+00
1.600000000000000000e+02,1.594221800303715213e+02,1.846435070037841797e+00
1.700000000000000000e+02,1.717212420478449815e+02,1.886214375495910645e+00
1.800000000000000000e+02,1.798720386513538188e+02,1.914303660392761230e+00
1.900000000000000000e+02,1.908369522816969379e+02,1.935836076736450195e+00
2.000000000000000000e+02,2.002761340870158620e+02,1.923558115959167480e+00
2.100000000000000000e+02,2.094123112428872275e+02,1.947634220123291016e+00
2.200000000000000000e+02,2.226004258721360429e+02,1.902214050292968750e+00
2.300000000000000000e+02,2.350953080478066397e+02,1.893192768096923828e+00
2.400000000000000000e+02,2.411897875353854772e+02,1.884646296501159668e+00
2.500000000000000000e+02,2.493418267057595017e+02,1.855733513832092285e+00
2.600000000000000000e+02,2.601169508797557910e+02,1.865809440612792969e+00
2.700000000000000000e+02,2.690746363129474048e+02,1.862110733985900879e+00
2.800000000000000000e+02,2.808017495545071824e+02,1.840481996536254883e+00
2.900000000000000000e+02,2.894956415784985779e+02,1.860936760902404785e+00
3.000000000000000000e+02,3.029474265613019952e+02,1.836262702941894531e+00
3.100000000000000000e+02,3.155679122839402453e+02,1.839954495429992676e+00
3.200000000000000000e+02,3.201976681059903740e+02,1.803369998931884766e+00
3.300000000000000000e+02,3.334976767844292453e+02,1.803795337677001953e+00
3.400000000000000000e+02,3.390214112614647206e+02,1.777124047279357910e+00
3.500000000000000000e+02,3.492094112892912676e+02,1.760181188583374023e+00
3.600000000000000000e+02,3.601318121144007023e+02,1.760050058364868164e+00
3.700000000000000000e+02,3.724482703063503095e+02,1.730103731155395508e+00
3.800000000000000000e+02,3.837464164110956517e+02,1.753047585487365723e+00
3.900000000000000000e+02,3.900044983064251483e+02,1.748148798942565918e+00
4.000000000000000000e+02,4.101713651871396564e+02,1.704068303108215332e+00
