"participant_id","trial","trial_num","rhythm","rating","participant_trial"
"E","H",1,"X6060",0,"E1"
"E","H",1,"X6080",0.15,"E1"
"E","H",1,"X6090",0.83,"E1"
"E","H",1,"X60100",1,"E1"
"E","H",1,"risset",0.53,"E1"
"E","AH",2,"X6060",0,"E2"
"E","AH",2,"X6080",0.39,"E2"
"E","AH",2,"X6090",0.46,"E2"
"E","AH",2,"X60100",0.86,"E2"
"E","AH",2,"risset",0.27,"E2"
"E","NH",3,"X6060",0,"E3"
"E","NH",3,"X6080",0.29,"E3"
"E","NH",3,"X6090",0.36,"E3"
"E","NH",3,"X60100",0.63,"E3"
"E","NH",3,"risset",0.14,"E3"
"R","H",1,"X6060",0,"R1"
"R","H",1,"X6080",0.59,"R1"
"R","H",1,"X6090",0.26,"R1"
"R","H",1,"X60100",0.79,"R1"
"R","H",1,"risset",1,"R1"
"R","AH",2,"X6060",0.13,"R2"
"R","AH",2,"X6080",0.28,"R2"
"R","AH",2,"X6090",0.54,"R2"
"R","AH",2,"X60100",0.38,"R2"
"R","AH",2,"risset",0.82,"R2"
"R","NH",3,"X6060",0.13,"R3"
"R","NH",3,"X6080",0.25,"R3"
"R","NH",3,"X6090",0.39,"R3"
"R","NH",3,"X60100",0.26,"R3"
"R","NH",3,"risset",0.57,"R3"
"C","H",1,"X6060",0,"C1"
"C","H",1,"X6080",0,"C1"
"C","H",1,"X6090",0.5,"C1"
"C","H",1,"X60100",0.75,"C1"
"C","H",1,"risset",1,"C1"
"C","AH",2,"X6060",0,"C2"
"C","AH",2,"X6080",0,"C2"
"C","AH",2,"X6090",0.25,"C2"
"C","AH",2,"X60100",1,"C2"
"C","AH",2,"risset",0.75,"C2"
"C","NH",3,"X6060",0,"C3"
"C","NH",3,"X6080",0.25,"C3"
"C","NH",3,"X6090",0.4,"C3"
"C","NH",3,"X60100",0.52,"C3"
"C","NH",3,"risset",0.78,"C3"
"L","H",1,"X6060",0,"L1"
"L","H",1,"X6080",0.26,"L1"
"L","H",1,"X6090",0.34,"L1"
"L","H",1,"X60100",0.75,"L1"
"L","H",1,"risset",0.72,"L1"
"L","AH",2,"X6060",0.4,"L2"
"L","AH",2,"X6080",0.53,"L2"
"L","AH",2,"X6090",0.67,"L2"
"L","AH",2,"X60100",0.73,"L2"
"L","AH",2,"risset",1,"L2"
"L","NH",3,"X6060",0.31,"L3"
"L","NH",3,"X6080",0.46,"L3"
"L","NH",3,"X6090",0.57,"L3"
"L","NH",3,"X60100",0.52,"L3"
"L","NH",3,"risset",0.8,"L3"
"N","H",1,"X6060",0,"N1"
"N","H",1,"X6080",0.43,"N1"
"N","H",1,"X6090",0.51,"N1"
"N","H",1,"X60100",1,"N1"
"N","H",1,"risset",0.28,"N1"
"N","AH",2,"X6060",0,"N2"
"N","AH",2,"X6080",0.25,"N2"
"N","AH",2,"X6090",0.43,"N2"
"N","AH",2,"X60100",0.91,"N2"
"N","AH",2,"risset",0.79,"N2"
"N","NH",3,"X6060",0.12,"N3"
"N","NH",3,"X6080",0.36,"N3"
"N","NH",3,"X6090",0.54,"N3"
"N","NH",3,"X60100",0.73,"N3"
"N","NH",3,"risset",0.4,"N3"
"A","H",1,"X6060",0,"A1"
"A","H",1,"X6080",0.22,"A1"
"A","H",1,"X6090",0.22,"A1"
"A","H",1,"X60100",0.33,"A1"
"A","H",1,"risset",0.55,"A1"
"A","AH",2,"X6060",0.11,"A2"
"A","AH",2,"X6080",0.22,"A2"
"A","AH",2,"X6090",0.22,"A2"
"A","AH",2,"X60100",0.33,"A2"
"A","AH",2,"risset",1,"A2"
"A","NH",3,"X6060",0,"A3"
"A","NH",3,"X6080",0.38,"A3"
"A","NH",3,"X6090",0.22,"A3"
"A","NH",3,"X60100",0.33,"A3"
"A","NH",3,"risset",0.99,"A3"
