Participant,Block,Stimulus,Modality,Rank,Filename,Score
3,1,shepard,haptic,1,pitch_decrease_strong_200to100Hz.mp3,-10.0
3,1,shepard,haptic,2,pitch_increase_strong_200to400Hz.mp3,-9.0
3,1,shepard,haptic,3,pitch_constant_200to200Hz.mp3,-5.0
3,1,shepard,haptic,4,pitch_increase_mild_200to283Hz.mp3,-4.0
3,1,shepard,haptic,5,shepard_rising_1.0.mp3,0.0
3,1,shepard,haptic,6,shepard_falling_1.0.mp3,2.5
3,1,shepard,haptic,7,pitch_decrease_mild_200to141Hz.mp3,7.0
3,2,shepard,audio,1,pitch_decrease_strong_200to100Hz.mp3,-8.5
3,2,shepard,audio,2,shepard_falling_1.0.mp3,-8.0
3,2,shepard,audio,3,pitch_decrease_mild_200to141Hz.mp3,-3.0
3,2,shepard,audio,4,pitch_constant_200to200Hz.mp3,0.0
3,2,shepard,audio,5,pitch_increase_mild_200to283Hz.mp3,4.5
3,2,shepard,audio,6,pitch_increase_strong_200to400Hz.mp3,8.0
3,2,shepard,audio,7,shepard_rising_1.0.mp3,10.0
3,3,shepard,both,1,pitch_decrease_strong_200to100Hz.mp3,-8.5
3,3,shepard,both,2,pitch_decrease_mild_200to141Hz.mp3,-6.0
3,3,shepard,both,3,shepard_falling_1.0.mp3,-4.0
3,3,shepard,both,4,pitch_constant_200to200Hz.mp3,-1.5
3,3,shepard,both,5,pitch_increase_mild_200to283Hz.mp3,1.0
3,3,shepard,both,6,pitch_increase_strong_200to400Hz.mp3,5.0
3,3,shepard,both,7,shepard_rising_1.0.mp3,7.0
