Participant,Stimulus,Filename,Modality,Score_Run1,Score_Run2,Score_Run3,Average
4,shepard,pitch_constant_200to200Hz.mp3,audio,0.0,0.0,-0.7,-0.233
4,shepard,pitch_constant_200to200Hz.mp3,both,0.0,0.0,0.0,0.0
4,shepard,pitch_constant_200to200Hz.mp3,haptic,0.0,0.0,0.0,0.0
4,shepard,pitch_decrease_mild_200to141Hz.mp3,audio,-4.9,-5.6,-3.8,-4.767
4,shepard,pitch_decrease_mild_200to141Hz.mp3,both,-5.6,-3.7,-3.6,-4.3
4,shepard,pitch_decrease_mild_200to141Hz.mp3,haptic,-1.7,-4.6,0.0,-2.1
4,shepard,pitch_decrease_strong_200to100Hz.mp3,audio,-6.0,-5.2,-5.3,-5.5
4,shepard,pitch_decrease_strong_200to100Hz.mp3,both,-7.0,-4.1,-5.3,-5.467
4,shepard,pitch_decrease_strong_200to100Hz.mp3,haptic,-5.2,-6.1,0.0,-3.767
4,shepard,pitch_increase_mild_200to283Hz.mp3,audio,4.2,3.5,2.2,3.3
4,shepard,pitch_increase_mild_200to283Hz.mp3,both,3.1,5.1,0.0,2.733
4,shepard,pitch_increase_mild_200to283Hz.mp3,haptic,0.0,-3.9,-6.5,-3.467
4,shepard,pitch_increase_strong_200to400Hz.mp3,audio,4.4,3.9,5.3,4.533
4,shepard,pitch_increase_strong_200to400Hz.mp3,both,5.1,6.1,1.5,4.233
4,shepard,pitch_increase_strong_200to400Hz.mp3,haptic,-7.6,-7.4,-7.5,-7.5
4,shepard,shepard_falling_1.0.mp3,audio,-4.6,-5.0,-5.2,-4.933
4,shepard,shepard_falling_1.0.mp3,both,-5.1,-6.5,-4.2,-5.267
4,shepard,shepard_falling_1.0.mp3,haptic,0.0,0.0,0.0,0.0
4,shepard,shepard_falling_1.5.mp3,audio,-6.3,-5.1,-5.2,-5.533
4,shepard,shepard_falling_1.5.mp3,both,-5.7,-5.4,-4.2,-5.1
4,shepard,shepard_falling_1.5.mp3,haptic,0.0,1.6,0.9,0.833
4,shepard,shepard_rising_1.0.mp3,audio,7.8,7.9,5.9,7.2
4,shepard,shepard_rising_1.0.mp3,both,9.0,8.3,7.6,8.3
4,shepard,shepard_rising_1.0.mp3,haptic,0.0,0.0,0.0,0.0
4,shepard,shepard_rising_1.5.mp3,audio,9.7,8.1,8.6,8.8
4,shepard,shepard_rising_1.5.mp3,both,8.4,8.6,7.0,8.0
4,shepard,shepard_rising_1.5.mp3,haptic,2.5,3.3,0.0,1.933
