Participant,Block,Stimulus,Modality,Rank,Filename,Score
6,1,risset,both,1,ramp_90to70BPM_8s_700Hz.mp3,-4.6
6,1,risset,both,2,ramp_90to90BPM_8s_700Hz.mp3,-3.5
6,1,risset,both,3,ramp_90to60BPM_8s_700Hz.mp3,-2.5
6,1,risset,both,4,rissettrhythm reverse-1.5.mp3,-1.2
6,1,risset,both,5,rissettrhythm reverse.mp3,-0.6
6,1,risset,both,6,ramp_90to110BPM_8s_700Hz.mp3,0.0
6,1,risset,both,7,rissettrhythm.mp3,0.7
6,1,risset,both,8,rissettrhythm-1.5.mp3,1.5
6,1,risset,both,9,ramp_90to120BPM_8s_700Hz.mp3,2.0
6,2,risset,haptic,1,ramp_90to60BPM_8s_700Hz.mp3,-3.7
6,2,risset,haptic,2,ramp_90to70BPM_8s_700Hz.mp3,-3.4
6,2,risset,haptic,3,ramp_90to90BPM_8s_700Hz.mp3,-0.7
6,2,risset,haptic,4,ramp_90to110BPM_8s_700Hz.mp3,0.0
6,2,risset,haptic,5,rissettrhythm reverse-1.5.mp3,0.4
6,2,risset,haptic,6,rissettrhythm.mp3,0.5
6,2,risset,haptic,7,rissettrhythm reverse.mp3,0.8
6,2,risset,haptic,8,rissettrhythm-1.5.mp3,1.0
6,2,risset,haptic,9,ramp_90to120BPM_8s_700Hz.mp3,1.2
6,3,risset,audio,1,ramp_90to60BPM_8s_700Hz.mp3,-3.2
6,3,risset,audio,2,ramp_90to90BPM_8s_700Hz.mp3,-1.9
6,3,risset,audio,3,ramp_90to70BPM_8s_700Hz.mp3,-1.6
6,3,risset,audio,4,rissettrhythm reverse.mp3,-1.0
6,3,risset,audio,5,rissettrhythm reverse-1.5.mp3,-0.5
6,3,risset,audio,6,ramp_90to110BPM_8s_700Hz.mp3,0.2
6,3,risset,audio,7,ramp_90to120BPM_8s_700Hz.mp3,0.7
6,3,risset,audio,8,rissettrhythm-1.5.mp3,1.9
6,3,risset,audio,9,rissettrhythm.mp3,2.3
