Participant,Stimulus,Run,Filename,Modality,Score
10,risset,1,ramp_90to110BPM_8s_700Hz.mp3,audio,-1.3
10,risset,1,rissettrhythm reverse-1.5.mp3,both,-5.6
10,risset,1,ramp_90to90BPM_8s_700Hz.mp3,both,-2.8
10,risset,1,rissettrhythm-1.5.mp3,both,3.6
10,risset,1,ramp_90to120BPM_8s_700Hz.mp3,audio,5.3
10,risset,1,rissettrhythm reverse.mp3,both,-5.0
10,risset,1,ramp_90to120BPM_8s_700Hz.mp3,both,2.9
10,risset,1,ramp_90to110BPM_8s_700Hz.mp3,haptic,-2.2
10,risset,1,rissettrhythm-1.5.mp3,audio,2.7
10,risset,1,rissettrhythm.mp3,haptic,5.6
10,risset,1,rissettrhythm reverse-1.5.mp3,audio,-2.1
10,risset,1,ramp_90to70BPM_8s_700Hz.mp3,both,-4.6
10,risset,1,ramp_90to70BPM_8s_700Hz.mp3,audio,0.0
10,risset,1,ramp_90to60BPM_8s_700Hz.mp3,audio,-2.6
10,risset,1,ramp_90to70BPM_8s_700Hz.mp3,haptic,-3.0
10,risset,1,ramp_90to110BPM_8s_700Hz.mp3,both,-1.4
10,risset,1,rissettrhythm-1.5.mp3,haptic,6.7
10,risset,1,ramp_90to60BPM_8s_700Hz.mp3,both,-2.5
10,risset,1,rissettrhythm reverse-1.5.mp3,haptic,0.0
10,risset,1,ramp_90to60BPM_8s_700Hz.mp3,haptic,-4.6
10,risset,1,rissettrhythm reverse.mp3,haptic,1.9
10,risset,1,rissettrhythm.mp3,both,3.6
10,risset,1,ramp_90to90BPM_8s_700Hz.mp3,audio,0.0
10,risset,1,rissettrhythm reverse.mp3,audio,-6.8
10,risset,1,rissettrhythm.mp3,audio,2.3
10,risset,1,ramp_90to90BPM_8s_700Hz.mp3,haptic,1.0
10,risset,1,ramp_90to120BPM_8s_700Hz.mp3,haptic,3.0
10,risset,2,ramp_90to60BPM_8s_700Hz.mp3,haptic,0.7
10,risset,2,rissettrhythm reverse.mp3,haptic,7.3
10,risset,2,ramp_90to120BPM_8s_700Hz.mp3,haptic,-1.4
10,risset,2,ramp_90to90BPM_8s_700Hz.mp3,both,0.0
10,risset,2,ramp_90to70BPM_8s_700Hz.mp3,haptic,-3.2
10,risset,2,ramp_90to90BPM_8s_700Hz.mp3,haptic,-2.4
10,risset,2,ramp_90to60BPM_8s_700Hz.mp3,audio,-1.5
10,risset,2,rissettrhythm reverse-1.5.mp3,audio,-7.5
10,risset,2,rissettrhythm.mp3,audio,1.3
10,risset,2,rissettrhythm-1.5.mp3,both,8.3
10,risset,2,ramp_90to70BPM_8s_700Hz.mp3,audio,-8.8
10,risset,2,ramp_90to120BPM_8s_700Hz.mp3,audio,8.1
10,risset,2,rissettrhythm reverse.mp3,audio,-5.3
10,risset,2,ramp_90to60BPM_8s_700Hz.mp3,both,-4.4
10,risset,2,ramp_90to110BPM_8s_700Hz.mp3,both,0.0
10,risset,2,ramp_90to90BPM_8s_700Hz.mp3,audio,0.0
10,risset,2,ramp_90to110BPM_8s_700Hz.mp3,audio,5.7
10,risset,2,ramp_90to120BPM_8s_700Hz.mp3,both,8.1
10,risset,2,rissettrhythm-1.5.mp3,audio,5.7
10,risset,2,ramp_90to70BPM_8s_700Hz.mp3,both,-6.6
10,risset,2,rissettrhythm.mp3,both,4.8
10,risset,2,rissettrhythm reverse-1.5.mp3,both,-2.9
10,risset,2,ramp_90to110BPM_8s_700Hz.mp3,haptic,0.0
10,risset,2,rissettrhythm-1.5.mp3,haptic,2.9
10,risset,2,rissettrhythm.mp3,haptic,5.5
10,risset,2,rissettrhythm reverse-1.5.mp3,haptic,2.1
10,risset,2,rissettrhythm reverse.mp3,both,-3.1
10,risset,3,ramp_90to60BPM_8s_700Hz.mp3,audio,-8.5
10,risset,3,rissettrhythm reverse.mp3,audio,-5.0
10,risset,3,rissettrhythm reverse.mp3,haptic,4.0
10,risset,3,rissettrhythm reverse-1.5.mp3,audio,-8.2
10,risset,3,rissettrhythm reverse-1.5.mp3,haptic,3.3
10,risset,3,rissettrhythm reverse.mp3,both,-5.7
10,risset,3,ramp_90to110BPM_8s_700Hz.mp3,audio,7.1
10,risset,3,ramp_90to90BPM_8s_700Hz.mp3,both,0.0
10,risset,3,rissettrhythm.mp3,both,2.5
10,risset,3,ramp_90to60BPM_8s_700Hz.mp3,both,-6.3
10,risset,3,rissettrhythm-1.5.mp3,both,10.0
10,risset,3,ramp_90to110BPM_8s_700Hz.mp3,haptic,1.9
10,risset,3,ramp_90to60BPM_8s_700Hz.mp3,haptic,2.1
10,risset,3,ramp_90to70BPM_8s_700Hz.mp3,haptic,-3.4
10,risset,3,rissettrhythm.mp3,haptic,5.9
10,risset,3,rissettrhythm-1.5.mp3,haptic,0.0
10,risset,3,ramp_90to120BPM_8s_700Hz.mp3,both,3.3
10,risset,3,ramp_90to120BPM_8s_700Hz.mp3,audio,7.2
10,risset,3,ramp_90to70BPM_8s_700Hz.mp3,audio,-7.5
10,risset,3,ramp_90to90BPM_8s_700Hz.mp3,haptic,2.2
10,risset,3,ramp_90to110BPM_8s_700Hz.mp3,both,4.7
10,risset,3,ramp_90to120BPM_8s_700Hz.mp3,haptic,7.2
10,risset,3,ramp_90to90BPM_8s_700Hz.mp3,audio,0.0
10,risset,3,rissettrhythm reverse-1.5.mp3,both,-10.0
10,risset,3,ramp_90to70BPM_8s_700Hz.mp3,both,-5.0
10,risset,3,rissettrhythm-1.5.mp3,audio,8.3
10,risset,3,rissettrhythm.mp3,audio,6.1
