Participant,Stimulus,Run,Filename,Modality,Score
10,shepard,1,pitch_increase_strong_200to400Hz.mp3,haptic,4.6
10,shepard,1,shepard_rising_1.0.mp3,both,10.0
10,shepard,1,pitch_decrease_mild_200to141Hz.mp3,audio,-10.0
10,shepard,1,pitch_constant_200to200Hz.mp3,both,6.6
10,shepard,1,pitch_decrease_strong_200to100Hz.mp3,haptic,0.0
10,shepard,1,shepard_falling_1.0.mp3,haptic,-3.7
10,shepard,1,pitch_decrease_strong_200to100Hz.mp3,both,-3.8
10,shepard,1,pitch_increase_mild_200to283Hz.mp3,both,3.0
10,shepard,1,shepard_falling_1.5.mp3,both,-8.4
10,shepard,1,shepard_rising_1.0.mp3,haptic,0.0
10,shepard,1,shepard_falling_1.5.mp3,audio,-10.0
10,shepard,1,shepard_rising_1.5.mp3,haptic,0.0
10,shepard,1,pitch_increase_mild_200to283Hz.mp3,audio,2.1
10,shepard,1,shepard_rising_1.5.mp3,both,2.8
10,shepard,1,shepard_falling_1.0.mp3,audio,-6.8
10,shepard,1,pitch_decrease_strong_200to100Hz.mp3,audio,-5.5
10,shepard,1,shepard_falling_1.0.mp3,both,-9.3
10,shepard,1,shepard_rising_1.5.mp3,audio,8.9
10,shepard,1,shepard_falling_1.5.mp3,haptic,0.0
10,shepard,1,pitch_increase_strong_200to400Hz.mp3,both,5.0
10,shepard,1,pitch_decrease_mild_200to141Hz.mp3,both,-7.0
10,shepard,1,pitch_increase_strong_200to400Hz.mp3,audio,4.6
10,shepard,1,pitch_decrease_mild_200to141Hz.mp3,haptic,-4.5
10,shepard,1,pitch_constant_200to200Hz.mp3,audio,0.0
10,shepard,1,pitch_constant_200to200Hz.mp3,haptic,0.0
10,shepard,1,pitch_increase_mild_200to283Hz.mp3,haptic,6.7
10,shepard,1,shepard_rising_1.0.mp3,audio,10.0
10,shepard,2,pitch_increase_mild_200to283Hz.mp3,haptic,-3.2
10,shepard,2,shepard_rising_1.0.mp3,audio,7.0
10,shepard,2,pitch_decrease_strong_200to100Hz.mp3,both,-8.9
10,shepard,2,shepard_falling_1.0.mp3,both,-5.1
10,shepard,2,shepard_rising_1.0.mp3,haptic,0.0
10,shepard,2,shepard_falling_1.5.mp3,both,-10.0
10,shepard,2,pitch_increase_mild_200to283Hz.mp3,both,4.3
10,shepard,2,pitch_increase_strong_200to400Hz.mp3,haptic,0.0
10,shepard,2,pitch_constant_200to200Hz.mp3,both,1.3
10,shepard,2,pitch_constant_200to200Hz.mp3,haptic,6.4
10,shepard,2,shepard_falling_1.0.mp3,haptic,3.6
10,shepard,2,pitch_decrease_mild_200to141Hz.mp3,haptic,0.0
10,shepard,2,pitch_increase_strong_200to400Hz.mp3,audio,5.6
10,shepard,2,shepard_falling_1.0.mp3,audio,-9.2
10,shepard,2,pitch_constant_200to200Hz.mp3,audio,0.0
10,shepard,2,pitch_increase_strong_200to400Hz.mp3,both,8.7
10,shepard,2,shepard_rising_1.5.mp3,both,10.0
10,shepard,2,pitch_decrease_mild_200to141Hz.mp3,both,-10.0
10,shepard,2,shepard_falling_1.5.mp3,haptic,0.0
10,shepard,2,shepard_falling_1.5.mp3,audio,-7.7
10,shepard,2,shepard_rising_1.5.mp3,haptic,0.0
10,shepard,2,shepard_rising_1.0.mp3,both,4.1
10,shepard,2,pitch_decrease_mild_200to141Hz.mp3,audio,-8.1
10,shepard,2,pitch_decrease_strong_200to100Hz.mp3,audio,-8.4
10,shepard,2,pitch_decrease_strong_200to100Hz.mp3,haptic,-4.5
10,shepard,2,shepard_rising_1.5.mp3,audio,7.5
10,shepard,2,pitch_increase_mild_200to283Hz.mp3,audio,3.1
10,shepard,3,pitch_constant_200to200Hz.mp3,audio,0.0
10,shepard,3,pitch_decrease_mild_200to141Hz.mp3,audio,-3.9
10,shepard,3,shepard_rising_1.0.mp3,haptic,5.7
10,shepard,3,pitch_constant_200to200Hz.mp3,both,3.9
10,shepard,3,shepard_rising_1.5.mp3,haptic,4.5
10,shepard,3,shepard_rising_1.5.mp3,audio,10.0
10,shepard,3,shepard_falling_1.0.mp3,audio,-10.0
10,shepard,3,pitch_constant_200to200Hz.mp3,haptic,3.3
10,shepard,3,pitch_decrease_mild_200to141Hz.mp3,haptic,7.3
10,shepard,3,pitch_increase_strong_200to400Hz.mp3,haptic,-6.6
10,shepard,3,shepard_rising_1.0.mp3,audio,9.4
10,shepard,3,pitch_decrease_strong_200to100Hz.mp3,both,-5.6
10,shepard,3,shepard_falling_1.5.mp3,haptic,0.0
10,shepard,3,shepard_falling_1.0.mp3,both,-8.6
10,shepard,3,pitch_increase_strong_200to400Hz.mp3,both,7.7
10,shepard,3,pitch_increase_strong_200to400Hz.mp3,audio,4.0
10,shepard,3,shepard_rising_1.0.mp3,both,8.1
10,shepard,3,pitch_decrease_mild_200to141Hz.mp3,both,-4.0
10,shepard,3,pitch_increase_mild_200to283Hz.mp3,both,1.3
10,shepard,3,pitch_decrease_strong_200to100Hz.mp3,haptic,0.0
10,shepard,3,shepard_falling_1.5.mp3,audio,-10.0
10,shepard,3,pitch_increase_mild_200to283Hz.mp3,haptic,3.6
10,shepard,3,pitch_decrease_strong_200to100Hz.mp3,audio,-8.4
10,shepard,3,shepard_falling_1.0.mp3,haptic,-4.5
10,shepard,3,shepard_falling_1.5.mp3,both,-10.0
10,shepard,3,shepard_rising_1.5.mp3,both,10.0
10,shepard,3,pitch_increase_mild_200to283Hz.mp3,audio,4.6
